Year,Value,SERIES,UNIT_MEASURE
2010,98.1,,процент
2010,98.9,Охват АКДС (3 дозы),процент
2010,99.6,Охват вакциной против кори (2 дозы),процент
2011,97.1,,процент
2011,98.6,Охват АКДС (3 дозы),процент
2011,100.0,Охват вакциной против кори (2 дозы),процент
2012,97.2,,процент
2012,98.1,Охват АКДС (3 дозы),процент
2012,97.0,Охват вакциной против кори (2 дозы),процент
2012,38.5,Охват Пневмококковой конъюгированной вакциной (3 дозы),процент
2013,97.9,,процент
2013,98.1,Охват АКДС (3 дозы),процент
2013,99.3,Охват вакциной против кори (2 дозы),процент
2013,51.8,Охват Пневмококковой конъюгированной вакциной (3 дозы),процент
2014,98.4,,процент
2014,98.5,Охват АКДС (3 дозы),процент
2014,99.2,Охват вакциной против кори (2 дозы),процент
2014,58.5,Охват Пневмококковой конъюгированной вакциной (3 дозы),процент
2015,98.2,,процент
2015,97.9,Охват АКДС (3 дозы),процент
2015,98.4,Охват вакциной против кори (2 дозы),процент
2015,73.7,Охват Пневмококковой конъюгированной вакциной (3 дозы),процент
2016,95.0,,процент
2016,82.5,Охват АКДС (3 дозы),процент
2016,99.3,Охват вакциной против кори (2 дозы),процент
2016,97.3,Охват Пневмококковой конъюгированной вакциной (3 дозы),процент
2017,96.9,,процент
2017,100.0,Охват АКДС (3 дозы),процент
2017,98.7,Охват вакциной против кори (2 дозы),процент
2017,98.3,Охват Пневмококковой конъюгированной вакциной (3 дозы),процент
2018,97.8,,процент
2018,98.3,Охват АКДС (3 дозы),процент
2018,98.4,Охват вакциной против кори (2 дозы),процент
2018,95.5,Охват Пневмококковой конъюгированной вакциной (3 дозы),процент
2019,96.7,,процент
2019,97.4,Охват АКДС (3 дозы),процент
2019,97.8,Охват вакциной против кори (2 дозы),процент
2019,89.4,Охват Пневмококковой конъюгированной вакциной (3 дозы),процент
