Year,Value,SERIES,UNIT_MEASURE
2010,17.8,местные органы власти (Маслихат),процент
2011,17.8,местные органы власти (Маслихат),процент
2011,16.94,национальный парламент (Мажилис),процент
2012,23.8,местные органы власти (Маслихат),процент
2012,17.0,национальный парламент (Мажилис),процент
2013,26.2,местные органы власти (Маслихат),процент
2013,18.17,национальный парламент (Мажилис),процент
2014,26.2,местные органы власти (Маслихат),процент
2014,18.41,национальный парламент (Мажилис),процент
2015,26.7,местные органы власти (Маслихат),процент
2015,18.8,национальный парламент (Мажилис),процент
2016,27.6,местные органы власти (Маслихат),процент
2016,22.158920539730133,национальный парламент (Мажилис),процент
2017,27.4,местные органы власти (Маслихат),процент
2017,22.09895052473763,национальный парламент (Мажилис),процент
2018,27.4,местные органы власти (Маслихат),процент
2018,22.19,национальный парламент (Мажилис),процент
2019,27.4,местные органы власти (Маслихат),процент
2019,22.2,национальный парламент (Мажилис),процент
