Year,Value,GeoCode,SERIES,UNIT_MEASURE
2010,13186.5,,Перевезено пассажиров всеми видами транспорта,млн.человек
2011,16647.2,,Перевезено пассажиров всеми видами транспорта,млн.человек
2012,18484.6,,Перевезено пассажиров всеми видами транспорта,млн.человек
2013,20004.3,,Перевезено пассажиров всеми видами транспорта,млн.человек
2014,21281.2,,Перевезено пассажиров всеми видами транспорта,млн.человек
2015,21839.1,,Перевезено пассажиров всеми видами транспорта,млн.человек
2016,22332.8,,Перевезено пассажиров всеми видами транспорта,млн.человек
2017,22744.7,,Перевезено пассажиров всеми видами транспорта,млн.человек
2018,23021.6,,Перевезено пассажиров всеми видами транспорта,млн.человек
2010,19.6,,Железнодорожным транспортом,млн.человек
2011,20.5,,Железнодорожным транспортом,млн.человек
2012,24.4,,Железнодорожным транспортом,млн.человек
2013,28.6,,Железнодорожным транспортом,млн.человек
2014,23.2,,Железнодорожным транспортом,млн.человек
2015,22.5,,Железнодорожным транспортом,млн.человек
2016,23.1,,Железнодорожным транспортом,млн.человек
2017,22.9,,Железнодорожным транспортом,млн.человек
2018,23.1,,Железнодорожным транспортом,млн.человек
2010,13083.9,,Автомобильный,млн.человек
2011,16544.7,,Автомобильный,млн.человек
2012,18380.2,,Автомобильный,млн.человек
2013,19905.3,,Автомобильный,млн.человек
2014,21189.9,,Автомобильный,млн.человек
2015,21744.7,,Автомобильный,млн.человек
2016,22239.4,,Автомобильный,млн.человек
2017,22643.6,,Автомобильный,млн.человек
2018,22911.5,,Автомобильный,млн.человек
2010,0.1,,Внутренним водным,млн.человек
2011,0.1,,Внутренним водным,млн.человек
2012,0.1,,Внутренним водным,млн.человек
2013,0.09,,Внутренним водным,млн.человек
2014,0.0672,,Внутренним водным,млн.человек
2015,0.04,,Внутренним водным,млн.человек
2016,0.0904,,Внутренним водным,млн.человек
2017,0.0587,,Внутренним водным,млн.человек
2018,0.0814,,Внутренним водным,млн.человек
2018,0.05752,,Морским,млн.человек
2010,3.4,,Воздушным,млн.человек
2011,4.1,,Воздушным,млн.человек
2012,4.5,,Воздушным,млн.человек
2013,5.0,,Воздушным,млн.человек
2014,5.4,,Воздушным,млн.человек
2015,5.9,,Воздушным,млн.человек
2016,6.0,,Воздушным,млн.человек
2017,7.4,,Воздушным,млн.человек
2018,7.6,,Воздушным,млн.человек
2010,79.5,,Городской электрический,млн.человек
2011,77.0,,Городской электрический,млн.человек
2012,69.6,,Городской электрический,млн.человек
2013,58.7,,Городской электрический,млн.человек
2014,55.6,,Городской электрический,млн.человек
2015,55.9,,Городской электрический,млн.человек
2016,51.5,,Городской электрический,млн.человек
2017,56.8,,Городской электрический,млн.человек
2018,54.9,,Городской электрический,млн.человек
2010,1971.8,,перевезено грузов автомобильным  и городским  электрическим транспортом,млн.тонн
2011,2475.5,,перевезено грузов автомобильным  и городским  электрическим транспортом,млн.тонн
2012,2718.4,,перевезено грузов автомобильным  и городским  электрическим транспортом,млн.тонн
2013,2983.4,,перевезено грузов автомобильным  и городским  электрическим транспортом,млн.тонн
2014,3129.1,,перевезено грузов автомобильным  и городским  электрическим транспортом,млн.тонн
2015,3174.0,,перевезено грузов автомобильным  и городским  электрическим транспортом,млн.тонн
2016,3180.7,,перевезено грузов автомобильным  и городским  электрическим транспортом,млн.тонн
2017,3322.3,,перевезено грузов автомобильным  и городским  электрическим транспортом,млн.тонн
2018,3422.3,,перевезено грузов автомобильным  и городским  электрическим транспортом,млн.тонн
2010,28869.7,,перевезено грузов воздушным транспортом,тонн
2011,31554.9,,перевезено грузов воздушным транспортом,тонн
2012,21954.2,,перевезено грузов воздушным транспортом,тонн
2013,23873.5,,перевезено грузов воздушным транспортом,тонн
2014,19082.4,,перевезено грузов воздушным транспортом,тонн
2015,17178.2,,перевезено грузов воздушным транспортом,тонн
2016,18015.9,,перевезено грузов воздушным транспортом,тонн
2017,22449.9,,перевезено грузов воздушным транспортом,тонн
2018,29135.5,,перевезено грузов воздушным транспортом,тонн
2010,3379.2,,перевезено пассажиров воздушным транспортом,млн.человек
2011,4131.3,,перевезено пассажиров воздушным транспортом,млн.человек
2012,4512.0,,перевезено пассажиров воздушным транспортом,млн.человек
2013,4985.6,,перевезено пассажиров воздушным транспортом,млн.человек
2014,5434.6,,перевезено пассажиров воздушным транспортом,млн.человек
2015,5922.8,,перевезено пассажиров воздушным транспортом,млн.человек
2016,6021.7,,перевезено пассажиров воздушным транспортом,млн.человек
2017,7363.7,,перевезено пассажиров воздушным транспортом,млн.человек
2018,7858.5,,перевезено пассажиров воздушным транспортом,млн.человек
2010,194.0,,показатели работы трубопроводного транспорта,млн.тонн
2011,214.1,,показатели работы трубопроводного транспорта,млн.тонн
2012,213.2,,показатели работы трубопроводного транспорта,млн.тонн
2013,225.9,,показатели работы трубопроводного транспорта,млн.тонн
2014,225.0,,показатели работы трубопроводного транспорта,млн.тонн
2015,214.6,,показатели работы трубопроводного транспорта,млн.тонн
2016,205.8,,показатели работы трубопроводного транспорта,млн.тонн
2017,232.8,,показатели работы трубопроводного транспорта,млн.тонн
2018,280.8,,показатели работы трубопроводного транспорта,млн.тонн
2010,4.7,,показатели работы морского и прибрежного транспорта,млн.тонн
2011,4.6,,показатели работы морского и прибрежного транспорта,млн.тонн
2012,4.0,,показатели работы морского и прибрежного транспорта,млн.тонн
2013,4.0,,показатели работы морского и прибрежного транспорта,млн.тонн
2014,3.6,,показатели работы морского и прибрежного транспорта,млн.тонн
2015,2.5,,показатели работы морского и прибрежного транспорта,млн.тонн
2016,2.6,,показатели работы морского и прибрежного транспорта,млн.тонн
2017,2.1,,показатели работы морского и прибрежного транспорта,млн.тонн
2018,1.8,,показатели работы морского и прибрежного транспорта,млн.тонн
