Year,Value,SERIES,UNIT_MEASURE
2012,42.1,Стандарт GSM  (процент охвата населения сетью сотовой связи),процент
2013,85.9,Стандарт GSM  (процент охвата населения сетью сотовой связи),процент
2014,91.6,Стандарт GSM  (процент охвата населения сетью сотовой связи),процент
2014,85.0,Стандарт UMTS (процент охвата населения сетью сотовой связи 3G),процент
2015,96.6,Стандарт GSM  (процент охвата населения сетью сотовой связи),процент
2015,72.7,Стандарт UMTS (процент охвата населения сетью сотовой связи 3G),процент
2016,96.1,Стандарт GSM  (процент охвата населения сетью сотовой связи),процент
2016,86.8,Стандарт UMTS (процент охвата населения сетью сотовой связи 3G),процент
2017,96.6,Стандарт GSM  (процент охвата населения сетью сотовой связи),процент
2017,87.5,Стандарт UMTS (процент охвата населения сетью сотовой связи 3G),процент
2018,96.6,Стандарт GSM  (процент охвата населения сетью сотовой связи),процент
2018,87.9,Стандарт UMTS (процент охвата населения сетью сотовой связи 3G),процент
2019,98.0,Стандарт GSM  (процент охвата населения сетью сотовой связи),процент
2019,88.8,Стандарт UMTS (процент охвата населения сетью сотовой связи 3G),процент
