Year,UNIT_MEASURE,SEX,URBANISATION,SERIES,REF_AREA,Value
2011,PT,,,_L_KZ_010101_1A,,0.1
2011,PT,,,_L_KZ_010101_1B,,1.2
2011,PT,,,_L_KZ_010101_1C,,15.3
2011,PT,M,,_L_KZ_010101_1A,,0.1
2011,PT,M,,_L_KZ_010101_1B,,1.2
2011,PT,M,,_L_KZ_010101_1C,,15.9
2011,PT,F,,_L_KZ_010101_1A,,0.1
2011,PT,F,,_L_KZ_010101_1B,,1.2
2011,PT,F,,_L_KZ_010101_1C,,14.7
2011,PT,,U,_L_KZ_010101_1A,,0.0
2011,PT,,U,_L_KZ_010101_1B,,0.4
2011,PT,,U,_L_KZ_010101_1C,,9.0
2011,PT,,R,_L_KZ_010101_1A,,0.2
2011,PT,,R,_L_KZ_010101_1B,,2.1
2011,PT,,R,_L_KZ_010101_1C,,22.7
2011,PT,,,_L_KZ_010101_1A,KZAKM,0.2
2011,PT,,,_L_KZ_010101_1A,KZKAR,0.0
2011,PT,,,_L_KZ_010101_1A,KZKUS,0.1
2011,PT,,,_L_KZ_010101_1A,KZONT,0.4
2011,PT,,,_L_KZ_010101_1A,KZPAV,0.2
2011,PT,,,_L_KZ_010101_1A,KZSEV,0.2
2011,PT,,,_L_KZ_010101_1A,KZVOS,0.2
2011,PT,,,_L_KZ_010101_1A,KZNS,0.0
2011,PT,,,_L_KZ_010101_1B,KZAKM,2.1
2011,PT,,,_L_KZ_010101_1B,KZAKT,0.9
2011,PT,,,_L_KZ_010101_1B,KZALM,0.2
2011,PT,,,_L_KZ_010101_1B,KZATY,0.1
2011,PT,,,_L_KZ_010101_1B,KZZAP,0.8
2011,PT,,,_L_KZ_010101_1B,KZZHA,0.8
2011,PT,,,_L_KZ_010101_1B,KZKAR,0.9
2011,PT,,,_L_KZ_010101_1B,KZKUS,1.3
2011,PT,,,_L_KZ_010101_1B,KZKZY,0.7
2011,PT,,,_L_KZ_010101_1B,KZMAN,0.1
2011,PT,,,_L_KZ_010101_1B,KZONT,2.6
2011,PT,,,_L_KZ_010101_1B,KZPAV,1.5
2011,PT,,,_L_KZ_010101_1B,KZSEV,3.3
2011,PT,,,_L_KZ_010101_1B,KZVOS,2.0
2011,PT,,,_L_KZ_010101_1B,KZNS,0.1
2011,PT,,,_L_KZ_010101_1B,KZALA,0.1
2011,PT,,,_L_KZ_010101_1C,KZAKM,13.6
2011,PT,,,_L_KZ_010101_1C,KZAKT,13.1
2011,PT,,,_L_KZ_010101_1C,KZALM,6.2
2011,PT,,,_L_KZ_010101_1C,KZATY,6.2
2011,PT,,,_L_KZ_010101_1C,KZZAP,20.5
2011,PT,,,_L_KZ_010101_1C,KZZHA,24.5
2011,PT,,,_L_KZ_010101_1C,KZKAR,10.8
2011,PT,,,_L_KZ_010101_1C,KZKUS,15.6
2011,PT,,,_L_KZ_010101_1C,KZKZY,13.2
2011,PT,,,_L_KZ_010101_1C,KZMAN,4.6
2011,PT,,,_L_KZ_010101_1C,KZONT,32.7
2011,PT,,,_L_KZ_010101_1C,KZPAV,17.0
2011,PT,,,_L_KZ_010101_1C,KZSEV,21.9
2011,PT,,,_L_KZ_010101_1C,KZVOS,17.8
2011,PT,,,_L_KZ_010101_1C,KZNS,1.7
2011,PT,,,_L_KZ_010101_1C,KZALA,2.0
2011,PT,,U,_L_KZ_010101_1A,KZAKM,0.1
2011,PT,,U,_L_KZ_010101_1A,KZONT,0.2
2011,PT,,U,_L_KZ_010101_1A,KZNS,0.0
2011,PT,,U,_L_KZ_010101_1B,KZAKM,0.7
2011,PT,,U,_L_KZ_010101_1B,KZAKT,0.2
2011,PT,,U,_L_KZ_010101_1B,KZALM,0.7
2011,PT,,U,_L_KZ_010101_1B,KZZHA,1.3
2011,PT,,U,_L_KZ_010101_1B,KZKAR,0.3
2011,PT,,U,_L_KZ_010101_1B,KZKUS,0.4
2011,PT,,U,_L_KZ_010101_1B,KZKZY,0.2
2011,PT,,U,_L_KZ_010101_1B,KZONT,1.1
2011,PT,,U,_L_KZ_010101_1B,KZPAV,0.5
2011,PT,,U,_L_KZ_010101_1B,KZSEV,0.9
2011,PT,,U,_L_KZ_010101_1B,KZVOS,0.5
2011,PT,,U,_L_KZ_010101_1B,KZNS,0.1
2011,PT,,U,_L_KZ_010101_1B,KZALA,0.1
2011,PT,,U,_L_KZ_010101_1C,KZAKM,10.6
2011,PT,,U,_L_KZ_010101_1C,KZAKT,8.3
2011,PT,,U,_L_KZ_010101_1C,KZALM,5.3
2011,PT,,U,_L_KZ_010101_1C,KZATY,1.4
2011,PT,,U,_L_KZ_010101_1C,KZZAP,11.6
2011,PT,,U,_L_KZ_010101_1C,KZZHA,20.3
2011,PT,,U,_L_KZ_010101_1C,KZKAR,7.4
2011,PT,,U,_L_KZ_010101_1C,KZKUS,9.8
2011,PT,,U,_L_KZ_010101_1C,KZKZY,7.8
2011,PT,,U,_L_KZ_010101_1C,KZMAN,2.0
2011,PT,,U,_L_KZ_010101_1C,KZONT,20.9
2011,PT,,U,_L_KZ_010101_1C,KZPAV,12.7
2011,PT,,U,_L_KZ_010101_1C,KZSEV,13.9
2011,PT,,U,_L_KZ_010101_1C,KZVOS,11.5
2011,PT,,U,_L_KZ_010101_1C,KZNS,1.7
2011,PT,,U,_L_KZ_010101_1C,KZALA,2.0
2011,PT,,R,_L_KZ_010101_1A,KZAKM,0.3
2011,PT,,R,_L_KZ_010101_1A,KZKAR,0.2
2011,PT,,R,_L_KZ_010101_1A,KZKUS,0.1
2011,PT,,R,_L_KZ_010101_1A,KZONT,0.5
2011,PT,,R,_L_KZ_010101_1A,KZPAV,0.6
2011,PT,,R,_L_KZ_010101_1A,KZSEV,0.3
2011,PT,,R,_L_KZ_010101_1A,KZVOS,0.4
2011,PT,,R,_L_KZ_010101_1B,KZAKM,3.4
2011,PT,,R,_L_KZ_010101_1B,KZAKT,2.0
2011,PT,,R,_L_KZ_010101_1B,KZALM,0.1
2011,PT,,R,_L_KZ_010101_1B,KZATY,0.2
2011,PT,,R,_L_KZ_010101_1B,KZZAP,1.5
2011,PT,,R,_L_KZ_010101_1B,KZZHA,0.4
2011,PT,,R,_L_KZ_010101_1B,KZKAR,3.1
2011,PT,,R,_L_KZ_010101_1B,KZKUS,2.3
2011,PT,,R,_L_KZ_010101_1B,KZKZY,1.0
2011,PT,,R,_L_KZ_010101_1B,KZMAN,0.2
2011,PT,,R,_L_KZ_010101_1B,KZONT,3.5
2011,PT,,R,_L_KZ_010101_1B,KZPAV,3.7
2011,PT,,R,_L_KZ_010101_1B,KZSEV,5.0
2011,PT,,R,_L_KZ_010101_1B,KZVOS,4.2
2011,PT,,R,_L_KZ_010101_1C,KZAKM,16.2
2011,PT,,R,_L_KZ_010101_1C,KZAKT,20.9
2011,PT,,R,_L_KZ_010101_1C,KZALM,6.4
2011,PT,,R,_L_KZ_010101_1C,KZATY,10.7
2011,PT,,R,_L_KZ_010101_1C,KZZAP,28.8
2011,PT,,R,_L_KZ_010101_1C,KZZHA,27.1
2011,PT,,R,_L_KZ_010101_1C,KZKAR,22.9
2011,PT,,R,_L_KZ_010101_1C,KZKUS,21.4
2011,PT,,R,_L_KZ_010101_1C,KZKZY,16.6
2011,PT,,R,_L_KZ_010101_1C,KZMAN,7.3
2011,PT,,R,_L_KZ_010101_1C,KZONT,40.4
2011,PT,,R,_L_KZ_010101_1C,KZPAV,26.3
2011,PT,,R,_L_KZ_010101_1C,KZSEV,27.5
2011,PT,,R,_L_KZ_010101_1C,KZVOS,26.5
2012,PT,,,_L_KZ_010101_1A,,0.0
2012,PT,,,_L_KZ_010101_1B,,1.0
2012,PT,,,_L_KZ_010101_1C,,17.7
2012,PT,M,,_L_KZ_010101_1A,,0.0
2012,PT,M,,_L_KZ_010101_1B,,1.1
2012,PT,M,,_L_KZ_010101_1C,,18.4
2012,PT,F,,_L_KZ_010101_1A,,0.0
2012,PT,F,,_L_KZ_010101_1B,,1.0
2012,PT,F,,_L_KZ_010101_1C,,17.1
2012,PT,,U,_L_KZ_010101_1A,,0.0
2012,PT,,U,_L_KZ_010101_1B,,0.5
2012,PT,,U,_L_KZ_010101_1C,,11.6
2012,PT,,R,_L_KZ_010101_1A,,0.1
2012,PT,,R,_L_KZ_010101_1B,,1.7
2012,PT,,R,_L_KZ_010101_1C,,25.1
2012,PT,,,_L_KZ_010101_1A,KZAKM,0.3
2012,PT,,,_L_KZ_010101_1A,KZALM,0.1
2012,PT,,,_L_KZ_010101_1A,KZZHA,0.1
2012,PT,,,_L_KZ_010101_1A,KZKUS,0.1
2012,PT,,,_L_KZ_010101_1A,KZONT,0.0
2012,PT,,,_L_KZ_010101_1A,KZPAV,0.0
2012,PT,,,_L_KZ_010101_1A,KZSEV,0.1
2012,PT,,,_L_KZ_010101_1A,KZVOS,0.0
2012,PT,,,_L_KZ_010101_1B,KZAKM,1.5
2012,PT,,,_L_KZ_010101_1B,KZAKT,0.7
2012,PT,,,_L_KZ_010101_1B,KZALM,0.4
2012,PT,,,_L_KZ_010101_1B,KZZAP,0.4
2012,PT,,,_L_KZ_010101_1B,KZZHA,2.3
