Year,UNIT_MEASURE,URBANISATION,SEX,REF_AREA,Value
2010,PT,,,,6.5
2010,PT,U,,,3.7
2010,PT,R,,,10.1
2010,PT,,M,,6.8
2010,PT,,F,,6.3
2010,PT,,,KZAKM,4.4
2010,PT,,,KZAKT,6.0
2010,PT,,,KZALM,6.6
2010,PT,,,KZATY,5.9
2010,PT,,,KZZAP,6.7
2010,PT,,,KZZHA,5.3
2010,PT,,,KZKAR,3.8
2010,PT,,,KZKUS,6.4
2010,PT,,,KZKZY,6.7
2010,PT,,,KZMAN,11.6
2010,PT,,,KZONT,11.5
2010,PT,,,KZPAV,4.0
2010,PT,,,KZSEV,5.4
2010,PT,,,KZVOS,8.4
2010,PT,,,KZNS,3.4
2010,PT,,,KZALA,2.6
2011,PT,,,,5.5
2011,PT,U,,,2.5
2011,PT,R,,,9.1
2011,PT,,M,,5.7
2011,PT,,F,,5.3
2011,PT,,,KZAKM,6.2
2011,PT,,,KZAKT,2.4
2011,PT,,,KZALM,3.4
2011,PT,,,KZATY,5.2
2011,PT,,,KZZAP,4.8
2011,PT,,,KZZHA,5.1
2011,PT,,,KZKAR,3.5
2011,PT,,,KZKUS,4.6
2011,PT,,,KZKZY,6.2
2011,PT,,,KZMAN,10.4
2011,PT,,,KZONT,10.4
2011,PT,,,KZPAV,4.5
2011,PT,,,KZSEV,9.6
2011,PT,,,KZVOS,6.1
2011,PT,,,KZNS,1.7
2011,PT,,,KZALA,2.0
2012,PT,,,,3.8
2012,PT,U,,,1.9
2012,PT,R,,,6.1
2012,PT,,M,,4.0
2012,PT,,F,,3.7
2012,PT,,,KZAKM,3.9
2012,PT,,,KZAKT,2.4
2012,PT,,,KZALM,3.2
2012,PT,,,KZATY,3.3
2012,PT,,,KZZAP,4.1
2012,PT,,,KZZHA,4.9
2012,PT,,,KZKAR,2.8
2012,PT,,,KZKUS,3.3
2012,PT,,,KZKZY,3.8
2012,PT,,,KZMAN,3.3
2012,PT,,,KZONT,7.9
2012,PT,,,KZPAV,2.9
2012,PT,,,KZSEV,5.7
2012,PT,,,KZVOS,3.4
2012,PT,,,KZNS,1.0
2012,PT,,,KZALA,0.4
2013,PT,,,,2.9
2013,PT,U,,,1.3
2013,PT,R,,,4.9
2013,PT,,M,,3.1
2013,PT,,F,,2.7
2013,PT,,,KZAKM,3.9
2013,PT,,,KZAKT,2.0
2013,PT,,,KZALM,2.0
2013,PT,,,KZATY,3.3
2013,PT,,,KZZAP,3.7
2013,PT,,,KZZHA,3.4
2013,PT,,,KZKAR,2.0
2013,PT,,,KZKUS,2.6
2013,PT,,,KZKZY,3.6
2013,PT,,,KZMAN,2.6
2013,PT,,,KZONT,5.9
2013,PT,,,KZPAV,1.5
2013,PT,,,KZSEV,4.8
2013,PT,,,KZVOS,2.4
2013,PT,,,KZNS,0.5
2013,PT,,,KZALA,0.6
2014,PT,,,,2.9
2014,PT,U,,,1.3
2014,PT,R,,,4.7
2014,PT,,M,,3.0
2014,PT,,F,,2.0
2014,PT,,,KZAKM,2.9
2014,PT,,,KZAKT,1.8
2014,PT,,,KZALM,2.5
2014,PT,,,KZATY,2.8
2014,PT,,,KZZAP,2.9
2014,PT,,,KZZHA,3.1
2014,PT,,,KZKAR,1.4
2014,PT,,,KZKUS,2.5
2014,PT,,,KZKZY,3.2
2014,PT,,,KZMAN,3.0
2014,PT,,,KZONT,6.1
2014,PT,,,KZPAV,1.5
2014,PT,,,KZSEV,4.2
2014,PT,,,KZYUZ,7.7
2014,PT,,,KZVOS,2.5
2014,PT,,,KZNS,0.4
2014,PT,,,KZALA,0.6
2014,PT,,,KZSHY,1.0
2015,PT,,,,2.6
2015,PT,U,,,1.3
2015,PT,R,,,4.4
2015,PT,,M,,2.7
2015,PT,,F,,2.6
2015,PT,,,KZAKM,2.9
2015,PT,,,KZAKT,1.7
2015,PT,,,KZALM,2.3
2015,PT,,,KZATY,2.8
2015,PT,,,KZZAP,3.1
2015,PT,,,KZZHA,3.2
2015,PT,,,KZKAR,1.5
2015,PT,,,KZKUS,2.7
2015,PT,,,KZKZY,3.5
2015,PT,,,KZMAN,2.6
2015,PT,,,KZONT,5.3
2015,PT,,,KZPAV,1.6
2015,PT,,,KZSEV,3.7
2015,PT,,,KZYUZ,6.3
2015,PT,,,KZVOS,2.0
2015,PT,,,KZNS,0.6
2015,PT,,,KZALA,0.6
2015,PT,,,KZSHY,1.1
2016,PT,,,,2.5
2016,PT,U,,,1.3
2016,PT,R,,,4.4
2016,PT,,M,,2.6
2016,PT,,F,,2.5
2016,PT,,,KZAKM,3.0
2016,PT,,,KZAKT,1.9
2016,PT,,,KZALM,2.2
2016,PT,,,KZATY,3.1
2016,PT,,,KZZAP,2.8
2016,PT,,,KZZHA,3.3
2016,PT,,,KZKAR,1.3
2016,PT,,,KZKUS,2.6
2016,PT,,,KZKZY,3.1
2016,PT,,,KZMAN,2.8
2016,PT,,,KZONT,5.1
2016,PT,,,KZPAV,1.9
2016,PT,,,KZSEV,3.4
2016,PT,,,KZYUZ,5.7
2016,PT,,,KZVOS,1.8
2016,PT,,,KZNS,0.7
2016,PT,,,KZALA,0.8
2016,PT,,,KZSHY,0.5
2017,PT,,,,2.7
2017,PT,U,,,1.2
2017,PT,R,,,4.5
2017,PT,,M,,2.7
2017,PT,,F,,2.6
2017,PT,,,KZAKM,2.9
2017,PT,,,KZAKT,1.9
2017,PT,,,KZALM,2.4
2017,PT,,,KZATY,2.8
2017,PT,,,KZZAP,2.7
2017,PT,,,KZZHA,3.5
2017,PT,,,KZKAR,1.6
2017,PT,,,KZKUS,2.4
2017,PT,,,KZKZY,3.0
2017,PT,,,KZMAN,3.3
2017,PT,,,KZONT,5.0
2017,PT,,,KZPAV,1.7
2017,PT,,,KZSEV,3.3
2017,PT,,,KZYUZ,6.6
2017,PT,,,KZVOS,1.8
2017,PT,,,KZNS,0.8
2017,PT,,,KZALA,1.0
2017,PT,,,KZSHY,0.2
2018,PT,,,,4.3
2018,PT,U,,,2.5
2018,PT,R,,,6.7
2018,PT,,M,,4.4
