Year,UNIT_MEASURE,REF_AREA,Value
2010,PT,KZAKM,44.0
2010,PT,KZALM,58.0
2010,PT,KZATY,24.0
2010,PT,KZKAR,73.0
2010,PT,KZKUS,50.0
2010,PT,KZKZY,54.0
2010,PT,KZMAN,59.0
2010,PT,KZSEV,40.0
2010,PT,KZYUZ,49.0
2011,PT,KZAKM,49.0
2011,PT,KZALM,60.2
2011,PT,KZATY,30.0
2011,PT,KZKAR,73.0
2011,PT,KZKUS,52.0
2011,PT,KZKZY,57.0
2011,PT,KZMAN,59.0
2011,PT,KZPAV,67.0
2011,PT,KZSEV,42.0
2011,PT,KZYUZ,50.0
2011,PT,KZVOS,66.0
2011,PT,KZALA,28.0
2012,PT,KZAKM,54.0
2012,PT,KZALM,64.0
2012,PT,KZATY,32.0
2012,PT,KZKAR,73.0
2012,PT,KZKUS,54.0
2012,PT,KZKZY,60.0
2012,PT,KZMAN,64.0
2012,PT,KZPAV,69.0
2012,PT,KZSEV,46.0
2012,PT,KZYUZ,67.5
2012,PT,KZVOS,68.0
2012,PT,KZALA,34.0
2013,PT,KZAKM,60.0
2013,PT,KZAKT,48.9
2013,PT,KZALM,69.6
2013,PT,KZATY,37.0
2013,PT,KZZAP,23.0
2013,PT,KZKAR,73.5
2013,PT,KZKUS,58.0
2013,PT,KZKZY,54.0
2013,PT,KZMAN,67.0
2013,PT,KZPAV,71.0
2013,PT,KZSEV,50.0
2013,PT,KZYUZ,70.0
2013,PT,KZVOS,74.0
2013,PT,KZALA,37.0
2014,PT,KZAKM,65.0
2014,PT,KZAKT,44.5
2014,PT,KZALM,74.6
2014,PT,KZATY,42.0
2014,PT,KZZAP,24.0
2014,PT,KZZHA,70.0
2014,PT,KZKAR,74.0
2014,PT,KZKUS,59.0
2014,PT,KZKZY,57.0
2014,PT,KZMAN,77.0
2014,PT,KZPAV,74.0
2014,PT,KZSEV,51.0
2014,PT,KZYUZ,74.5
2014,PT,KZVOS,75.0
2014,PT,KZALA,43.0
2014,PT,KZSHY,30.7
2015,PT,KZAKM,66.0
2015,PT,KZAKT,46.3
2015,PT,KZALM,77.6
2015,PT,KZATY,47.0
2015,PT,KZZAP,26.0
2015,PT,KZZHA,74.0
2015,PT,KZKAR,74.5
2015,PT,KZKUS,62.0
2015,PT,KZKZY,62.0
2015,PT,KZMAN,84.0
2015,PT,KZPAV,76.0
2015,PT,KZSEV,53.0
2015,PT,KZYUZ,77.0
2015,PT,KZVOS,76.0
2015,PT,KZNS,71.1
2015,PT,KZALA,65.0
2015,PT,KZSHY,40.4
2016,PT,KZAKM,66.6
2016,PT,KZAKT,48.0
2016,PT,KZALM,77.8
2016,PT,KZATY,49.0
2016,PT,KZZAP,27.6
2016,PT,KZZHA,75.5
2016,PT,KZKAR,75.0
2016,PT,KZKUS,62.0
2016,PT,KZKZY,62.6
2016,PT,KZMAN,92.0
2016,PT,KZPAV,77.0
2016,PT,KZSEV,55.0
2016,PT,KZYUZ,64.0
2016,PT,KZVOS,76.5
2016,PT,KZNS,74.5
2016,PT,KZALA,60.0
2016,PT,KZSHY,41.4
2017,PT,KZAKM,67.1
2017,PT,KZAKT,49.5
2017,PT,KZALM,78.0
2017,PT,KZATY,51.0
2017,PT,KZZAP,28.0
2017,PT,KZZHA,77.0
2017,PT,KZKAR,75.5
2017,PT,KZKUS,64.0
2017,PT,KZKZY,63.0
2017,PT,KZMAN,92.0
2017,PT,KZPAV,78.1
2017,PT,KZSEV,58.0
2017,PT,KZYUZ,64.4
2017,PT,KZVOS,77.0
2017,PT,KZNS,79.3
2017,PT,KZALA,65.0
2017,PT,KZSHY,46.5
2018,PT,KZAKM,70.3
2018,PT,KZAKT,53.0
2018,PT,KZALM,78.1
2018,PT,KZATY,54.0
2018,PT,KZZAP,28.7
2018,PT,KZZHA,80.1
2018,PT,KZKAR,76.0
2018,PT,KZKUS,66.0
2018,PT,KZKZY,63.5
2018,PT,KZMAN,92.0
2018,PT,KZPAV,80.0
2018,PT,KZSEV,61.0
2018,PT,KZYUZ,71.2
2018,PT,KZVOS,78.1
2018,PT,KZNS,76.0
2018,PT,KZALA,70.0
2018,PT,KZSHY,53.7
2019,PT,KZAKM,70.3
2019,PT,KZAKT,53.0
2019,PT,KZALM,78.1
2019,PT,KZATY,54.0
2019,PT,KZZAP,28.7
2019,PT,KZZHA,80.1
2019,PT,KZKAR,76.0
2019,PT,KZKUS,66.0
2019,PT,KZKZY,63.5
2019,PT,KZMAN,92.0
2019,PT,KZPAV,80.0
2019,PT,KZSEV,61.0
2019,PT,KZYUZ,71.2
2019,PT,KZVOS,78.1
