Year,UNIT_MEASURE,REF_AREA,GeoCode,Value
2010,M_METER3,,,380.7
2011,M_METER3,,,380.7
2012,M_METER3,,,412.2
2013,M_METER3,,,412.2
2014,M_METER3,,,412.2
2015,M_METER3,,,412.2
2016,M_METER3,,,412.2
2017,M_METER3,,,421.8
2018,M_METER3,,,421.8
2010,M_METER3,KZAKM,KZ03,42.7
2011,M_METER3,KZAKM,KZ03,42.7
2012,M_METER3,KZAKM,KZ03,45.4
2013,M_METER3,KZAKM,KZ03,45.4
2014,M_METER3,KZAKM,KZ03,45.4
2015,M_METER3,KZAKM,KZ03,45.4
2016,M_METER3,KZAKM,KZ03,45.4
2017,M_METER3,KZAKM,KZ03,44.7
2018,M_METER3,KZAKM,KZ03,44.7
2010,M_METER3,KZAKT,KZ04,1.0
2011,M_METER3,KZAKT,KZ04,1.0
2012,M_METER3,KZAKT,KZ04,1.1
2013,M_METER3,KZAKT,KZ04,1.1
2014,M_METER3,KZAKT,KZ04,1.1
2015,M_METER3,KZAKT,KZ04,1.1
2016,M_METER3,KZAKT,KZ04,1.1
2017,M_METER3,KZAKT,KZ04,1.1
2018,M_METER3,KZAKT,KZ04,1.1
2010,M_METER3,KZALM,KZ01,38.7
2011,M_METER3,KZALM,KZ01,38.7
2012,M_METER3,KZALM,KZ01,40.7
2013,M_METER3,KZALM,KZ01,40.7
2014,M_METER3,KZALM,KZ01,40.7
2015,M_METER3,KZALM,KZ01,40.7
2016,M_METER3,KZALM,KZ01,40.7
2017,M_METER3,KZALM,KZ01,49.4
2018,M_METER3,KZALM,KZ01,49.4
2010,M_METER3,KZATY,KZ06,0.5
2011,M_METER3,KZATY,KZ06,0.5
2012,M_METER3,KZATY,KZ06,0.5
2013,M_METER3,KZATY,KZ06,0.5
2014,M_METER3,KZATY,KZ06,0.5
2015,M_METER3,KZATY,KZ06,0.5
2016,M_METER3,KZATY,KZ06,0.5
2017,M_METER3,KZATY,KZ06,0.5
2018,M_METER3,KZATY,KZ06,0.5
2010,M_METER3,KZZAP,KZ07,8.0
2011,M_METER3,KZZAP,KZ07,8.0
2012,M_METER3,KZZAP,KZ07,8.3
2013,M_METER3,KZZAP,KZ07,8.3
2014,M_METER3,KZZAP,KZ07,8.3
2015,M_METER3,KZZAP,KZ07,8.3
2016,M_METER3,KZZAP,KZ07,8.3
2017,M_METER3,KZZAP,KZ07,7.7
2018,M_METER3,KZZAP,KZ07,7.7
2010,M_METER3,KZZHA,KZ17,3.4
2011,M_METER3,KZZHA,KZ17,3.4
2012,M_METER3,KZZHA,KZ17,3.4
2013,M_METER3,KZZHA,KZ17,3.4
2014,M_METER3,KZZHA,KZ17,3.4
2015,M_METER3,KZZHA,KZ17,3.4
2016,M_METER3,KZZHA,KZ17,3.4
2017,M_METER3,KZZHA,KZ17,3.4
2018,M_METER3,KZZHA,KZ17,3.4
2010,M_METER3,KZKAR,KZ12,4.6
2011,M_METER3,KZKAR,KZ12,4.6
