Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,Value
2011,PT,,102000
2011,PT,_L_PRSP_FR_URAL,17900
2011,PT,_L_PRSP_FR_UST,6100
2011,PT,_L_PRSP_SFBR,78000
2012,PT,,137500
2012,PT,_L_PRSP_FR_URAL,20900
2012,PT,_L_PRSP_FR_UST,6500
2012,PT,_L_PRSP_SFBR,110100
2013,PT,,187000
2013,PT,_L_PRSP_FR_URAL,26400
2013,PT,_L_PRSP_FR_UST,5400
2013,PT,_L_PRSP_SFBR,155200
2014,PT,,256700
2014,PT,_L_PRSP_FR_URAL,39000
2014,PT,_L_PRSP_FR_UST,1700
2014,PT,_L_PRSP_SFBR,216000
2015,PT,,295470
2015,PT,_L_PRSP_FR_URAL,51700
2015,PT,_L_PRSP_FR_UST,1270
2015,PT,_L_PRSP_SFBR,242000
2016,PT,,108300
2016,PT,_L_PRSP_FR_URAL,70200
2016,PT,_L_PRSP_FR_UST,1900
2016,PT,_L_PRSP_SFBR,26200
2017,PT,,152600
2017,PT,_L_PRSP_FR_URAL,98200
2017,PT,_L_PRSP_FR_UST,2700
2017,PT,_L_PRSP_SFBR,51700
2018,PT,,215100
2018,PT,_L_PRSP_FR_URAL,135000
2018,PT,_L_PRSP_FR_UST,3700
2018,PT,_L_PRSP_SFBR,76400
2019,PT,,334400
2019,PT,_L_PRSP_FR_URAL,217000
2019,PT,_L_PRSP_FR_UST,5900
2019,PT,_L_PRSP_SFBR,111500
