Year,UNIT_MEASURE,SEX,AGE,Value
2015,PER_100000_POP,,,4.9
2015,PER_100000_POP,M,,7.2
2015,PER_100000_POP,F,,2.9
2015,PER_100000_POP,,Y0T17,0.9
2015,PER_100000_POP,,Y18T24,5.8
2015,PER_100000_POP,,Y25T54,8.6
2015,PER_100000_POP,,Y55T59,9.2
2015,PER_100000_POP,,Y_GE60,4.9
2016,PER_100000_POP,,,4.8
2016,PER_100000_POP,M,,7.2
2016,PER_100000_POP,F,,2.6
2016,PER_100000_POP,,Y0T17,0.5
2016,PER_100000_POP,,Y18T24,6.5
2016,PER_100000_POP,,Y25T54,9.8
2016,PER_100000_POP,,Y55T59,8.4
2016,PER_100000_POP,,Y_GE60,5.0
2017,PER_100000_POP,,,5.1
2017,PER_100000_POP,M,,8.0
2017,PER_100000_POP,F,,2.4
2017,PER_100000_POP,,Y0T17,0.7
2017,PER_100000_POP,,Y18T24,5.9
2017,PER_100000_POP,,Y25T54,8.6
2017,PER_100000_POP,,Y55T59,7.0
2017,PER_100000_POP,,Y_GE60,5.3
2018,PER_100000_POP,,,4.4
2018,PER_100000_POP,M,,6.5
2018,PER_100000_POP,F,,2.5
2018,PER_100000_POP,,Y0T17,0.6
2018,PER_100000_POP,,Y18T24,5.1
2018,PER_100000_POP,,Y25T54,9.2
2018,PER_100000_POP,,Y55T59,6.3
2018,PER_100000_POP,,Y_GE60,4.9
2019,PER_100000_POP,,,3.9
2019,PER_100000_POP,M,,6.0
2019,PER_100000_POP,F,,1.8
2019,PER_100000_POP,,Y0T17,0.3
2019,PER_100000_POP,,Y18T24,3.9
2019,PER_100000_POP,,Y25T54,8.3
2019,PER_100000_POP,,Y55T59,5.6
2019,PER_100000_POP,,Y_GE60,3.2
