Year,UNIT_MEASURE,SERIES,URBANISATION,SEX,AGE,Value
2016,PT,,,,,100.0
2016,PT,_L_KZ_160104_1A,,,,42.4
2016,PT,_L_KZ_160104_1B,,,,48.7
2016,PT,_L_KZ_160104_1C,,,,8.9
2016,PT,,U,,,100.0
2016,PT,_L_KZ_160104_1A,U,,,38.0
2016,PT,_L_KZ_160104_1B,U,,,52.8
2016,PT,_L_KZ_160104_1C,U,,,9.2
2016,PT,,R,,,100.0
2016,PT,_L_KZ_160104_1A,R,,,48.5
2016,PT,_L_KZ_160104_1B,R,,,42.9
2016,PT,_L_KZ_160104_1C,R,,,8.6
2016,PT,,,M,,100.0
2016,PT,_L_KZ_160104_1A,,M,,48.2
2016,PT,_L_KZ_160104_1B,,M,,45.4
2016,PT,_L_KZ_160104_1C,,M,,6.4
2016,PT,,,F,,100.0
2016,PT,_L_KZ_160104_1A,,F,,37.1
2016,PT,_L_KZ_160104_1B,,F,,51.7
2016,PT,_L_KZ_160104_1C,,F,,11.2
2016,PT,,,,Y15T19,100.0
2016,PT,_L_KZ_160104_1A,,,Y15T19,41.6
2016,PT,_L_KZ_160104_1B,,,Y15T19,45.0
2016,PT,_L_KZ_160104_1C,,,Y15T19,13.4
2016,PT,,,,Y20T24,100.0
2016,PT,_L_KZ_160104_1A,,,Y20T24,47.8
2016,PT,_L_KZ_160104_1B,,,Y20T24,45.6
2016,PT,_L_KZ_160104_1C,,,Y20T24,6.5
2016,PT,,,,Y25T29,100.0
2016,PT,_L_KZ_160104_1A,,,Y25T29,44.5
2016,PT,_L_KZ_160104_1B,,,Y25T29,48.7
2016,PT,_L_KZ_160104_1C,,,Y25T29,6.8
2016,PT,,,,Y30T34,100.0
2016,PT,_L_KZ_160104_1A,,,Y30T34,44.5
2016,PT,_L_KZ_160104_1B,,,Y30T34,48.3
2016,PT,_L_KZ_160104_1C,,,Y30T34,7.2
2016,PT,,,,Y35T39,100.0
2016,PT,_L_KZ_160104_1A,,,Y35T39,41.9
2016,PT,_L_KZ_160104_1B,,,Y35T39,50.9
2016,PT,_L_KZ_160104_1C,,,Y35T39,7.1
2016,PT,,,,Y40T44,100.0
2016,PT,_L_KZ_160104_1A,,,Y40T44,41.1
2016,PT,_L_KZ_160104_1B,,,Y40T44,51.1
2016,PT,_L_KZ_160104_1C,,,Y40T44,7.8
2016,PT,,,,Y45T49,100.0
2016,PT,_L_KZ_160104_1A,,,Y45T49,45.0
2016,PT,_L_KZ_160104_1B,,,Y45T49,46.5
2016,PT,_L_KZ_160104_1C,,,Y45T49,8.5
2016,PT,,,,Y50T54,100.0
2016,PT,_L_KZ_160104_1A,,,Y50T54,42.7
2016,PT,_L_KZ_160104_1B,,,Y50T54,49.7
2016,PT,_L_KZ_160104_1C,,,Y50T54,7.6
2016,PT,,,,Y55T59,100.0
2016,PT,_L_KZ_160104_1A,,,Y55T59,41.5
2016,PT,_L_KZ_160104_1B,,,Y55T59,49.3
2016,PT,_L_KZ_160104_1C,,,Y55T59,9.2
2016,PT,,,,Y_GE60,100.0
2016,PT,_L_KZ_160104_1A,,,Y_GE60,35.0
2016,PT,_L_KZ_160104_1B,,,Y_GE60,51.1
2016,PT,_L_KZ_160104_1C,,,Y_GE60,14.0
2019,PT,,,,,100.0
2019,PT,_L_KZ_160104_1A,,,,49.6
2019,PT,_L_KZ_160104_1B,,,,42.8
2019,PT,_L_KZ_160104_1C,,,,5.4
2019,PT,совсем не безопасно,,,,0.9
2019,PT,затруднились ответить,,,,1.2
2019,PT,,U,,,100.0
2019,PT,_L_KZ_160104_1A,U,,,40.5
2019,PT,_L_KZ_160104_1B,U,,,50.4
2019,PT,_L_KZ_160104_1C,U,,,6.5
2019,PT,совсем не безопасно,U,,,1.0
2019,PT,затруднились ответить,U,,,1.7
2019,PT,,R,,,100.0
2019,PT,_L_KZ_160104_1A,R,,,62.9
2019,PT,_L_KZ_160104_1B,R,,,31.9
2019,PT,_L_KZ_160104_1C,R,,,3.8
2019,PT,совсем не безопасно,R,,,0.9
2019,PT,затруднились ответить,R,,,0.5
2019,PT,,,M,,100.0
2019,PT,_L_KZ_160104_1A,,M,,55.3
2019,PT,_L_KZ_160104_1B,,M,,39.3
2019,PT,_L_KZ_160104_1C,,M,,3.6
2019,PT,совсем не безопасно,,M,,0.8
2019,PT,затруднились ответить,,M,,1.0
2019,PT,,,F,,100.0
2019,PT,_L_KZ_160104_1A,,F,,44.6
2019,PT,_L_KZ_160104_1B,,F,,46.0
2019,PT,_L_KZ_160104_1C,,F,,7.0
2019,PT,совсем не безопасно,,F,,1.0
2019,PT,затруднились ответить,,F,,1.4
2019,PT,,,,Y15T19,100.0
2019,PT,_L_KZ_160104_1A,,,Y15T19,52.4
2019,PT,_L_KZ_160104_1B,,,Y15T19,41.6
2019,PT,_L_KZ_160104_1C,,,Y15T19,4.3
2019,PT,совсем не безопасно,,,Y15T19,1.2
2019,PT,затруднились ответить,,,Y15T19,0.5
2019,PT,,,,Y20T24,100.0
2019,PT,_L_KZ_160104_1A,,,Y20T24,55.7
2019,PT,_L_KZ_160104_1B,,,Y20T24,38.7
2019,PT,_L_KZ_160104_1C,,,Y20T24,4.3
2019,PT,совсем не безопасно,,,Y20T24,0.6
2019,PT,затруднились ответить,,,Y20T24,0.6
2019,PT,,,,Y25T29,100.0
2019,PT,_L_KZ_160104_1A,,,Y25T29,52.9
2019,PT,_L_KZ_160104_1B,,,Y25T29,40.8
2019,PT,_L_KZ_160104_1C,,,Y25T29,4.5
2019,PT,совсем не безопасно,,,Y25T29,0.6
2019,PT,затруднились ответить,,,Y25T29,1.2
2019,PT,,,,Y30T34,100.0
2019,PT,_L_KZ_160104_1A,,,Y30T34,51.6
2019,PT,_L_KZ_160104_1B,,,Y30T34,42.0
2019,PT,_L_KZ_160104_1C,,,Y30T34,4.4
2019,PT,совсем не безопасно,,,Y30T34,0.7
2019,PT,затруднились ответить,,,Y30T34,1.2
2019,PT,,,,Y35T39,100.0
2019,PT,_L_KZ_160104_1A,,,Y35T39,50.2
2019,PT,_L_KZ_160104_1B,,,Y35T39,43.4
2019,PT,_L_KZ_160104_1C,,,Y35T39,4.6
2019,PT,совсем не безопасно,,,Y35T39,0.9
2019,PT,затруднились ответить,,,Y35T39,1.0
2019,PT,,,,Y40T44,100.0
2019,PT,_L_KZ_160104_1A,,,Y40T44,51.3
2019,PT,_L_KZ_160104_1B,,,Y40T44,41.6
2019,PT,_L_KZ_160104_1C,,,Y40T44,5.2
2019,PT,совсем не безопасно,,,Y40T44,0.7
2019,PT,затруднились ответить,,,Y40T44,1.1
2019,PT,,,,Y45T49,100.0
2019,PT,_L_KZ_160104_1A,,,Y45T49,49.8
2019,PT,_L_KZ_160104_1B,,,Y45T49,43.4
2019,PT,_L_KZ_160104_1C,,,Y45T49,5.3
2019,PT,совсем не безопасно,,,Y45T49,0.7
2019,PT,затруднились ответить,,,Y45T49,0.8
2019,PT,,,,Y50T54,100.0
2019,PT,_L_KZ_160104_1A,,,Y50T54,49.3
2019,PT,_L_KZ_160104_1B,,,Y50T54,42.3
2019,PT,_L_KZ_160104_1C,,,Y50T54,5.6
2019,PT,совсем не безопасно,,,Y50T54,1.3
2019,PT,затруднились ответить,,,Y50T54,1.5
2019,PT,,,,Y55T59,100.0
2019,PT,_L_KZ_160104_1A,,,Y55T59,45.2
2019,PT,_L_KZ_160104_1B,,,Y55T59,46.2
2019,PT,_L_KZ_160104_1C,,,Y55T59,5.8
2019,PT,совсем не безопасно,,,Y55T59,1.2
2019,PT,затруднились ответить,,,Y55T59,1.6
2019,PT,,,,Y_GE60,100.0
