Year,UNIT_MEASURE,SERIES,REF_AREA,Value
2012,TH_UNITS,,,1571.7
2012,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,,470.2
2012,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZAKM,19.5
2012,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZAKT,14.8
2012,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZALM,70.1
2012,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZATY,9.3
2012,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZZAP,11.6
2012,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZZHA,14.0
2012,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZKAR,96.1
2012,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZKUS,17.0
2012,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZKZY,13.5
2012,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZMAN,17.9
2012,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZONT,31.8
2012,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZPAV,26.8
2012,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZSEV,26.6
2012,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZVOS,16.9
2012,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZNS,21.7
2012,TH_UNITS,от 256 кБит/сек до менее 2 Мбит/сек,KZALA,62.7
2012,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,,720.8
2012,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZAKM,34.9
2012,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZAKT,38.5
2012,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZALM,4.5
2012,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZATY,40.3
2012,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZZAP,26.4
2012,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZZHA,24.3
2012,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZKAR,26.7
2012,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZKUS,51.3
2012,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZKZY,15.6
2012,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZMAN,18.1
2012,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZONT,24.9
2012,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZPAV,45.1
2012,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZSEV,27.4
2012,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZVOS,71.8
2012,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZNS,75.2
2012,TH_UNITS,от 2 Мбит/сек до менее 10 Мбит/сек,KZALA,195.9
2012,TH_UNITS,выше 10 Мбит/сек,KZAKM,6.3
2012,TH_UNITS,выше 10 Мбит/сек,KZAKT,2.1
2012,TH_UNITS,выше 10 Мбит/сек,KZALM,5.6
2012,TH_UNITS,выше 10 Мбит/сек,KZATY,6.9
2012,TH_UNITS,выше 10 Мбит/сек,KZZAP,2.0
2012,TH_UNITS,выше 10 Мбит/сек,KZZHA,1.4
2012,TH_UNITS,выше 10 Мбит/сек,KZKAR,16.4
2012,TH_UNITS,выше 10 Мбит/сек,KZKUS,10.9
