Year,UNIT_MEASURE,SERIES,AGE,URBANISATION,SEX,REF_AREA,Value
2010,PT,_L_KZ_DD_MSD,,,,,4.05
2010,PT,_L_KZ_DD_MSD,,,M,,4.4
2010,PT,_L_KZ_DD_MSD,,,F,,3.7
2010,PT,_L_KZ_DD_MSD,,U,,,4.9
2010,PT,_L_KZ_DD_MSD,,R,,,3.3
2010,PT,_L_KZ_DD_MSD,,,,KZAKM,2.6
2010,PT,_L_KZ_DD_MSD,,,,KZAKT,8.6
2010,PT,_L_KZ_DD_MSD,,,,KZALM,3.7
2010,PT,_L_KZ_DD_MSD,,,,KZATY,3.2
2010,PT,_L_KZ_DD_MSD,,,,KZZAP,1.8
2010,PT,_L_KZ_DD_MSD,,,,KZZHA,2.8
2010,PT,_L_KZ_DD_MSD,,,,KZKAR,0.4
2010,PT,_L_KZ_DD_MSD,,,,KZKUS,0.4
2010,PT,_L_KZ_DD_MSD,,,,KZKZY,1.3
2010,PT,_L_KZ_DD_MSD,,,,KZMAN,4.5
2010,PT,_L_KZ_DD_MSD,,,,KZONT,5.8
2010,PT,_L_KZ_DD_MSD,,,,KZPAV,2.7
2010,PT,_L_KZ_DD_MSD,,,,KZSEV,1.7
2010,PT,_L_KZ_DD_MSD,,,,KZVOS,8.1
2010,PT,_L_KZ_DD_MSD,,,,KZNS,4.5
2010,PT,_L_KZ_DD_MSD,,,,KZALA,7.8
2010,PT,_L_KZ_DD_MSD,M0T5,,,,13.4
2010,PT,_L_KZ_DD_MSD,M6T11,,,,4.4
2010,PT,_L_KZ_DD_MSD,M12T23,,,,2.1
2010,PT,_L_KZ_DD_MSD,M24T35,,,,2.5
2010,PT,_L_KZ_DD_MSD,M36T47,,,,2.4
2010,PT,_L_KZ_DD_MSD,M48T59,,,,4.5
2010,PT,_L_KZ_DD_SDD,,,,,1.6
2010,PT,_L_KZ_DD_SDD,,,M,,1.9
2010,PT,_L_KZ_DD_SDD,,,F,,1.4
2010,PT,_L_KZ_DD_SDD,,U,,,2.1
2010,PT,_L_KZ_DD_SDD,,R,,,1.3
2010,PT,_L_KZ_DD_SDD,,,,KZAKM,0.9
2010,PT,_L_KZ_DD_SDD,,,,KZAKT,3.9
2010,PT,_L_KZ_DD_SDD,,,,KZALM,2.0
2010,PT,_L_KZ_DD_SDD,,,,KZATY,1.9
2010,PT,_L_KZ_DD_SDD,,,,KZZAP,1.1
2010,PT,_L_KZ_DD_SDD,,,,KZZHA,1.4
2010,PT,_L_KZ_DD_SDD,,,,KZKAR,0.4
2010,PT,_L_KZ_DD_SDD,,,,KZKUS,0.0
2010,PT,_L_KZ_DD_SDD,,,,KZKZY,0.2
2010,PT,_L_KZ_DD_SDD,,,,KZMAN,1.7
2010,PT,_L_KZ_DD_SDD,,,,KZONT,2.0
2010,PT,_L_KZ_DD_SDD,,,,KZPAV,1.5
2010,PT,_L_KZ_DD_SDD,,,,KZSEV,0.4
2010,PT,_L_KZ_DD_SDD,,,,KZVOS,2.7
2010,PT,_L_KZ_DD_SDD,,,,KZNS,2.8
2010,PT,_L_KZ_DD_SDD,,,,KZALA,3.0
2010,PT,_L_KZ_DD_SDD,M0T5,,,,7.4
2010,PT,_L_KZ_DD_SDD,M6T11,,,,1.0
2010,PT,_L_KZ_DD_SDD,M12T23,,,,0.6
2010,PT,_L_KZ_DD_SDD,M24T35,,,,1.2
2010,PT,_L_KZ_DD_SDD,M36T47,,,,0.7
2010,PT,_L_KZ_DD_SDD,M48T59,,,,1.8
2010,PT,SN_STA_OVWGTN,,,,,13.3
2010,PT,SN_STA_OVWGTN,,,M,,14.8
2010,PT,SN_STA_OVWGTN,,,F,,11.8
2010,PT,SN_STA_OVWGTN,,U,,,13.7
2010,PT,SN_STA_OVWGTN,,R,,,13.0
