Year,UNIT_MEASURE,SEX,URBANISATION,REF_AREA,Value
2010,PER_1000_LIVE_BIRTHS,_T,,,19.55
2010,PER_1000_LIVE_BIRTHS,_T,,KZAKM,16.99
2010,PER_1000_LIVE_BIRTHS,_T,,KZAKT,19.45
2010,PER_1000_LIVE_BIRTHS,_T,,KZALM,16.06
2010,PER_1000_LIVE_BIRTHS,_T,,KZATY,19.78
2010,PER_1000_LIVE_BIRTHS,_T,,KZZAP,17.17
2010,PER_1000_LIVE_BIRTHS,_T,,KZZHA,20.5
2010,PER_1000_LIVE_BIRTHS,_T,,KZKAR,17.31
2010,PER_1000_LIVE_BIRTHS,_T,,KZKUS,16.51
2010,PER_1000_LIVE_BIRTHS,_T,,KZKZY,26.47
2010,PER_1000_LIVE_BIRTHS,_T,,KZMAN,21.64
2010,PER_1000_LIVE_BIRTHS,_T,,KZONT,23.0
2010,PER_1000_LIVE_BIRTHS,_T,,KZPAV,15.03
2010,PER_1000_LIVE_BIRTHS,_T,,KZSEV,16.4
2010,PER_1000_LIVE_BIRTHS,_T,,KZVOS,22.27
2010,PER_1000_LIVE_BIRTHS,_T,,KZNS,12.68
2010,PER_1000_LIVE_BIRTHS,_T,,KZALA,18.84
2010,PER_1000_LIVE_BIRTHS,_T,U,,19.09
2010,PER_1000_LIVE_BIRTHS,_T,U,KZAKM,16.63
2010,PER_1000_LIVE_BIRTHS,_T,U,KZAKT,19.15
2010,PER_1000_LIVE_BIRTHS,_T,U,KZALM,18.68
2010,PER_1000_LIVE_BIRTHS,_T,U,KZATY,17.69
2010,PER_1000_LIVE_BIRTHS,_T,U,KZZAP,15.04
2010,PER_1000_LIVE_BIRTHS,_T,U,KZZHA,21.62
2010,PER_1000_LIVE_BIRTHS,_T,U,KZKAR,17.1
2010,PER_1000_LIVE_BIRTHS,_T,U,KZKUS,15.02
2010,PER_1000_LIVE_BIRTHS,_T,U,KZKZY,25.25
2010,PER_1000_LIVE_BIRTHS,_T,U,KZMAN,22.03
2010,PER_1000_LIVE_BIRTHS,_T,U,KZONT,24.55
2010,PER_1000_LIVE_BIRTHS,_T,U,KZPAV,14.18
2010,PER_1000_LIVE_BIRTHS,_T,U,KZSEV,14.21
2010,PER_1000_LIVE_BIRTHS,_T,U,KZVOS,21.29
2010,PER_1000_LIVE_BIRTHS,_T,U,KZNS,12.68
2010,PER_1000_LIVE_BIRTHS,_T,U,KZALA,18.84
2010,PER_1000_LIVE_BIRTHS,_T,R,,20.06
2010,PER_1000_LIVE_BIRTHS,_T,R,KZAKM,17.4
2010,PER_1000_LIVE_BIRTHS,_T,R,KZAKT,19.93
2010,PER_1000_LIVE_BIRTHS,_T,R,KZALM,15.18
2010,PER_1000_LIVE_BIRTHS,_T,R,KZATY,22.07
2010,PER_1000_LIVE_BIRTHS,_T,R,KZZAP,19.6
2010,PER_1000_LIVE_BIRTHS,_T,R,KZZHA,19.82
2010,PER_1000_LIVE_BIRTHS,_T,R,KZKAR,18.03
2010,PER_1000_LIVE_BIRTHS,_T,R,KZKUS,18.08
2010,PER_1000_LIVE_BIRTHS,_T,R,KZKZY,27.45
2010,PER_1000_LIVE_BIRTHS,_T,R,KZMAN,21.27
2010,PER_1000_LIVE_BIRTHS,_T,R,KZONT,22.05
2010,PER_1000_LIVE_BIRTHS,_T,R,KZPAV,16.76
2010,PER_1000_LIVE_BIRTHS,_T,R,KZSEV,18.04
2010,PER_1000_LIVE_BIRTHS,_T,R,KZVOS,23.51
2010,PER_1000_LIVE_BIRTHS,M,,,21.76
2010,PER_1000_LIVE_BIRTHS,M,,KZAKM,19.91
2010,PER_1000_LIVE_BIRTHS,M,,KZAKT,22.31
2010,PER_1000_LIVE_BIRTHS,M,,KZALM,17.44
2010,PER_1000_LIVE_BIRTHS,M,,KZATY,20.66
2010,PER_1000_LIVE_BIRTHS,M,,KZZAP,17.91
2010,PER_1000_LIVE_BIRTHS,M,,KZZHA,23.26
2010,PER_1000_LIVE_BIRTHS,M,,KZKAR,19.52
2010,PER_1000_LIVE_BIRTHS,M,,KZKUS,19.6
2010,PER_1000_LIVE_BIRTHS,M,,KZKZY,28.04
2010,PER_1000_LIVE_BIRTHS,M,,KZMAN,21.6
2010,PER_1000_LIVE_BIRTHS,M,,KZONT,26.15
2010,PER_1000_LIVE_BIRTHS,M,,KZPAV,16.75
2010,PER_1000_LIVE_BIRTHS,M,,KZSEV,17.48
2010,PER_1000_LIVE_BIRTHS,M,,KZVOS,24.66
2010,PER_1000_LIVE_BIRTHS,M,,KZNS,14.49
2010,PER_1000_LIVE_BIRTHS,M,,KZALA,21.74
2010,PER_1000_LIVE_BIRTHS,M,U,,21.36
2010,PER_1000_LIVE_BIRTHS,M,U,KZAKM,19.65
2010,PER_1000_LIVE_BIRTHS,M,U,KZAKT,22.32
2010,PER_1000_LIVE_BIRTHS,M,U,KZALM,22.09
2010,PER_1000_LIVE_BIRTHS,M,U,KZATY,17.41
2010,PER_1000_LIVE_BIRTHS,M,U,KZZAP,12.04
2010,PER_1000_LIVE_BIRTHS,M,U,KZZHA,22.86
2010,PER_1000_LIVE_BIRTHS,M,U,KZKAR,20.52
2010,PER_1000_LIVE_BIRTHS,M,U,KZKUS,15.9
2010,PER_1000_LIVE_BIRTHS,M,U,KZKZY,28.48
2010,PER_1000_LIVE_BIRTHS,M,U,KZMAN,21.84
2010,PER_1000_LIVE_BIRTHS,M,U,KZONT,28.55
2010,PER_1000_LIVE_BIRTHS,M,U,KZPAV,15.25
2010,PER_1000_LIVE_BIRTHS,M,U,KZSEV,15.32
2010,PER_1000_LIVE_BIRTHS,M,U,KZVOS,22.69
2010,PER_1000_LIVE_BIRTHS,M,U,KZNS,14.49
2010,PER_1000_LIVE_BIRTHS,M,U,KZALA,21.74
2010,PER_1000_LIVE_BIRTHS,M,R,,22.2
2010,PER_1000_LIVE_BIRTHS,M,R,KZAKM,20.22
2010,PER_1000_LIVE_BIRTHS,M,R,KZAKT,22.28
2010,PER_1000_LIVE_BIRTHS,M,R,KZALM,15.91
2010,PER_1000_LIVE_BIRTHS,M,R,KZATY,24.27
2010,PER_1000_LIVE_BIRTHS,M,R,KZZAP,24.47
2010,PER_1000_LIVE_BIRTHS,M,R,KZZHA,23.51
2010,PER_1000_LIVE_BIRTHS,M,R,KZKAR,16.06
2010,PER_1000_LIVE_BIRTHS,M,R,KZKUS,23.58
2010,PER_1000_LIVE_BIRTHS,M,R,KZKZY,27.69
2010,PER_1000_LIVE_BIRTHS,M,R,KZMAN,21.37
2010,PER_1000_LIVE_BIRTHS,M,R,KZONT,24.66
2010,PER_1000_LIVE_BIRTHS,M,R,KZPAV,19.8
2010,PER_1000_LIVE_BIRTHS,M,R,KZSEV,19.08
2010,PER_1000_LIVE_BIRTHS,M,R,KZVOS,27.1
2010,PER_1000_LIVE_BIRTHS,F,,,17.21
2010,PER_1000_LIVE_BIRTHS,F,,KZAKM,13.86
2010,PER_1000_LIVE_BIRTHS,F,,KZAKT,16.45
2010,PER_1000_LIVE_BIRTHS,F,,KZALM,14.6
2010,PER_1000_LIVE_BIRTHS,F,,KZATY,18.84
2010,PER_1000_LIVE_BIRTHS,F,,KZZAP,16.38
2010,PER_1000_LIVE_BIRTHS,F,,KZZHA,17.54
2010,PER_1000_LIVE_BIRTHS,F,,KZKAR,14.99
2010,PER_1000_LIVE_BIRTHS,F,,KZKUS,13.15
2010,PER_1000_LIVE_BIRTHS,F,,KZKZY,24.78
2010,PER_1000_LIVE_BIRTHS,F,,KZMAN,21.69
2010,PER_1000_LIVE_BIRTHS,F,,KZONT,19.69
2010,PER_1000_LIVE_BIRTHS,F,,KZPAV,13.24
2010,PER_1000_LIVE_BIRTHS,F,,KZSEV,15.26
2010,PER_1000_LIVE_BIRTHS,F,,KZVOS,19.77
2010,PER_1000_LIVE_BIRTHS,F,,KZNS,10.75
2010,PER_1000_LIVE_BIRTHS,F,,KZALA,15.71
2010,PER_1000_LIVE_BIRTHS,F,U,,16.68
2010,PER_1000_LIVE_BIRTHS,F,U,KZAKM,13.37
2010,PER_1000_LIVE_BIRTHS,F,U,KZAKT,15.82
2010,PER_1000_LIVE_BIRTHS,F,U,KZALM,15.12
2010,PER_1000_LIVE_BIRTHS,F,U,KZATY,18.0
2010,PER_1000_LIVE_BIRTHS,F,U,KZZAP,18.14
2010,PER_1000_LIVE_BIRTHS,F,U,KZZHA,20.27
2010,PER_1000_LIVE_BIRTHS,F,U,KZKAR,13.54
2010,PER_1000_LIVE_BIRTHS,F,U,KZKUS,14.04
2010,PER_1000_LIVE_BIRTHS,F,U,KZKZY,21.82
2010,PER_1000_LIVE_BIRTHS,F,U,KZMAN,22.24
2010,PER_1000_LIVE_BIRTHS,F,U,KZONT,20.31
2010,PER_1000_LIVE_BIRTHS,F,U,KZPAV,13.07
2010,PER_1000_LIVE_BIRTHS,F,U,KZSEV,13.06
2010,PER_1000_LIVE_BIRTHS,F,U,KZVOS,19.86
2010,PER_1000_LIVE_BIRTHS,F,U,KZNS,10.75
2010,PER_1000_LIVE_BIRTHS,F,U,KZALA,15.71
2010,PER_1000_LIVE_BIRTHS,F,R,,17.8
2010,PER_1000_LIVE_BIRTHS,F,R,KZAKM,14.41
2010,PER_1000_LIVE_BIRTHS,F,R,KZAKT,17.46
2010,PER_1000_LIVE_BIRTHS,F,R,KZALM,14.42
2010,PER_1000_LIVE_BIRTHS,F,R,KZATY,19.76
2010,PER_1000_LIVE_BIRTHS,F,R,KZZAP,14.29
2010,PER_1000_LIVE_BIRTHS,F,R,KZZHA,15.92
2010,PER_1000_LIVE_BIRTHS,F,R,KZKAR,20.11
2010,PER_1000_LIVE_BIRTHS,F,R,KZKUS,12.22
2010,PER_1000_LIVE_BIRTHS,F,R,KZKZY,27.2
2010,PER_1000_LIVE_BIRTHS,F,R,KZMAN,21.16
2010,PER_1000_LIVE_BIRTHS,F,R,KZONT,19.31
2010,PER_1000_LIVE_BIRTHS,F,R,KZPAV,13.59
2010,PER_1000_LIVE_BIRTHS,F,R,KZSEV,16.93
2010,PER_1000_LIVE_BIRTHS,F,R,KZVOS,19.66
2011,PER_1000_LIVE_BIRTHS,_T,,,17.99
2011,PER_1000_LIVE_BIRTHS,_T,,KZAKM,18.3
2011,PER_1000_LIVE_BIRTHS,_T,,KZAKT,14.22
2011,PER_1000_LIVE_BIRTHS,_T,,KZALM,15.08
2011,PER_1000_LIVE_BIRTHS,_T,,KZATY,19.33
2011,PER_1000_LIVE_BIRTHS,_T,,KZZAP,14.54
2011,PER_1000_LIVE_BIRTHS,_T,,KZZHA,18.9
2011,PER_1000_LIVE_BIRTHS,_T,,KZKAR,13.5
2011,PER_1000_LIVE_BIRTHS,_T,,KZKUS,16.24
2011,PER_1000_LIVE_BIRTHS,_T,,KZKZY,23.61
2011,PER_1000_LIVE_BIRTHS,_T,,KZMAN,20.22
2011,PER_1000_LIVE_BIRTHS,_T,,KZONT,20.66
2011,PER_1000_LIVE_BIRTHS,_T,,KZPAV,15.49
2011,PER_1000_LIVE_BIRTHS,_T,,KZSEV,15.0
2011,PER_1000_LIVE_BIRTHS,_T,,KZVOS,21.28
2011,PER_1000_LIVE_BIRTHS,_T,,KZNS,12.82
2011,PER_1000_LIVE_BIRTHS,_T,,KZALA,19.45
2011,PER_1000_LIVE_BIRTHS,_T,U,,17.88
2011,PER_1000_LIVE_BIRTHS,_T,U,KZAKM,20.27
2011,PER_1000_LIVE_BIRTHS,_T,U,KZAKT,12.98
2011,PER_1000_LIVE_BIRTHS,_T,U,KZALM,15.98
2011,PER_1000_LIVE_BIRTHS,_T,U,KZATY,17.69
2011,PER_1000_LIVE_BIRTHS,_T,U,KZZAP,12.58
