Year,UNIT_MEASURE,SEX,REF_AREA,URBANISATION,Value
2010,PER_1000_LIVE_BIRTHS,_T,,,11.52004177238943
2010,PER_1000_LIVE_BIRTHS,_T,KZAKM,,9.649892335911955
2010,PER_1000_LIVE_BIRTHS,_T,KZAKT,,12.109920819748488
2010,PER_1000_LIVE_BIRTHS,_T,KZALM,,8.588310233487821
2010,PER_1000_LIVE_BIRTHS,_T,KZATY,,11.838299589695298
2010,PER_1000_LIVE_BIRTHS,_T,KZZAP,,9.964830011723327
2010,PER_1000_LIVE_BIRTHS,_T,KZZHA,,11.089344434338487
2010,PER_1000_LIVE_BIRTHS,_T,KZKAR,,9.548574108018244
2010,PER_1000_LIVE_BIRTHS,_T,KZKUS,,9.2657478782216
2010,PER_1000_LIVE_BIRTHS,_T,KZKZY,,15.380005992210126
2010,PER_1000_LIVE_BIRTHS,_T,KZMAN,,13.865404125803176
2010,PER_1000_LIVE_BIRTHS,_T,KZONT,,12.794046435762164
2010,PER_1000_LIVE_BIRTHS,_T,KZPAV,,9.26076360682372
2010,PER_1000_LIVE_BIRTHS,_T,KZSEV,,8.71459694989107
2010,PER_1000_LIVE_BIRTHS,_T,KZVOS,,15.781435601561176
2010,PER_1000_LIVE_BIRTHS,_T,KZNS,,7.321994811184779
2010,PER_1000_LIVE_BIRTHS,_T,KZALA,,13.902486782847072
2010,PER_1000_LIVE_BIRTHS,_T,,U,12.345294459672733
2010,PER_1000_LIVE_BIRTHS,_T,KZAKM,U,10.18573996405033
2010,PER_1000_LIVE_BIRTHS,_T,KZAKT,U,12.733446519524618
2010,PER_1000_LIVE_BIRTHS,_T,KZALM,U,11.72012689460698
2010,PER_1000_LIVE_BIRTHS,_T,KZATY,U,10.25772534940377
2010,PER_1000_LIVE_BIRTHS,_T,KZZAP,U,9.71634540040746
2010,PER_1000_LIVE_BIRTHS,_T,KZZHA,U,12.209898406188834
2010,PER_1000_LIVE_BIRTHS,_T,KZKAR,U,9.920526171553847
2010,PER_1000_LIVE_BIRTHS,_T,KZKUS,U,8.645533141210375
2010,PER_1000_LIVE_BIRTHS,_T,KZKZY,U,16.242073645566805
2010,PER_1000_LIVE_BIRTHS,_T,KZMAN,U,15.186756054179778
2010,PER_1000_LIVE_BIRTHS,_T,KZONT,U,15.8311345646438
2010,PER_1000_LIVE_BIRTHS,_T,KZPAV,U,9.694619486185166
2010,PER_1000_LIVE_BIRTHS,_T,KZSEV,U,8.308764406325382
2010,PER_1000_LIVE_BIRTHS,_T,KZVOS,U,15.74264202600958
2010,PER_1000_LIVE_BIRTHS,_T,KZNS,U,7.321994811184779
2010,PER_1000_LIVE_BIRTHS,_T,KZALA,U,13.902486782847072
2010,PER_1000_LIVE_BIRTHS,_T,,R,10.612109685120773
2010,PER_1000_LIVE_BIRTHS,_T,KZAKM,R,9.039740747057822
2010,PER_1000_LIVE_BIRTHS,_T,KZAKT,R,11.104350471554609
2010,PER_1000_LIVE_BIRTHS,_T,KZALM,R,7.548494689721759
2010,PER_1000_LIVE_BIRTHS,_T,KZATY,R,13.582342954159593
2010,PER_1000_LIVE_BIRTHS,_T,KZZAP,R,10.249955044056824
2010,PER_1000_LIVE_BIRTHS,_T,KZZHA,R,10.41608332866663
2010,PER_1000_LIVE_BIRTHS,_T,KZKAR,R,8.247027234369007
2010,PER_1000_LIVE_BIRTHS,_T,KZKUS,R,9.92
2010,PER_1000_LIVE_BIRTHS,_T,KZKZY,R,14.677901603696656
2010,PER_1000_LIVE_BIRTHS,_T,KZMAN,R,12.573568753344034
2010,PER_1000_LIVE_BIRTHS,_T,KZONT,R,10.92040467310902
2010,PER_1000_LIVE_BIRTHS,_T,KZPAV,R,8.378511582060128
2010,PER_1000_LIVE_BIRTHS,_T,KZSEV,R,9.01803607214429
2010,PER_1000_LIVE_BIRTHS,_T,KZVOS,R,15.830375131919793
2010,PER_1000_LIVE_BIRTHS,M,,,13.049889797406935
2010,PER_1000_LIVE_BIRTHS,M,KZAKM,,11.886384686631676
2010,PER_1000_LIVE_BIRTHS,M,KZAKT,,14.568631914409288
2010,PER_1000_LIVE_BIRTHS,M,KZALM,,9.531136470487668
