Year,UNIT_MEASURE,URBANISATION,Value
2010,PER_100000_POP,,95.3
2010,PER_100000_POP,U,107.3
2010,PER_100000_POP,R,81.1
2011,PER_100000_POP,,86.6
2011,PER_100000_POP,U,97.1
2011,PER_100000_POP,R,74.0
2012,PER_100000_POP,,81.7
2012,PER_100000_POP,U,91.0
2012,PER_100000_POP,R,70.4
2013,PER_100000_POP,,73.4
2013,PER_100000_POP,U,85.9
2013,PER_100000_POP,R,61.2
2014,PER_100000_POP,,66.4
2014,PER_100000_POP,U,78.6
2014,PER_100000_POP,R,50.6
2015,PER_100000_POP,,58.5
2015,PER_100000_POP,U,63.2
2015,PER_100000_POP,R,52.1
2016,PER_100000_POP,,52.7
2016,PER_100000_POP,U,55.6
2016,PER_100000_POP,R,48.9
2017,PER_100000_POP,,52.2
2017,PER_100000_POP,U,54.4
2017,PER_100000_POP,R,49.2
2018,PER_100000_POP,,48.2
2018,PER_100000_POP,U,50.22440672301683
2018,PER_100000_POP,R,45.31521836735146
2019,PER_100000_POP,,45.6
2019,PER_100000_POP,U,47.7
2019,PER_100000_POP,R,42.6
