Year,UNIT_MEASURE,SERIES,Value
2010,PT,,98.1
2010,PT,_L_KZ_030b01_1A,98.9
2010,PT,_L_KZ_030b01_1B,99.6
2011,PT,,97.1
2011,PT,_L_KZ_030b01_1A,98.6
2011,PT,_L_KZ_030b01_1B,100.0
2012,PT,,97.2
2012,PT,_L_KZ_030b01_1A,98.1
2012,PT,_L_KZ_030b01_1B,97.0
2012,PT,_L_KZ_030b01_1C,38.5
2013,PT,,97.9
2013,PT,_L_KZ_030b01_1A,98.1
2013,PT,_L_KZ_030b01_1B,99.3
2013,PT,_L_KZ_030b01_1C,51.8
2014,PT,,98.4
2014,PT,_L_KZ_030b01_1A,98.5
2014,PT,_L_KZ_030b01_1B,99.2
2014,PT,_L_KZ_030b01_1C,58.5
2015,PT,,98.2
2015,PT,_L_KZ_030b01_1A,97.9
2015,PT,_L_KZ_030b01_1B,98.4
2015,PT,_L_KZ_030b01_1C,73.7
2016,PT,,95.0
2016,PT,_L_KZ_030b01_1A,82.5
2016,PT,_L_KZ_030b01_1B,99.3
2016,PT,_L_KZ_030b01_1C,97.3
2017,PT,,96.9
2017,PT,_L_KZ_030b01_1A,100.0
2017,PT,_L_KZ_030b01_1B,98.7
2017,PT,_L_KZ_030b01_1C,98.3
2018,PT,,97.8
2018,PT,_L_KZ_030b01_1A,98.3
2018,PT,_L_KZ_030b01_1B,98.4
2018,PT,_L_KZ_030b01_1C,95.5
2019,PT,,96.7
2019,PT,_L_KZ_030b01_1A,97.4
2019,PT,_L_KZ_030b01_1B,97.8
2019,PT,_L_KZ_030b01_1C,89.4
