Year,UNIT_MEASURE,SERIES,SEX,REF_AREA,Value
2015,PT,_L_KZ_040101_1A,,,58.7
2015,PT,_L_KZ_040101_1A,M,,54.7
2015,PT,_L_KZ_040101_1A,F,,63.0
2015,PT,_L_KZ_040101_1A,M,KZAKM,57.0
2015,PT,_L_KZ_040101_1A,F,KZAKM,60.0
2015,PT,_L_KZ_040101_1A,M,KZAKT,39.0
2015,PT,_L_KZ_040101_1A,F,KZAKT,62.0
2015,PT,_L_KZ_040101_1A,M,KZALM,51.0
2015,PT,_L_KZ_040101_1A,F,KZALM,58.0
2015,PT,_L_KZ_040101_1A,M,KZATY,33.0
2015,PT,_L_KZ_040101_1A,F,KZATY,51.0
2015,PT,_L_KZ_040101_1A,M,KZZAP,59.0
2015,PT,_L_KZ_040101_1A,F,KZZAP,66.0
2015,PT,_L_KZ_040101_1A,M,KZZHA,58.0
2015,PT,_L_KZ_040101_1A,F,KZZHA,63.0
2015,PT,_L_KZ_040101_1A,M,KZKAR,71.0
2015,PT,_L_KZ_040101_1A,F,KZKAR,74.0
2015,PT,_L_KZ_040101_1A,M,KZKUS,57.0
2015,PT,_L_KZ_040101_1A,F,KZKUS,63.0
2015,PT,_L_KZ_040101_1A,M,KZKZY,59.0
2015,PT,_L_KZ_040101_1A,F,KZKZY,65.0
2015,PT,_L_KZ_040101_1A,M,KZMAN,45.0
2015,PT,_L_KZ_040101_1A,F,KZMAN,45.0
2015,PT,_L_KZ_040101_1A,M,KZONT,42.0
2015,PT,_L_KZ_040101_1A,F,KZONT,48.0
2015,PT,_L_KZ_040101_1A,M,KZPAV,70.0
2015,PT,_L_KZ_040101_1A,F,KZPAV,79.0
2015,PT,_L_KZ_040101_1A,M,KZSEV,57.0
2015,PT,_L_KZ_040101_1A,F,KZSEV,78.0
2015,PT,_L_KZ_040101_1A,M,KZVOS,57.0
2015,PT,_L_KZ_040101_1A,F,KZVOS,63.0
2015,PT,_L_KZ_040101_1A,M,KZNS,82.0
2015,PT,_L_KZ_040101_1A,F,KZNS,85.0
2015,PT,_L_KZ_040101_1A,M,KZALA,64.0
2015,PT,_L_KZ_040101_1A,F,KZALA,78.0
2015,PT,_L_KZ_040101_1C,,,99.977
2015,PT,_L_KZ_040101_1C,M,,99.977
2015,PT,_L_KZ_040101_1C,F,,99.977
2015,PT,_L_KZ_040101_1B,,,99.973
2015,PT,_L_KZ_040101_1B,M,,99.978
2015,PT,_L_KZ_040101_1B,F,,99.968
2015,PT,SE_TOT_PRFL,,,96.5
2015,PT,SE_TOT_PRFL,M,,96.5
2015,PT,SE_TOT_PRFL,F,,96.5
2015,PT,SKILL_MATH,,,67.8
2015,PT,SE_TOT_PRFL,M,,68.5
2015,PT,SE_TOT_PRFL,F,,67.2
2015,PT,SKILL_MATH,M,KZAKM,62.0
2015,PT,SE_TOT_PRFL,F,KZAKM,57.0
2015,PT,SE_TOT_PRFL,M,KZAKT,59.0
2015,PT,SKILL_MATH,F,KZAKT,65.0
2015,PT,SE_TOT_PRFL,M,KZALM,77.0
2015,PT,SE_TOT_PRFL,F,KZALM,76.0
2015,PT,SKILL_MATH,M,KZATY,38.0
2015,PT,SE_TOT_PRFL,F,KZATY,51.0
2015,PT,SE_TOT_PRFL,M,KZZAP,80.0
2015,PT,SKILL_MATH,F,KZZAP,74.0
2015,PT,SE_TOT_PRFL,M,KZZHA,79.0
2015,PT,SE_TOT_PRFL,F,KZZHA,83.0
2015,PT,SKILL_MATH,M,KZKAR,75.0
2015,PT,SE_TOT_PRFL,F,KZKAR,71.0
2015,PT,SE_TOT_PRFL,M,KZKUS,57.0
2015,PT,SKILL_MATH,F,KZKUS,58.0
2015,PT,SE_TOT_PRFL,M,KZKZY,76.0
2015,PT,SE_TOT_PRFL,F,KZKZY,77.0
2015,PT,SKILL_MATH,M,KZMAN,60.0
2015,PT,SE_TOT_PRFL,F,KZMAN,62.0
2015,PT,SE_TOT_PRFL,M,KZONT,56.0
2015,PT,SKILL_MATH,F,KZONT,57.0
2015,PT,SE_TOT_PRFL,M,KZPAV,69.0
2015,PT,SE_TOT_PRFL,F,KZPAV,64.0
2015,PT,SKILL_MATH,M,KZSEV,65.0
2015,PT,SE_TOT_PRFL,F,KZSEV,70.0
2015,PT,SE_TOT_PRFL,M,KZVOS,72.0
2015,PT,SKILL_MATH,F,KZVOS,72.0
2015,PT,SE_TOT_PRFL,M,KZNS,85.0
2015,PT,SE_TOT_PRFL,F,KZNS,82.0
2015,PT,SKILL_MATH,M,KZALA,66.0
2015,PT,SE_TOT_PRFL,F,KZALA,75.0
2015,PT,SKILL_MATH,,,90.8
2015,PT,SKILL_MATH,M,,91.9
2015,PT,SKILL_MATH,F,,89.7
2015,PT,SKILL_MATH,M,KZAKM,89.36
2015,PT,SKILL_MATH,F,KZAKM,90.76
2015,PT,SKILL_MATH,M,KZAKT,90.81
2015,PT,SKILL_MATH,F,KZAKT,89.19
2015,PT,SKILL_MATH,M,KZALM,85.36
2015,PT,SKILL_MATH,F,KZALM,87.63
2015,PT,SKILL_MATH,M,KZATY,70.78
2015,PT,SKILL_MATH,F,KZATY,78.48
2015,PT,SKILL_MATH,M,KZZAP,97.04
2015,PT,SKILL_MATH,F,KZZAP,97.91
2015,PT,SKILL_MATH,M,KZZHA,94.57
2015,PT,SKILL_MATH,F,KZZHA,97.43
2015,PT,SKILL_MATH,M,KZKAR,93.69
2015,PT,SKILL_MATH,F,KZKAR,93.33
2015,PT,SKILL_MATH,M,KZKUS,82.12
2015,PT,SKILL_MATH,F,KZKUS,89.48
2015,PT,SKILL_MATH,M,KZKZY,98.02
2015,PT,SKILL_MATH,F,KZKZY,98.78
2015,PT,SKILL_MATH,M,KZMAN,82.36
2015,PT,SKILL_MATH,F,KZMAN,88.87
2015,PT,SKILL_MATH,M,KZONT,85.74
2015,PT,SKILL_MATH,F,KZONT,88.95
2015,PT,SKILL_MATH,M,KZPAV,91.1
2015,PT,SKILL_MATH,F,KZPAV,93.79
2015,PT,SKILL_MATH,M,KZSEV,93.04
2015,PT,SKILL_MATH,F,KZSEV,94.69
2015,PT,SKILL_MATH,M,KZVOS,98.99
2015,PT,SKILL_MATH,F,KZVOS,99.4
2015,PT,SKILL_MATH,M,KZNS,85.04
2015,PT,SKILL_MATH,F,KZNS,95.37
2015,PT,SKILL_MATH,M,KZALA,97.17
2015,PT,SKILL_MATH,F,KZALA,92.92
2016,PT,SKILL_MATH,,,98.0
2016,PT,SKILL_MATH,M,,98.0
2016,PT,SKILL_MATH,F,,98.0
2018,PT,_L_KZ_040101_1A,,,35.8
2018,PT,_L_KZ_040101_1A,M,,29.34
2018,PT,_L_KZ_040101_1A,F,,42.66
2018,PT,_L_KZ_040101_1A,M,KZAKM,37.25
2018,PT,_L_KZ_040101_1A,F,KZAKM,48.81
2018,PT,_L_KZ_040101_1A,M,KZAKT,22.52
2018,PT,_L_KZ_040101_1A,F,KZAKT,42.35
