Year,UNIT_MEASURE,URBANISATION,SEX,REF_AREA,AGE,EDUCATION_LEV,INCOME_WEALTH_QUANTILE,Value
2010,PT,,,,,,,861.0
2010,PT,U,,,,,,87.2
2010,PT,R,,,,,,85.1
2010,PT,,M,,,,,83.5
2010,PT,,F,,,,,89.0
2010,PT,,,KZAKM,,,,80.3
2010,PT,,,KZAKT,,,,69.0
2010,PT,,,KZALM,,,,91.1
2010,PT,,,KZATY,,,,89.3
2010,PT,,,KZZAP,,,,85.0
2010,PT,,,KZZHA,,,,83.0
2010,PT,,,KZKAR,,,,92.3
2010,PT,,,KZKUS,,,,92.4
2010,PT,,,KZKZY,,,,92.0
2010,PT,,,KZMAN,,,,87.4
2010,PT,,,KZONT,,,,81.5
2010,PT,,,KZPAV,,,,90.6
2010,PT,,,KZSEV,,,,86.5
2010,PT,,,KZVOS,,,,83.2
2010,PT,,,KZNS,,,,96.0
2010,PT,,,KZALA,,,,89.0
2010,PT,,,,M36T47,,,82.9
2010,PT,,,,M48T59,,,89.4
2010,PT,,,,,ISCED11_1,,82.1
2010,PT,,,,,_L_EDU_BS_MS,,81.3
2010,PT,,,,,ISCED11_34,,88.9
2010,PT,,,,,AGG_5T8,,89.9
2010,PT,,,,,,Q1,83.3
2010,PT,,,,,,Q2,82.8
2010,PT,,,,,,Q3,88.6
2010,PT,,,,,,Q4,85.3
2010,PT,,,,,,Q5,92.1
2015,PT,,,,,,,855.0
2015,PT,U,,,,,,86.0
2015,PT,R,,,,,,85.1
2015,PT,,M,,,,,84.8
2015,PT,,F,,,,,86.3
2015,PT,,,KZAKM,,,,81.0
2015,PT,,,KZAKT,,,,95.0
2015,PT,,,KZALM,,,,96.8
2015,PT,,,KZATY,,,,82.0
2015,PT,,,KZZAP,,,,86.6
2015,PT,,,KZZHA,,,,79.4
2015,PT,,,KZKAR,,,,80.6
2015,PT,,,KZKUS,,,,92.5
2015,PT,,,KZKZY,,,,88.6
2015,PT,,,KZMAN,,,,79.5
2015,PT,,,KZONT,,,,82.2
2015,PT,,,KZPAV,,,,88.5
2015,PT,,,KZSEV,,,,83.5
2015,PT,,,KZVOS,,,,84.2
2015,PT,,,KZNS,,,,84.5
2015,PT,,,KZALA,,,,90.8
2015,PT,,,,M36T47,,,81.4
2015,PT,,,,M48T59,,,90.0
2015,PT,,,,,_L_EDU_BS_MS,,85.9
2015,PT,,,,,ISCED11_34,,82.0
2015,PT,,,,,ISCED11_25_35_45,,85.2
2015,PT,,,,,AGG_5T8,,87.9
2015,PT,,,,,,Q1,87.2
2015,PT,,,,,,Q2,82.4
2015,PT,,,,,,Q3,83.2
2015,PT,,,,,,Q4,87.3
2015,PT,,,,,,Q5,87.9
