Year,UNIT_MEASURE,SEX,REF_AREA,Value
2015,PT,,,99.81213409838932
2015,PT,M,,100.0
2015,PT,F,,95.54547647768396
2015,PT,,KZAKM,100.0
2015,PT,,KZAKT,100.0
2015,PT,,KZALM,97.8
2015,PT,,KZATY,100.0
2015,PT,,KZZAP,100.0
2015,PT,,KZZHA,100.0
2015,PT,,KZKAR,100.0
2015,PT,,KZKUS,100.0
2015,PT,,KZKZY,100.0
2015,PT,,KZMAN,100.0
2015,PT,,KZONT,99.5
2015,PT,,KZPAV,100.0
2015,PT,,KZSEV,100.0
2015,PT,,KZVOS,100.0
2015,PT,,KZNS,99.7
2015,PT,,KZALA,99.8
2015,PT,M,KZAKM,100.0
2015,PT,F,KZAKM,100.0
2015,PT,M,KZAKT,100.0
2015,PT,F,KZAKT,100.0
2015,PT,M,KZALM,97.94669047315394
2015,PT,F,KZALM,97.69844146429864
2015,PT,M,KZATY,100.0
2015,PT,F,KZATY,100.0
2015,PT,M,KZZAP,100.0
2015,PT,F,KZZAP,100.0
2015,PT,M,KZZHA,100.0
2015,PT,F,KZZHA,100.0
2015,PT,M,KZKAR,100.0
2015,PT,F,KZKAR,100.0
2015,PT,M,KZKUS,100.0
2015,PT,F,KZKUS,100.0
2015,PT,M,KZKZY,100.0
2015,PT,F,KZKZY,100.0
2015,PT,M,KZMAN,100.0
2015,PT,F,KZMAN,100.0
2015,PT,M,KZONT,99.03708400854882
2015,PT,F,KZONT,100.0
2015,PT,M,KZPAV,100.0
2015,PT,F,KZPAV,100.0
2015,PT,M,KZSEV,100.0
2015,PT,F,KZSEV,100.0
2015,PT,M,KZVOS,100.0
2015,PT,F,KZVOS,100.0
2015,PT,M,KZNS,100.0
2015,PT,F,KZNS,82.83477036776351
2015,PT,M,KZALA,100.0
2015,PT,F,KZALA,93.84175167952226
2016,PT,,,95.85777639042873
2016,PT,M,,98.77800407331976
2016,PT,F,,92.88182559087204
2016,PT,,KZAKM,100.0
2016,PT,,KZAKT,100.0
2016,PT,,KZALM,100.0
2016,PT,,KZATY,100.0
2016,PT,,KZZAP,100.0
2016,PT,,KZZHA,100.0
2016,PT,,KZKAR,96.8
2016,PT,,KZKUS,100.0
2016,PT,,KZKZY,100.0
2016,PT,,KZMAN,100.0
2016,PT,,KZONT,88.1
2016,PT,,KZPAV,100.0
2016,PT,,KZSEV,100.0
2016,PT,,KZVOS,100.0
2016,PT,,KZNS,84.9
2016,PT,,KZALA,89.5
2016,PT,M,KZAKM,100.0
2016,PT,F,KZAKM,100.0
2016,PT,M,KZAKT,100.0
2016,PT,F,KZAKT,100.0
2016,PT,M,KZALM,100.0
2016,PT,F,KZALM,100.0
2016,PT,M,KZATY,100.0
2016,PT,F,KZATY,100.0
2016,PT,M,KZZAP,100.0
2016,PT,F,KZZAP,100.0
2016,PT,M,KZZHA,100.0
2016,PT,F,KZZHA,100.0
2016,PT,M,KZKAR,97.24794020215748
2016,PT,F,KZKAR,96.27645560727144
2016,PT,M,KZKUS,100.0
2016,PT,F,KZKUS,100.0
2016,PT,M,KZKZY,100.0
2016,PT,F,KZKZY,100.0
2016,PT,M,KZMAN,100.0
2016,PT,F,KZMAN,100.0
2016,PT,M,KZONT,85.98361780991168
2016,PT,F,KZONT,90.45462462985545
2016,PT,M,KZPAV,100.0
2016,PT,F,KZPAV,100.0
2016,PT,M,KZSEV,100.0
2016,PT,F,KZSEV,100.0
2016,PT,M,KZVOS,100.0
2016,PT,F,KZVOS,100.0
2016,PT,M,KZNS,92.793014389374
2016,PT,F,KZNS,77.94717629375134
2016,PT,M,KZALA,97.80531260123097
2016,PT,F,KZALA,81.96733372572102
2017,PT,,,99.19755003760682
2017,PT,M,,99.77661051741832
2017,PT,F,,98.59434698979564
2017,PT,,KZAKM,100.0
2017,PT,,KZAKT,100.0
2017,PT,,KZALM,100.0
2017,PT,,KZATY,100.0
2017,PT,,KZZAP,100.0
2017,PT,,KZZHA,100.0
2017,PT,,KZKAR,100.0
2017,PT,,KZKUS,100.0
2017,PT,,KZKZY,100.0
2017,PT,,KZMAN,100.0
2017,PT,,KZONT,100.0
2017,PT,,KZPAV,100.0
2017,PT,,KZSEV,96.1
2017,PT,,KZVOS,100.0
2017,PT,,KZNS,89.3
2017,PT,,KZALA,95.4
2017,PT,M,KZAKM,100.0
2017,PT,F,KZAKM,100.0
2017,PT,M,KZAKT,100.0
2017,PT,F,KZAKT,100.0
2017,PT,M,KZALM,100.0
2017,PT,F,KZALM,100.0
2017,PT,M,KZATY,100.0
2017,PT,F,KZATY,100.0
2017,PT,M,KZZAP,100.0
2017,PT,F,KZZAP,100.0
2017,PT,M,KZZHA,100.0
2017,PT,F,KZZHA,100.0
2017,PT,M,KZKAR,100.0
2017,PT,F,KZKAR,100.0
2017,PT,M,KZKUS,100.0
2017,PT,F,KZKUS,100.0
2017,PT,M,KZKZY,100.0
2017,PT,F,KZKZY,100.0
2017,PT,M,KZMAN,100.0
2017,PT,F,KZMAN,100.0
2017,PT,M,KZONT,100.0
2017,PT,F,KZONT,100.0
2017,PT,M,KZPAV,100.0
2017,PT,F,KZPAV,100.0
2017,PT,M,KZSEV,93.96976090014064
2017,PT,F,KZSEV,98.47939175670268
2017,PT,M,KZVOS,100.0
2017,PT,F,KZVOS,100.0
2017,PT,M,KZNS,88.93717182690567
2017,PT,F,KZNS,89.72860538827258
2017,PT,M,KZALA,100.0
2017,PT,F,KZALA,86.6578415662231
2018,PT,,,93.83096929119436
2018,PT,M,,91.65236639043032
2018,PT,F,,96.26536706438978
2018,PT,,KZAKM,100.0
2018,PT,,KZAKT,100.0
2018,PT,,KZALM,100.0
2018,PT,,KZATY,100.0
2018,PT,,KZZAP,100.0
2018,PT,,KZZHA,91.3
2018,PT,,KZKAR,100.0
2018,PT,,KZKUS,100.0
2018,PT,,KZKZY,100.0
2018,PT,,KZMAN,100.0
2018,PT,,KZPAV,100.0
2018,PT,,KZSEV,100.0
2018,PT,,KZYUZ,90.2
2018,PT,,KZVOS,100.0
2018,PT,,KZNS,66.7
2018,PT,,KZALA,80.2
2018,PT,,KZSHY,89.4
2018,PT,M,KZAKM,100.0
2018,PT,F,KZAKM,100.0
2018,PT,M,KZAKT,100.0
2018,PT,F,KZAKT,100.0
2018,PT,M,KZALM,100.0
2018,PT,F,KZALM,100.0
2018,PT,M,KZATY,100.0
2018,PT,F,KZATY,100.0
2018,PT,M,KZZAP,100.0
2018,PT,F,KZZAP,100.0
2018,PT,M,KZZHA,100.0
2018,PT,F,KZZHA,82.15533623490468
2018,PT,M,KZKAR,100.0
2018,PT,F,KZKAR,100.0
2018,PT,M,KZKUS,100.0
2018,PT,F,KZKUS,100.0
2018,PT,M,KZKZY,100.0
2018,PT,F,KZKZY,100.0
2018,PT,M,KZMAN,100.0
2018,PT,F,KZMAN,100.0
2018,PT,M,KZYUZ,88.08910636106103
2018,PT,F,KZYUZ,92.53446387960804
2018,PT,M,KZPAV,100.0
2018,PT,F,KZPAV,100.0
2018,PT,M,KZSEV,100.0
2018,PT,F,KZSEV,100.0
2018,PT,M,KZVOS,100.0
2018,PT,F,KZVOS,100.0
2018,PT,M,KZNS,67.87322480083131
2018,PT,F,KZNS,65.53822521564457
2018,PT,M,KZALA,78.37239759743485
2018,PT,F,KZALA,82.22153273347813
2018,PT,M,KZSHY,88.21177032350484
2018,PT,F,KZSHY,90.7781358942314
2019,PT,,,98.3
2019,PT,M,,98.3
2019,PT,F,,98.7
2019,PT,,KZAKM,100.0
2019,PT,,KZAKT,100.0
2019,PT,,KZALM,100.0
2019,PT,,KZATY,100.0
2019,PT,,KZZAP,100.0
2019,PT,,KZZHA,100.0
2019,PT,,KZKAR,100.0
2019,PT,,KZKUS,100.0
2019,PT,,KZKZY,100.0
2019,PT,,KZMAN,100.0
2019,PT,,KZPAV,100.0
2019,PT,,KZSEV,100.0
2019,PT,,KZYUZ,100.0
2019,PT,,KZVOS,100.0
2019,PT,,KZNS,98.6
2019,PT,,KZALA,81.4
2019,PT,,KZSHY,100.0
2019,PT,M,KZAKM,100.0
2019,PT,F,KZAKM,100.0
2019,PT,M,KZAKT,100.0
2019,PT,F,KZAKT,100.0
2019,PT,M,KZALM,100.0
2019,PT,F,KZALM,100.0
2019,PT,M,KZATY,100.0
2019,PT,F,KZATY,100.0
2019,PT,M,KZZAP,100.0
2019,PT,F,KZZAP,100.0
2019,PT,M,KZZHA,100.0
2019,PT,F,KZZHA,100.0
2019,PT,M,KZKAR,100.0
2019,PT,F,KZKAR,100.0
2019,PT,M,KZKUS,100.0
2019,PT,F,KZKUS,100.0
2019,PT,M,KZKZY,100.0
2019,PT,F,KZKZY,100.0
2019,PT,M,KZMAN,100.0
2019,PT,F,KZMAN,100.0
2019,PT,M,KZYUZ,100.0
2019,PT,F,KZYUZ,100.0
2019,PT,M,KZPAV,100.0
2019,PT,F,KZPAV,100.0
2019,PT,M,KZSEV,100.0
2019,PT,F,KZSEV,100.0
2019,PT,M,KZVOS,100.0
2019,PT,F,KZVOS,100.0
2019,PT,M,KZNS,97.3
2019,PT,F,KZNS,98.5
2019,PT,M,KZALA,79.4
2019,PT,F,KZALA,83.6
2019,PT,M,KZSHY,100.0
2019,PT,F,KZSHY,100.0
