Year,UNIT_MEASURE,URBANISATION,SEX,REF_AREA,Value
2010,PT,,,,30.9
2011,PT,,,,33.8
2012,PT,,,,37.6
2013,PT,,,,37.6
2014,PT,,,,41.6
2015,PT,,,,43.4
2016,PT,,,,42.9
2017,PT,,,,44.5
2018,PT,,,,44.8
2010,PT,,,KZAKM,27.1
2011,PT,,,KZAKM,24.2
2012,PT,,,KZAKM,24.0
2013,PT,,,KZAKM,26.6
2014,PT,,,KZAKM,33.8
2015,PT,,,KZAKM,32.1
2016,PT,,,KZAKM,36.2
2017,PT,,,KZAKM,34.1
2018,PT,,,KZAKM,38.7
2010,PT,,,KZAKT,30.3
2011,PT,,,KZAKT,40.8
2012,PT,,,KZAKT,38.3
2013,PT,,,KZAKT,47.4
2014,PT,,,KZAKT,34.2
2015,PT,,,KZAKT,35.8
2016,PT,,,KZAKT,37.5
2017,PT,,,KZAKT,44.3
2018,PT,,,KZAKT,36.4
2010,PT,,,KZALM,28.2
2011,PT,,,KZALM,27.0
2012,PT,,,KZALM,26.7
2013,PT,,,KZALM,25.4
2014,PT,,,KZALM,28.9
2015,PT,,,KZALM,29.9
2016,PT,,,KZALM,29.6
2017,PT,,,KZALM,35.3
2018,PT,,,KZALM,34.9
2010,PT,,,KZATY,24.5
2011,PT,,,KZATY,29.2
2012,PT,,,KZATY,44.7
2013,PT,,,KZATY,41.1
2014,PT,,,KZATY,47.2
2015,PT,,,KZATY,36.9
2016,PT,,,KZATY,48.6
2017,PT,,,KZATY,41.4
2018,PT,,,KZATY,52.8
2010,PT,,,KZZAP,33.3
2011,PT,,,KZZAP,33.2
2012,PT,,,KZZAP,33.0
2013,PT,,,KZZAP,33.8
2014,PT,,,KZZAP,40.6
2015,PT,,,KZZAP,38.1
2016,PT,,,KZZAP,35.9
2017,PT,,,KZZAP,34.4
2018,PT,,,KZZAP,33.8
2010,PT,,,KZZHA,17.9
2011,PT,,,KZZHA,23.0
2012,PT,,,KZZHA,28.8
2013,PT,,,KZZHA,23.0
2014,PT,,,KZZHA,30.0
2015,PT,,,KZZHA,32.1
2016,PT,,,KZZHA,29.5
2017,PT,,,KZZHA,35.4
2018,PT,,,KZZHA,36.1
2010,PT,,,KZKAR,32.2
2011,PT,,,KZKAR,35.2
2012,PT,,,KZKAR,40.3
2013,PT,,,KZKAR,39.7
2014,PT,,,KZKAR,40.2
2015,PT,,,KZKAR,43.0
2016,PT,,,KZKAR,41.1
2017,PT,,,KZKAR,41.1
2018,PT,,,KZKAR,40.9
2010,PT,,,KZKUS,32.6
2011,PT,,,KZKUS,26.6
2012,PT,,,KZKUS,29.1
2013,PT,,,KZKUS,28.2
2014,PT,,,KZKUS,37.7
2015,PT,,,KZKUS,33.1
2016,PT,,,KZKUS,35.2
2017,PT,,,KZKUS,36.6
2018,PT,,,KZKUS,32.5
2010,PT,,,KZKZY,32.0
2011,PT,,,KZKZY,36.0
2012,PT,,,KZKZY,37.4
2013,PT,,,KZKZY,35.7
2014,PT,,,KZKZY,34.2
2015,PT,,,KZKZY,38.0
2016,PT,,,KZKZY,40.6
2017,PT,,,KZKZY,39.4
2018,PT,,,KZKZY,37.8
2010,PT,,,KZMAN,24.4
2011,PT,,,KZMAN,33.3
2012,PT,,,KZMAN,42.3
2013,PT,,,KZMAN,31.6
2014,PT,,,KZMAN,42.7
2015,PT,,,KZMAN,31.0
2016,PT,,,KZMAN,36.5
2017,PT,,,KZMAN,31.1
2018,PT,,,KZMAN,32.5
2010,PT,,,KZONT,22.6
2011,PT,,,KZONT,26.7
2012,PT,,,KZONT,29.2
2013,PT,,,KZONT,29.9
2014,PT,,,KZONT,42.1
2015,PT,,,KZONT,40.5
2016,PT,,,KZONT,45.6
2017,PT,,,KZONT,48.0
2010,PT,,,KZPAV,25.2
2011,PT,,,KZPAV,26.5
2012,PT,,,KZPAV,30.1
2013,PT,,,KZPAV,26.0
2014,PT,,,KZPAV,37.9
2015,PT,,,KZPAV,33.4
2016,PT,,,KZPAV,33.6
2017,PT,,,KZPAV,38.4
2018,PT,,,KZPAV,35.5
2010,PT,,,KZSEV,18.5
2011,PT,,,KZSEV,25.7
2012,PT,,,KZSEV,28.2
2013,PT,,,KZSEV,25.4
2014,PT,,,KZSEV,31.6
2015,PT,,,KZSEV,35.3
2016,PT,,,KZSEV,37.3
2017,PT,,,KZSEV,34.2
2018,PT,,,KZSEV,28.0
2018,PT,,,KZYUZ,40.9
2010,PT,,,KZVOS,27.1
2011,PT,,,KZVOS,29.6
2012,PT,,,KZVOS,34.5
2013,PT,,,KZVOS,30.4
2014,PT,,,KZVOS,38.6
2015,PT,,,KZVOS,37.4
2016,PT,,,KZVOS,38.6
2017,PT,,,KZVOS,40.0
2018,PT,,,KZVOS,39.2
2010,PT,,,KZNS,61.4
2011,PT,,,KZNS,68.3
2012,PT,,,KZNS,60.4
2013,PT,,,KZNS,38.8
2014,PT,,,KZNS,40.5
2015,PT,,,KZNS,43.2
2016,PT,,,KZNS,44.0
2017,PT,,,KZNS,45.6
2018,PT,,,KZNS,48.4
2010,PT,,,KZALA,61.1
2011,PT,,,KZALA,60.0
2012,PT,,,KZALA,71.4
2013,PT,,,KZALA,64.1
2014,PT,,,KZALA,69.2
2015,PT,,,KZALA,76.7
2016,PT,,,KZALA,66.2
2017,PT,,,KZALA,65.0
2018,PT,,,KZALA,66.0
2018,PT,,,KZSHY,58.4
2010,PT,,M,,26.0
2011,PT,,M,,28.3
2012,PT,,M,,33.3
2013,PT,,M,,32.7
2014,PT,,M,,36.8
2015,PT,,M,,37.2
2016,PT,,M,,37.3
2017,PT,,M,,39.1
2018,PT,,M,,39.7
2010,PT,,M,KZAKM,27.5
2011,PT,,M,KZAKM,23.2
2012,PT,,M,KZAKM,15.7
2013,PT,,M,KZAKM,22.3
2014,PT,,M,KZAKM,28.5
2015,PT,,M,KZAKM,28.1
2016,PT,,M,KZAKM,33.1
2017,PT,,M,KZAKM,29.6
2018,PT,,M,KZAKM,33.7
2010,PT,,M,KZAKT,19.9
2011,PT,,M,KZAKT,31.3
2012,PT,,M,KZAKT,35.5
2013,PT,,M,KZAKT,39.0
2014,PT,,M,KZAKT,23.7
2015,PT,,M,KZAKT,27.1
2016,PT,,M,KZAKT,31.5
2017,PT,,M,KZAKT,32.9
2018,PT,,M,KZAKT,26.8
2010,PT,,M,KZALM,22.1
2011,PT,,M,KZALM,20.3
2012,PT,,M,KZALM,25.3
2013,PT,,M,KZALM,25.4
2014,PT,,M,KZALM,25.0
2015,PT,,M,KZALM,24.6
2016,PT,,M,KZALM,24.5
2017,PT,,M,KZALM,31.9
2018,PT,,M,KZALM,29.3
2010,PT,,M,KZATY,20.7
2011,PT,,M,KZATY,23.4
2012,PT,,M,KZATY,35.5
2013,PT,,M,KZATY,32.3
2014,PT,,M,KZATY,40.0
2015,PT,,M,KZATY,28.0
2016,PT,,M,KZATY,39.2
2017,PT,,M,KZATY,30.5
2018,PT,,M,KZATY,46.0
2010,PT,,M,KZZAP,32.2
2011,PT,,M,KZZAP,29.2
2012,PT,,M,KZZAP,27.6
2013,PT,,M,KZZAP,27.1
2014,PT,,M,KZZAP,34.3
2015,PT,,M,KZZAP,31.8
2016,PT,,M,KZZAP,27.3
2017,PT,,M,KZZAP,29.3
2018,PT,,M,KZZAP,27.8
2010,PT,,M,KZZHA,13.4
2011,PT,,M,KZZHA,16.7
2012,PT,,M,KZZHA,27.3
2013,PT,,M,KZZHA,24.3
2014,PT,,M,KZZHA,26.5
2015,PT,,M,KZZHA,27.2
2016,PT,,M,KZZHA,25.2
2017,PT,,M,KZZHA,30.5
2018,PT,,M,KZZHA,32.0
2010,PT,,M,KZKAR,27.4
2011,PT,,M,KZKAR,32.0
2012,PT,,M,KZKAR,34.1
2013,PT,,M,KZKAR,33.5
2014,PT,,M,KZKAR,35.2
2015,PT,,M,KZKAR,32.9
2016,PT,,M,KZKAR,37.7
2017,PT,,M,KZKAR,35.3
2018,PT,,M,KZKAR,35.3
2010,PT,,M,KZKUS,23.1
2011,PT,,M,KZKUS,20.0
2012,PT,,M,KZKUS,25.2
2013,PT,,M,KZKUS,22.0
2014,PT,,M,KZKUS,34.3
2015,PT,,M,KZKUS,27.6
2016,PT,,M,KZKUS,28.8
2017,PT,,M,KZKUS,31.5
2018,PT,,M,KZKUS,26.8
2010,PT,,M,KZKZY,26.1
2011,PT,,M,KZKZY,30.7
2012,PT,,M,KZKZY,32.1
2013,PT,,M,KZKZY,27.7
2014,PT,,M,KZKZY,30.4
2015,PT,,M,KZKZY,33.0
2016,PT,,M,KZKZY,35.6
2017,PT,,M,KZKZY,35.1
2018,PT,,M,KZKZY,33.1
2010,PT,,M,KZMAN,20.3
2011,PT,,M,KZMAN,27.3
2012,PT,,M,KZMAN,38.1
2013,PT,,M,KZMAN,33.8
2014,PT,,M,KZMAN,37.4
2015,PT,,M,KZMAN,26.4
2016,PT,,M,KZMAN,30.2
2017,PT,,M,KZMAN,27.4
2018,PT,,M,KZMAN,29.8
2010,PT,,M,KZONT,19.4
2011,PT,,M,KZONT,22.3
2012,PT,,M,KZONT,25.2
2013,PT,,M,KZONT,26.6
2014,PT,,M,KZONT,37.1
2015,PT,,M,KZONT,34.6
2016,PT,,M,KZONT,40.4
2017,PT,,M,KZONT,43.0
2010,PT,,M,KZPAV,22.7
2011,PT,,M,KZPAV,21.9
2012,PT,,M,KZPAV,24.9
2013,PT,,M,KZPAV,21.7
2014,PT,,M,KZPAV,32.1
2015,PT,,M,KZPAV,27.3
2016,PT,,M,KZPAV,30.2
2017,PT,,M,KZPAV,32.1
2018,PT,,M,KZPAV,30.5
2010,PT,,M,KZSEV,14.4
2011,PT,,M,KZSEV,19.0
2012,PT,,M,KZSEV,17.6
2013,PT,,M,KZSEV,18.9
2014,PT,,M,KZSEV,27.7
2015,PT,,M,KZSEV,26.8
2016,PT,,M,KZSEV,31.5
2017,PT,,M,KZSEV,30.6
2018,PT,,M,KZSEV,25.4
2018,PT,,M,KZYUZ,34.4
2010,PT,,M,KZVOS,20.3
2011,PT,,M,KZVOS,24.5
2012,PT,,M,KZVOS,32.2
2013,PT,,M,KZVOS,16.6
2014,PT,,M,KZVOS,32.2
2015,PT,,M,KZVOS,29.6
2016,PT,,M,KZVOS,31.5
2017,PT,,M,KZVOS,32.6
2018,PT,,M,KZVOS,34.8
2010,PT,,M,KZNS,51.8
2011,PT,,M,KZNS,64.8
2012,PT,,M,KZNS,54.3
2013,PT,,M,KZNS,33.0
2014,PT,,M,KZNS,37.6
2015,PT,,M,KZNS,39.7
2016,PT,,M,KZNS,40.4
2017,PT,,M,KZNS,41.8
2018,PT,,M,KZNS,44.0
2010,PT,,M,KZALA,57.7
2011,PT,,M,KZALA,53.6
2012,PT,,M,KZALA,71.4
2013,PT,,M,KZALA,59.9
2014,PT,,M,KZALA,66.6
2015,PT,,M,KZALA,72.9
2016,PT,,M,KZALA,61.2
2017,PT,,M,KZALA,61.3
2018,PT,,M,KZALA,63.0
2018,PT,,M,KZSHY,58.9
2010,PT,,F,,36.6
2011,PT,,F,,40.0
2012,PT,,F,,42.6
2013,PT,,F,,43.1
2014,PT,,F,,47.1
2015,PT,,F,,50.4
2016,PT,,F,,49.5
2017,PT,,F,,51.0
2018,PT,,F,,50.5
2010,PT,,F,KZAKM,26.6
2011,PT,,F,KZAKM,25.4
2012,PT,,F,KZAKM,34.5
2013,PT,,F,KZAKM,32.8
2014,PT,,F,KZAKM,39.8
2015,PT,,F,KZAKM,36.5
2016,PT,,F,KZAKM,39.7
2017,PT,,F,KZAKM,39.4
2018,PT,,F,KZAKM,44.2
2010,PT,,F,KZAKT,40.6
2011,PT,,F,KZAKT,49.4
2012,PT,,F,KZAKT,41.4
2013,PT,,F,KZAKT,55.1
2014,PT,,F,KZAKT,45.9
2015,PT,,F,KZAKT,46.2
2016,PT,,F,KZAKT,45.0
2017,PT,,F,KZAKT,57.4
2018,PT,,F,KZAKT,47.6
2010,PT,,F,KZALM,35.9
2011,PT,,F,KZALM,35.0
2012,PT,,F,KZALM,28.3
2013,PT,,F,KZALM,25.4
2014,PT,,F,KZALM,33.4
2015,PT,,F,KZALM,36.2
2016,PT,,F,KZALM,35.5
2017,PT,,F,KZALM,38.6
2018,PT,,F,KZALM,41.2
2010,PT,,F,KZATY,29.0
2011,PT,,F,KZATY,35.4
2012,PT,,F,KZATY,55.3
2013,PT,,F,KZATY,50.6
2014,PT,,F,KZATY,55.2
2015,PT,,F,KZATY,46.5
2016,PT,,F,KZATY,59.1
2017,PT,,F,KZATY,55.6
2018,PT,,F,KZATY,60.1
2010,PT,,F,KZZAP,34.6
2011,PT,,F,KZZAP,37.8
2012,PT,,F,KZZAP,39.0
2013,PT,,F,KZZAP,41.6
2014,PT,,F,KZZAP,47.9
2015,PT,,F,KZZAP,45.4
2016,PT,,F,KZZAP,46.0
2017,PT,,F,KZZAP,40.2
2018,PT,,F,KZZAP,41.0
2010,PT,,F,KZZHA,22.8
2011,PT,,F,KZZHA,29.6
2012,PT,,F,KZZHA,30.5
2013,PT,,F,KZZHA,21.6
2014,PT,,F,KZZHA,34.0
2015,PT,,F,KZZHA,38.2
2016,PT,,F,KZZHA,35.2
2017,PT,,F,KZZHA,42.0
2018,PT,,F,KZZHA,41.3
2010,PT,,F,KZKAR,37.6
2011,PT,,F,KZKAR,38.8
2012,PT,,F,KZKAR,47.4
2013,PT,,F,KZKAR,46.9
2014,PT,,F,KZKAR,46.9
2015,PT,,F,KZKAR,55.7
2016,PT,,F,KZKAR,46.1
2017,PT,,F,KZKAR,49.3
2018,PT,,F,KZKAR,48.5
2010,PT,,F,KZKUS,43.5
2011,PT,,F,KZKUS,33.8
2012,PT,,F,KZKUS,32.8
2013,PT,,F,KZKUS,34.1
2014,PT,,F,KZKUS,41.2
2015,PT,,F,KZKUS,39.7
2016,PT,,F,KZKUS,42.1
2017,PT,,F,KZKUS,41.7
2018,PT,,F,KZKUS,38.1
2010,PT,,F,KZKZY,38.3
2011,PT,,F,KZKZY,42.5
2012,PT,,F,KZKZY,44.9
2013,PT,,F,KZKZY,45.3
2014,PT,,F,KZKZY,39.4
2015,PT,,F,KZKZY,44.9
2016,PT,,F,KZKZY,46.7
2017,PT,,F,KZKZY,44.9
2018,PT,,F,KZKZY,43.8
2010,PT,,F,KZMAN,30.1
2011,PT,,F,KZMAN,40.9
2012,PT,,F,KZMAN,47.6
2013,PT,,F,KZMAN,29.1
2014,PT,,F,KZMAN,50.3
2015,PT,,F,KZMAN,36.7
2016,PT,,F,KZMAN,46.8
2017,PT,,F,KZMAN,36.5
2018,PT,,F,KZMAN,35.9
2010,PT,,F,KZONT,26.6
2011,PT,,F,KZONT,32.0
2012,PT,,F,KZONT,33.9
2013,PT,,F,KZONT,34.3
2014,PT,,F,KZONT,47.8
2015,PT,,F,KZONT,47.4
2016,PT,,F,KZONT,52.4
2017,PT,,F,KZONT,55.2
2010,PT,,F,KZPAV,27.9
2011,PT,,F,KZPAV,31.5
2012,PT,,F,KZPAV,36.3
2013,PT,,F,KZPAV,32.2
2014,PT,,F,KZPAV,44.0
2015,PT,,F,KZPAV,40.5
2016,PT,,F,KZPAV,37.6
2017,PT,,F,KZPAV,45.4
2018,PT,,F,KZPAV,40.6
2010,PT,,F,KZSEV,23.0
2011,PT,,F,KZSEV,32.7
2012,PT,,F,KZSEV,39.4
2013,PT,,F,KZSEV,33.1
2014,PT,,F,KZSEV,36.8
2015,PT,,F,KZSEV,45.2
2016,PT,,F,KZSEV,44.6
2017,PT,,F,KZSEV,38.9
2018,PT,,F,KZSEV,31.5
2018,PT,,F,KZYUZ,49.2
2010,PT,,F,KZVOS,34.8
2011,PT,,F,KZVOS,35.8
2012,PT,,F,KZVOS,37.4
2013,PT,,F,KZVOS,46.4
2014,PT,,F,KZVOS,46.4
2015,PT,,F,KZVOS,46.2
2016,PT,,F,KZVOS,46.7
2017,PT,,F,KZVOS,49.0
2018,PT,,F,KZVOS,44.2
2010,PT,,F,KZNS,72.2
2011,PT,,F,KZNS,71.8
2012,PT,,F,KZNS,67.3
2013,PT,,F,KZNS,77.8
2014,PT,,F,KZNS,62.6
2015,PT,,F,KZNS,66.9
2016,PT,,F,KZNS,69.6
2017,PT,,F,KZNS,74.5
2018,PT,,F,KZNS,80.5
2010,PT,,F,KZALA,64.6
2011,PT,,F,KZALA,66.2
2012,PT,,F,KZALA,71.3
2013,PT,,F,KZALA,68.8
2014,PT,,F,KZALA,72.1
2015,PT,,F,KZALA,80.8
2016,PT,,F,KZALA,71.8
2017,PT,,F,KZALA,69.3
2018,PT,,F,KZALA,69.2
2018,PT,,F,KZSHY,57.7
2010,PT,U,,,42.7
2011,PT,U,,,44.8
2012,PT,U,,,47.8
2013,PT,U,,,49.3
2014,PT,U,,,52.5
2015,PT,U,,,53.8
2016,PT,U,,,52.8
2017,PT,U,,,53.8
2018,PT,U,,,53.7
2010,PT,U,,KZAKM,39.9
2011,PT,U,,KZAKM,32.8
2012,PT,U,,KZAKM,26.9
2013,PT,U,,KZAKM,31.3
2014,PT,U,,KZAKM,43.3
2015,PT,U,,KZAKM,37.6
2016,PT,U,,KZAKM,39.9
2017,PT,U,,KZAKM,38.4
2018,PT,U,,KZAKM,45.1
2010,PT,U,,KZAKT,34.2
2011,PT,U,,KZAKT,55.4
2012,PT,U,,KZAKT,45.9
2013,PT,U,,KZAKT,58.1
2014,PT,U,,KZAKT,38.3
2015,PT,U,,KZAKT,40.1
2016,PT,U,,KZAKT,42.7
2017,PT,U,,KZAKT,49.9
2018,PT,U,,KZAKT,39.5
2010,PT,U,,KZALM,30.2
2011,PT,U,,KZALM,28.0
2012,PT,U,,KZALM,27.9
2013,PT,U,,KZALM,30.8
2014,PT,U,,KZALM,40.2
2015,PT,U,,KZALM,43.0
2016,PT,U,,KZALM,42.3
2017,PT,U,,KZALM,42.0
2018,PT,U,,KZALM,43.4
2010,PT,U,,KZATY,33.3
2011,PT,U,,KZATY,39.1
2012,PT,U,,KZATY,53.6
2013,PT,U,,KZATY,49.1
2014,PT,U,,KZATY,63.9
2015,PT,U,,KZATY,42.1
2016,PT,U,,KZATY,58.9
2017,PT,U,,KZATY,50.0
2018,PT,U,,KZATY,58.5
2010,PT,U,,KZZAP,48.3
2011,PT,U,,KZZAP,47.6
2012,PT,U,,KZZAP,49.2
2013,PT,U,,KZZAP,43.8
2014,PT,U,,KZZAP,55.6
2015,PT,U,,KZZAP,52.1
2016,PT,U,,KZZAP,48.2
2017,PT,U,,KZZAP,51.3
2018,PT,U,,KZZAP,45.1
2010,PT,U,,KZZHA,25.8
2011,PT,U,,KZZHA,30.3
2012,PT,U,,KZZHA,43.9
2013,PT,U,,KZZHA,34.0
2014,PT,U,,KZZHA,38.7
2015,PT,U,,KZZHA,43.2
2016,PT,U,,KZZHA,44.3
2017,PT,U,,KZZHA,47.1
2018,PT,U,,KZZHA,43.0
2010,PT,U,,KZKAR,35.9
2011,PT,U,,KZKAR,37.9
2012,PT,U,,KZKAR,39.2
2013,PT,U,,KZKAR,41.2
2014,PT,U,,KZKAR,44.7
2015,PT,U,,KZKAR,46.5
2016,PT,U,,KZKAR,44.2
2017,PT,U,,KZKAR,43.7
2018,PT,U,,KZKAR,44.1
2010,PT,U,,KZKUS,46.0
2011,PT,U,,KZKUS,33.6
2012,PT,U,,KZKUS,31.9
2013,PT,U,,KZKUS,35.7
2014,PT,U,,KZKUS,47.0
2015,PT,U,,KZKUS,37.3
2016,PT,U,,KZKUS,42.3
2017,PT,U,,KZKUS,43.4
2018,PT,U,,KZKUS,37.2
2010,PT,U,,KZKZY,45.9
2011,PT,U,,KZKZY,46.9
2012,PT,U,,KZKZY,43.5
2013,PT,U,,KZKZY,41.2
2014,PT,U,,KZKZY,41.6
2015,PT,U,,KZKZY,48.3
2016,PT,U,,KZKZY,44.7
2017,PT,U,,KZKZY,43.5
2018,PT,U,,KZKZY,44.8
2010,PT,U,,KZMAN,26.4
2011,PT,U,,KZMAN,36.3
2012,PT,U,,KZMAN,40.7
2013,PT,U,,KZMAN,32.6
2014,PT,U,,KZMAN,47.2
2015,PT,U,,KZMAN,33.3
2016,PT,U,,KZMAN,42.4
2017,PT,U,,KZMAN,35.9
2018,PT,U,,KZMAN,40.5
2010,PT,U,,KZONT,37.0
2011,PT,U,,KZONT,41.4
2012,PT,U,,KZONT,46.0
2013,PT,U,,KZONT,49.6
2014,PT,U,,KZONT,52.1
2015,PT,U,,KZONT,48.1
2016,PT,U,,KZONT,59.1
2017,PT,U,,KZONT,61.0
2010,PT,U,,KZPAV,32.0
2011,PT,U,,KZPAV,32.9
2012,PT,U,,KZPAV,37.7
2013,PT,U,,KZPAV,29.6
2014,PT,U,,KZPAV,44.0
2015,PT,U,,KZPAV,38.2
2016,PT,U,,KZPAV,38.5
2017,PT,U,,KZPAV,45.4
2018,PT,U,,KZPAV,39.9
2010,PT,U,,KZSEV,34.5
2011,PT,U,,KZSEV,37.3
2012,PT,U,,KZSEV,39.3
2013,PT,U,,KZSEV,35.9
2014,PT,U,,KZSEV,41.3
2015,PT,U,,KZSEV,47.1
2016,PT,U,,KZSEV,54.9
2017,PT,U,,KZSEV,47.0
2018,PT,U,,KZSEV,36.2
2018,PT,U,,KZYUZ,43.9
2010,PT,U,,KZVOS,37.8
2011,PT,U,,KZVOS,37.8
2012,PT,U,,KZVOS,42.4
2013,PT,U,,KZVOS,37.6
2014,PT,U,,KZVOS,48.5
2015,PT,U,,KZVOS,43.1
2016,PT,U,,KZVOS,43.3
2017,PT,U,,KZVOS,46.4
2018,PT,U,,KZVOS,46.3
