Year,UNIT_MEASURE,EDUCATION_LEV,URBANISATION,REF_AREA,Value
2010,,ISCED11_1,,,1.0
2010,,ISCED11_3,,,1.0
2010,PT,ISCED11_1,,,1.0
2010,PT,ISCED11_1,U,,0.99
2010,PT,ISCED11_1,R,,1.0
2010,PT,ISCED11_1,,KZAKM,0.99
2010,PT,ISCED11_1,,KZAKT,1.01
2010,PT,ISCED11_1,,KZALM,1.01
2010,PT,ISCED11_1,,KZATY,1.0
2010,PT,ISCED11_1,,KZZAP,0.99
2010,PT,ISCED11_1,,KZZHA,0.99
2010,PT,ISCED11_1,,KZKAR,1.0
2010,PT,ISCED11_1,,KZKUS,0.99
2010,PT,ISCED11_1,,KZKZY,1.01
2010,PT,ISCED11_1,,KZMAN,1.0
2010,PT,ISCED11_1,,KZONT,1.0
2010,PT,ISCED11_1,,KZPAV,1.0
2010,PT,ISCED11_1,,KZSEV,1.01
2010,PT,ISCED11_1,,KZVOS,1.0
2010,PT,ISCED11_1,,KZNS,1.0
2010,PT,ISCED11_1,,KZALA,1.0
2010,PT,ISCED11_3,,,1.0
2010,PT,ISCED11_3,U,,0.99
2010,PT,ISCED11_3,R,,1.01
2010,PT,ISCED11_3,,KZAKM,1.02
2010,PT,ISCED11_3,,KZAKT,1.0
2010,PT,ISCED11_3,,KZALM,1.03
2010,PT,ISCED11_3,,KZATY,1.01
2010,PT,ISCED11_3,,KZZAP,1.01
2010,PT,ISCED11_3,,KZZHA,1.0
2010,PT,ISCED11_3,,KZKAR,1.0
2010,PT,ISCED11_3,,KZKUS,1.0
2010,PT,ISCED11_3,,KZKZY,1.01
2010,PT,ISCED11_3,,KZMAN,0.99
2010,PT,ISCED11_3,,KZONT,0.99
2010,PT,ISCED11_3,,KZPAV,1.0
2010,PT,ISCED11_3,,KZSEV,0.98
2010,PT,ISCED11_3,,KZVOS,0.97
2010,PT,ISCED11_3,,KZNS,1.01
2010,PT,ISCED11_3,,KZALA,0.99
2015,,ISCED11_1,,,1.0
2015,,ISCED11_3,,,1.0
2015,,ISCED11_2,,,1.0
2015,,ISCED11_34,,,1.01
2015,PT,ISCED11_1,,,1.0
2015,PT,ISCED11_1,U,,0.99
2015,PT,ISCED11_1,R,,1.0
2015,PT,ISCED11_1,,KZAKM,0.99
2015,PT,ISCED11_1,,KZAKT,1.01
2015,PT,ISCED11_1,,KZALM,1.0
2015,PT,ISCED11_1,,KZATY,0.94
2015,PT,ISCED11_1,,KZZAP,0.99
2015,PT,ISCED11_1,,KZZHA,1.0
2015,PT,ISCED11_1,,KZKAR,1.01
2015,PT,ISCED11_1,,KZKUS,1.01
2015,PT,ISCED11_1,,KZKZY,0.99
2015,PT,ISCED11_1,,KZMAN,1.01
2015,PT,ISCED11_1,,KZONT,1.0
2015,PT,ISCED11_1,,KZPAV,1.01
2015,PT,ISCED11_1,,KZSEV,1.01
2015,PT,ISCED11_1,,KZVOS,1.0
2015,PT,ISCED11_1,,KZNS,1.02
2015,PT,ISCED11_1,,KZALA,0.98
2015,PT,ISCED11_2,,,1.0
2015,PT,ISCED11_2,U,,1.0
2015,PT,ISCED11_2,R,,1.0
2015,PT,ISCED11_2,,KZAKM,1.0
2015,PT,ISCED11_2,,KZAKT,1.0
2015,PT,ISCED11_2,,KZALM,1.02
2015,PT,ISCED11_2,,KZATY,1.0
2015,PT,ISCED11_2,,KZZAP,1.01
2015,PT,ISCED11_2,,KZZHA,0.99
2015,PT,ISCED11_2,,KZKAR,1.01
2015,PT,ISCED11_2,,KZKUS,1.0
2015,PT,ISCED11_2,,KZKZY,1.0
2015,PT,ISCED11_2,,KZMAN,1.0
2015,PT,ISCED11_2,,KZONT,0.99
2015,PT,ISCED11_2,,KZPAV,0.99
2015,PT,ISCED11_2,,KZSEV,1.01
2015,PT,ISCED11_2,,KZVOS,1.0
2015,PT,ISCED11_2,,KZNS,1.01
2015,PT,ISCED11_2,,KZALA,1.02
2015,PT,ISCED11_3,,,1.01
2015,PT,ISCED11_3,U,,1.03
2015,PT,ISCED11_3,R,,0.98
2015,PT,ISCED11_3,,KZAKM,1.12
2015,PT,ISCED11_3,,KZAKT,1.02
2015,PT,ISCED11_3,,KZALM,1.01
2015,PT,ISCED11_3,,KZATY,0.98
2015,PT,ISCED11_3,,KZZHA,0.94
2015,PT,ISCED11_3,,KZKUS,1.0
2015,PT,ISCED11_3,,KZKZY,0.99
2015,PT,ISCED11_3,,KZMAN,1.03
2015,PT,ISCED11_3,,KZONT,0.98
2015,PT,ISCED11_3,,KZSEV,1.0
2015,PT,ISCED11_3,,KZNS,1.18
2015,PT,ISCED11_3,,KZALA,1.0
