Year,UNIT_MEASURE,COMPOSITE_BREAKDOWN,SERIES,AGE,Value
2015,PT,_L_TVL_PHSVL,_L_KZ_050201_1A,,16.2
2015,PT,_L_TVL_SEX_HARSS,_L_KZ_050201_1A,,3.6
2015,PT,_L_TVL_PHSVL_SEXHARSS,_L_KZ_050201_1A,,16.5
2015,PT,_L_TVL_PHSVL,_L_KZ_050201_1B,,4.5
2015,PT,_L_TVL_SEX_HARSS,_L_KZ_050201_1B,,1.0
2015,PT,_L_TVL_PHSVL_SEXHARSS,_L_KZ_050201_1B,,4.7
2015,PT,_L_TVL_PHSVL,_L_KZ_050201_1A,Y18T49,16.0
2015,PT,_L_TVL_SEX_HARSS,_L_KZ_050201_1A,Y18T49,3.9
2015,PT,_L_TVL_PHSVL_SEXHARSS,_L_KZ_050201_1A,Y18T49,16.4
2015,PT,_L_TVL_PHSVL,_L_KZ_050201_1B,Y18T49,5.3
2015,PT,_L_TVL_SEX_HARSS,_L_KZ_050201_1B,Y18T49,1.2
2015,PT,_L_TVL_PHSVL_SEXHARSS,_L_KZ_050201_1B,Y18T49,5.6
