Year,UNIT_MEASURE,REF_AREA,URBANISATION,AGE,Value
2010,PT,,,,37.2
2010,PT,KZAKM,,,39.9
2010,PT,KZAKT,,,41.7
2010,PT,KZALM,,,31.5
2010,PT,KZATY,,,18.9
2010,PT,KZZAP,,,21.2
2010,PT,KZZHA,,,22.3
2010,PT,KZKAR,,,41.0
2010,PT,KZKUS,,,39.6
2010,PT,KZKZY,,,38.1
2010,PT,KZMAN,,,30.4
2010,PT,KZONT,,,18.4
2010,PT,KZPAV,,,41.7
2010,PT,KZSEV,,,32.7
2010,PT,KZVOS,,,35.7
2010,PT,KZNS,,,40.4
2010,PT,KZALA,,,39.2
2010,PT,,U,,38.0
2010,PT,KZAKM,U,,40.5
2010,PT,KZAKT,U,,36.1
2010,PT,KZALM,U,,29.7
2010,PT,KZATY,U,,16.1
2010,PT,KZZAP,U,,23.4
2010,PT,KZZHA,U,,28.0
2010,PT,KZKAR,U,,41.7
2010,PT,KZKUS,U,,35.3
2010,PT,KZKZY,U,,38.5
2010,PT,KZMAN,U,,30.5
2010,PT,KZONT,U,,24.8
2010,PT,KZPAV,U,,41.4
2010,PT,KZSEV,U,,36.6
2010,PT,KZVOS,U,,39.5
2010,PT,KZNS,U,,40.4
2010,PT,KZALA,U,,39.2
2010,PT,,R,,33.4
2010,PT,KZAKM,R,,37.5
2010,PT,KZAKT,R,,55.8
2010,PT,KZALM,R,,32.7
2010,PT,KZATY,R,,26.8
2010,PT,KZZAP,R,,8.6
2010,PT,KZZHA,R,,19.1
2010,PT,KZKAR,R,,31.5
2010,PT,KZKUS,R,,46.9
2010,PT,KZKZY,R,,37.3
2010,PT,KZMAN,R,,29.6
2010,PT,KZONT,R,,4.2
2010,PT,KZPAV,R,,43.3
2010,PT,KZSEV,R,,27.3
2010,PT,KZVOS,R,,28.8
2010,PT,,,Y16T24,41.5
2010,PT,,,M25T28,43.5
2010,PT,,,M29T34,32.8
2010,PT,,,Y35T44,40.6
2010,PT,,,Y45T54,35.8
2010,PT,,,Y55T64,30.9
2010,PT,,,Y_GE65,51.0
2010,PT,KZAKM,,Y16T24,44.0
2010,PT,KZAKM,,M25T28,22.2
2010,PT,KZAKM,,M29T34,45.3
2010,PT,KZAKM,,Y35T44,46.2
2010,PT,KZAKM,,Y45T54,44.3
2010,PT,KZAKM,,Y55T64,24.6
2010,PT,KZAKT,,Y16T24,100.0
2010,PT,KZAKT,,M25T28,56.3
2010,PT,KZAKT,,M29T34,25.8
2010,PT,KZAKT,,Y35T44,47.6
2010,PT,KZAKT,,Y45T54,24.1
2010,PT,KZAKT,,Y55T64,51.9
2010,PT,KZALM,,Y16T24,29.8
2010,PT,KZALM,,M25T28,25.2
2010,PT,KZALM,,M29T34,0.0
2010,PT,KZALM,,Y35T44,40.4
2010,PT,KZALM,,Y45T54,36.6
2010,PT,KZALM,,Y55T64,46.9
2010,PT,KZATY,,M29T34,33.4
2010,PT,KZATY,,Y35T44,0.0
2010,PT,KZATY,,Y45T54,32.6
2010,PT,KZATY,,Y55T64,15.6
2010,PT,KZZAP,,Y16T24,7.0
2010,PT,KZZAP,,M25T28,13.2
2010,PT,KZZAP,,M29T34,31.4
2010,PT,KZZAP,,Y35T44,14.9
2010,PT,KZZAP,,Y45T54,19.3
2010,PT,KZZAP,,Y55T64,32.5
2010,PT,KZZHA,,M25T28,100.0
2010,PT,KZZHA,,M29T34,0.0
2010,PT,KZZHA,,Y35T44,30.2
2010,PT,KZZHA,,Y45T54,39.8
2010,PT,KZZHA,,Y55T64,6.5
2010,PT,KZKAR,,Y16T24,32.9
2010,PT,KZKAR,,M25T28,33.8
2010,PT,KZKAR,,M29T34,36.0
2010,PT,KZKAR,,Y35T44,41.8
2010,PT,KZKAR,,Y45T54,46.6
2010,PT,KZKAR,,Y55T64,44.6
2010,PT,KZKAR,,Y_GE65,0.0
2010,PT,KZKUS,,Y16T24,13.4
2010,PT,KZKUS,,M25T28,40.4
2010,PT,KZKUS,,M29T34,49.1
2010,PT,KZKUS,,Y35T44,33.0
2010,PT,KZKUS,,Y45T54,40.5
2010,PT,KZKUS,,Y55T64,36.1
2010,PT,KZKUS,,Y_GE65,83.9
2010,PT,KZKZY,,Y16T24,100.0
2010,PT,KZKZY,,M25T28,89.4
2010,PT,KZKZY,,M29T34,58.7
2010,PT,KZKZY,,Y35T44,34.6
2010,PT,KZKZY,,Y45T54,33.4
2010,PT,KZKZY,,Y55T64,23.6
2010,PT,KZKZY,,Y_GE65,0.0
2010,PT,KZMAN,,Y16T24,25.8
2010,PT,KZMAN,,M25T28,22.7
2010,PT,KZMAN,,M29T34,30.0
2010,PT,KZMAN,,Y35T44,35.3
2010,PT,KZMAN,,Y45T54,34.2
2010,PT,KZMAN,,Y55T64,15.4
2010,PT,KZMAN,,Y_GE65,0.0
2010,PT,KZONT,,Y16T24,0.0
2010,PT,KZONT,,M25T28,100.0
2010,PT,KZONT,,M29T34,34.8
2010,PT,KZONT,,Y35T44,14.3
2010,PT,KZONT,,Y45T54,14.7
2010,PT,KZONT,,Y55T64,23.3
2010,PT,KZPAV,,Y16T24,77.4
2010,PT,KZPAV,,M25T28,35.0
2010,PT,KZPAV,,M29T34,47.4
2010,PT,KZPAV,,Y35T44,35.2
2010,PT,KZPAV,,Y45T54,44.7
2010,PT,KZPAV,,Y55T64,34.2
2010,PT,KZSEV,,Y16T24,43.8
2010,PT,KZSEV,,M25T28,35.2
2010,PT,KZSEV,,M29T34,50.8
2010,PT,KZSEV,,Y35T44,40.3
2010,PT,KZSEV,,Y45T54,19.6
2010,PT,KZSEV,,Y55T64,25.3
2010,PT,KZVOS,,Y16T24,53.9
2010,PT,KZVOS,,M25T28,47.9
2010,PT,KZVOS,,M29T34,23.1
2010,PT,KZVOS,,Y35T44,35.7
2010,PT,KZVOS,,Y45T54,39.1
2010,PT,KZVOS,,Y55T64,25.4
2010,PT,KZNS,,Y16T24,44.0
2010,PT,KZNS,,M25T28,54.0
2010,PT,KZNS,,M29T34,28.9
2010,PT,KZNS,,Y35T44,48.5
2010,PT,KZNS,,Y45T54,34.6
2010,PT,KZNS,,Y55T64,35.8
2010,PT,KZNS,,Y_GE65,25.6
2010,PT,KZALA,,Y16T24,23.7
2010,PT,KZALA,,M25T28,42.7
2010,PT,KZALA,,M29T34,43.5
2010,PT,KZALA,,Y35T44,46.4
2010,PT,KZALA,,Y45T54,31.7
2010,PT,KZALA,,Y55T64,26.8
2011,PT,,,,38.5
2011,PT,KZAKM,,,43.1
2011,PT,KZAKT,,,41.6
2011,PT,KZALM,,,24.4
2011,PT,KZATY,,,26.7
2011,PT,KZZAP,,,24.7
2011,PT,KZZHA,,,30.1
2011,PT,KZKAR,,,40.0
2011,PT,KZKUS,,,43.9
2011,PT,KZKZY,,,40.8
