Year,UNIT_MEASURE,URBANISATION,REF_AREA,Value
2010,PT,U,,82.0
2010,PT,R,,60.0
2011,PT,U,,82.0
2011,PT,R,,42.5
2012,PT,U,,84.0
2012,PT,R,,43.0
2013,PT,U,,85.0
2013,PT,R,,47.7
2014,PT,U,,86.0
2014,PT,R,,50.3
2014,PT,U,KZAKM,81.3
2014,PT,R,KZAKM,57.5
2014,PT,U,KZAKT,96.9
2014,PT,R,KZAKT,39.5
2014,PT,U,KZALM,79.8
2014,PT,R,KZALM,70.4
2014,PT,U,KZATY,96.2
2014,PT,R,KZATY,64.3
2014,PT,U,KZZAP,87.0
2014,PT,R,KZZAP,36.5
2014,PT,U,KZZHA,74.7
2014,PT,R,KZZHA,56.9
2014,PT,U,KZKAR,79.5
2014,PT,R,KZKAR,51.5
2014,PT,U,KZKUS,89.1
2014,PT,R,KZKUS,27.5
2014,PT,U,KZKZY,77.1
2014,PT,R,KZKZY,70.9
2014,PT,U,KZMAN,88.9
2014,PT,R,KZMAN,47.1
2014,PT,U,KZONT,81.2
2014,PT,R,KZONT,72.9
2014,PT,U,KZPAV,83.3
2014,PT,R,KZPAV,20.4
2014,PT,U,KZSEV,93.1
2014,PT,R,KZSEV,48.1
2014,PT,U,KZVOS,88.6
2014,PT,R,KZVOS,40.3
2014,PT,,KZNS,88.1
2014,PT,,KZALA,91.2
2015,PT,U,,87.0
2015,PT,R,,51.5
2015,PT,U,KZAKM,82.2
2015,PT,R,KZAKM,57.7
2015,PT,U,KZAKT,97.1
2015,PT,R,KZAKT,42.0
2015,PT,U,KZALM,80.9
2015,PT,R,KZALM,71.2
2015,PT,U,KZATY,94.0
2015,PT,R,KZATY,75.0
2015,PT,U,KZZAP,88.1
2015,PT,R,KZZAP,36.1
2015,PT,U,KZZHA,76.2
2015,PT,R,KZZHA,59.1
2015,PT,U,KZKAR,81.3
2015,PT,R,KZKAR,52.5
2015,PT,U,KZKUS,91.5
2015,PT,R,KZKUS,27.3
2015,PT,U,KZKZY,78.4
2015,PT,R,KZKZY,70.1
2015,PT,U,KZMAN,91.1
2015,PT,R,KZMAN,46.1
2015,PT,U,KZONT,82.0
2015,PT,R,KZONT,69.8
2015,PT,U,KZPAV,84.1
2015,PT,R,KZPAV,19.2
2015,PT,U,KZSEV,94.5
2015,PT,R,KZSEV,53.9
2015,PT,U,KZVOS,89.3
2015,PT,R,KZVOS,41.5
2015,PT,,KZNS,89.3
2015,PT,,KZALA,92.7
2016,PT,U,,88.0
2016,PT,R,,52.3
2016,PT,U,KZAKM,83.0
2016,PT,R,KZAKM,57.7
2016,PT,U,KZAKT,98.5
2016,PT,R,KZAKT,45.9
2016,PT,U,KZALM,95.3
2016,PT,R,KZALM,83.7
2016,PT,U,KZATY,100.0
2016,PT,R,KZATY,77.4
2016,PT,U,KZZAP,89.0
2016,PT,R,KZZAP,37.4
2016,PT,U,KZZHA,78.8
2016,PT,R,KZZHA,61.7
2016,PT,U,KZKAR,85.3
2016,PT,R,KZKAR,53.4
2016,PT,U,KZKUS,97.5
2016,PT,R,KZKUS,29.2
2016,PT,U,KZKZY,85.0
2016,PT,R,KZKZY,74.6
2016,PT,U,KZMAN,99.5
2016,PT,R,KZMAN,57.4
2016,PT,U,KZONT,88.4
2016,PT,R,KZONT,71.8
2016,PT,U,KZPAV,84.0
2016,PT,R,KZPAV,19.8
2016,PT,U,KZSEV,99.9
2016,PT,R,KZSEV,56.3
2016,PT,U,KZVOS,97.2
2016,PT,R,KZVOS,43.1
2016,PT,,KZNS,94.0
2016,PT,,KZALA,96.0
