Year,UNIT_MEASURE,ACTIVITY,REF_AREA,Value
2010,PT,_L_ACT_ELWPP,,0.0
2011,PT,_L_ACT_ILWPP,,9.104880831682053
2011,PT,_L_ACT_ILWPP,KZALM,34.51437542944687
2011,PT,_L_ACT_ILWPP,KZVOS,74.77996517456992
2011,PT,_L_ACT_ILWPP,KZZHA,1.5471146227196866
2011,PT,_L_ACT_ILWPP,KZSEV,0.5594642216101879
2011,PT,_L_ACT_ILWPP,KZONT,37.002353872525326
2011,PT,_L_ACT_ELWPP,,0.0
2012,PT,_L_ACT_ILWPP,,8.376536157036131
2012,PT,_L_ACT_ILWPP,KZALM,33.87562905855201
2012,PT,_L_ACT_ILWPP,KZVOS,74.196245532065
2012,PT,_L_ACT_ILWPP,KZZHA,1.1654489035584796
2012,PT,_L_ACT_ILWPP,KZSEV,0.6565455952920362
2012,PT,_L_ACT_ILWPP,KZONT,29.09221043661668
2012,PT,_L_ACT_ILWPP,KZALA,0.0603899491600893
2012,PT,_L_ACT_ELWPP,,0.0
2013,PT,_L_ACT_ILWPP,,8.11190474163471
2013,PT,_L_ACT_ILWPP,KZALM,26.913021259058368
2013,PT,_L_ACT_ILWPP,KZVOS,73.49094972414917
2013,PT,_L_ACT_ILWPP,KZZHA,1.5038326784100975
2013,PT,_L_ACT_ILWPP,KZSEV,0.7042039690296581
2013,PT,_L_ACT_ILWPP,KZONT,27.470372101640912
2013,PT,_L_ACT_ILWPP,KZALA,0.0669056902222847
2013,PT,_L_ACT_ELWPP,,0.0
2014,PT,_L_ACT_ILWPP,,8.693493734842917
2014,PT,_L_ACT_ILWPP,KZAKM,0.2093964510346464
2014,PT,_L_ACT_ILWPP,KZALM,55.57700621908855
2014,PT,_L_ACT_ILWPP,KZVOS,75.26710775171071
2014,PT,_L_ACT_ILWPP,KZZHA,1.5870957110640762
2014,PT,_L_ACT_ILWPP,KZSEV,0.6866570833653451
2014,PT,_L_ACT_ILWPP,KZONT,29.59463560308556
2014,PT,_L_ACT_ILWPP,KZALA,5.008976207132633
2014,PT,_L_ACT_ELWPP,,0.62
2015,PT,_L_ACT_ILWPP,,10.3083328825092
2015,PT,_L_ACT_ILWPP,KZAKM,9.661538830685435
2015,PT,_L_ACT_ILWPP,KZALM,58.70559496355752
2015,PT,_L_ACT_ILWPP,KZVOS,75.88120353747678
2015,PT,_L_ACT_ILWPP,KZZHA,4.44367003522054
2015,PT,_L_ACT_ILWPP,KZKZY,0.0563355921666289
2015,PT,_L_ACT_ILWPP,KZSEV,0.745414869996707
2015,PT,_L_ACT_ILWPP,KZONT,51.67138798558237
2015,PT,_L_ACT_ILWPP,KZALA,5.841369233662536
2015,PT,_L_ACT_ELWPP,,0.77
2016,PT,_L_ACT_ILWPP,,12.7
2016,PT,_L_ACT_ILWPP,KZAKM,17.317364266420984
2016,PT,_L_ACT_ILWPP,KZALM,72.17020323633585
2016,PT,_L_ACT_ILWPP,KZVOS,79.34596121007488
2016,PT,_L_ACT_ILWPP,KZZHA,9.186065264509818
2016,PT,_L_ACT_ILWPP,KZKZY,0.0896267032807803
2016,PT,_L_ACT_ILWPP,KZSEV,0.6617198833222652
2016,PT,_L_ACT_ILWPP,KZONT,35.373144711564045
2016,PT,_L_ACT_ILWPP,KZALA,6.5780426904686085
2016,PT,_L_ACT_ELWPP,,0.98
2017,PT,_L_ACT_ILWPP,,11.3
2017,PT,_L_ACT_ILWPP,KZAKM,19.3
2017,PT,_L_ACT_ILWPP,KZALM,71.1
2017,PT,_L_ACT_ILWPP,KZVOS,75.7
2017,PT,_L_ACT_ILWPP,KZZHA,10.1
2017,PT,_L_ACT_ILWPP,KZKZY,0.1
2017,PT,_L_ACT_ILWPP,KZSEV,0.6
2017,PT,_L_ACT_ILWPP,KZONT,62.5
2017,PT,_L_ACT_ILWPP,KZALA,6.2
2017,PT,_L_ACT_ELWPP,,1.3
2018,PT,_L_ACT_ILWPP,,10.2
2018,PT,_L_ACT_ILWPP,KZAKM,15.7
2018,PT,_L_ACT_ILWPP,KZALM,64.9
2018,PT,_L_ACT_ILWPP,KZVOS,74.3
2018,PT,_L_ACT_ILWPP,KZZHA,19.0
2018,PT,_L_ACT_ILWPP,KZKZY,0.1
2018,PT,_L_ACT_ILWPP,KZSEV,0.7
2018,PT,_L_ACT_ILWPP,KZYUZ,95.8
2018,PT,_L_ACT_ILWPP,KZALA,6.0
2018,PT,_L_ACT_ELWPP,,1.3
2019,PT,_L_ACT_ILWPP,,10.4
2019,PT,_L_ACT_ILWPP,KZAKM,21.4
2019,PT,_L_ACT_ILWPP,KZALM,65.9
2019,PT,_L_ACT_ILWPP,KZATY,3.4
2019,PT,_L_ACT_ILWPP,KZVOS,70.6
2019,PT,_L_ACT_ILWPP,KZZHA,17.0
2019,PT,_L_ACT_ILWPP,KZKAR,1.1
2019,PT,_L_ACT_ILWPP,KZKZY,0.2
2019,PT,_L_ACT_ILWPP,KZMAN,0.8
2019,PT,_L_ACT_ILWPP,KZPAV,0.0
2019,PT,_L_ACT_ILWPP,KZSEV,0.6
2019,PT,_L_ACT_ILWPP,KZYUZ,96.6
2019,PT,_L_ACT_ILWPP,KZNS,0.0
2019,PT,_L_ACT_ILWPP,KZALA,5.9
2019,PT,_L_ACT_ILWPP,KZSHY,0.6
2019,PT,_L_ACT_ELWPP,,1.6
