Year,UNIT_MEASURE,Value
2010,NUM_CBBR_PER_100000_ADL,3.251092147469366
2010,NUM_ATM_PER_100000_ADL,66.1084379184613
2011,NUM_CBBR_PER_100000_ADL,3.129183139172521
2011,NUM_ATM_PER_100000_ADL,69.52787742106614
2012,NUM_CBBR_PER_100000_ADL,3.2006036778831173
2012,NUM_ATM_PER_100000_ADL,73.2582619604358
2013,NUM_CBBR_PER_100000_ADL,3.156029890198204
2013,NUM_ATM_PER_100000_ADL,75.04988850298912
2014,NUM_CBBR_PER_100000_ADL,3.348735721714094
2014,NUM_ATM_PER_100000_ADL,76.30807191608898
2015,NUM_CBBR_PER_100000_ADL,3.3705674161164425
2015,NUM_ATM_PER_100000_ADL,75.18831606780726
2016,NUM_CBBR_PER_100000_ADL,2.9465215721088307
2016,NUM_ATM_PER_100000_ADL,78.03793005798485
2017,NUM_CBBR_PER_100000_ADL,2.8297588303577013
2017,NUM_ATM_PER_100000_ADL,78.63324107968191
2018,NUM_CBBR_PER_100000_ADL,2.699051416365501
2018,NUM_ATM_PER_100000_ADL,88.76253568387678
2019,NUM_CBBR_PER_100000_ADL,2.3329917037729904
2019,NUM_ATM_PER_100000_ADL,87.1
