Year,UNIT_MEASURE,REF_AREA,SEX,URBANISATION,AGE,Value
2013,PT,,,,,11.8
2013,PT,KZAKM,,,,9.7
2013,PT,KZAKT,,,,13.9
2013,PT,KZALM,,,,14.6
2013,PT,KZATY,,,,1.7
2013,PT,KZZAP,,,,10.8
2013,PT,KZZHA,,,,20.2
2013,PT,KZKAR,,,,8.0
2013,PT,KZKUS,,,,19.8
2013,PT,KZKZY,,,,12.7
2013,PT,KZMAN,,,,3.5
2013,PT,KZONT,,,,14.2
2013,PT,KZPAV,,,,14.6
2013,PT,KZSEV,,,,24.8
2013,PT,KZVOS,,,,12.5
2013,PT,KZNS,,,,0.2
2013,PT,KZALA,,,,1.2
2013,PT,,M,,,10.9
2013,PT,KZAKM,M,,,9.1
2013,PT,KZAKT,M,,,15.2
2013,PT,KZALM,M,,,14.4
2013,PT,KZATY,M,,,1.9
2013,PT,KZZAP,M,,,13.1
2013,PT,KZZHA,M,,,19.8
2013,PT,KZKAR,M,,,6.8
2013,PT,KZKUS,M,,,17.0
2013,PT,KZKZY,M,,,11.3
2013,PT,KZMAN,M,,,2.6
2013,PT,KZONT,M,,,12.2
2013,PT,KZPAV,M,,,12.6
2013,PT,KZSEV,M,,,20.2
2013,PT,KZVOS,M,,,11.7
2013,PT,KZNS,M,,,0.0
2013,PT,KZALA,M,,,1.5
2013,PT,,F,,,12.7
2013,PT,KZAKM,F,,,10.2
2013,PT,KZAKT,F,,,12.6
2013,PT,KZALM,F,,,14.8
2013,PT,KZATY,F,,,1.5
2013,PT,KZZAP,F,,,8.4
2013,PT,KZZHA,F,,,20.6
2013,PT,KZKAR,F,,,9.2
2013,PT,KZKUS,F,,,22.4
2013,PT,KZKZY,F,,,14.4
2013,PT,KZMAN,F,,,4.7
2013,PT,KZONT,F,,,16.7
2013,PT,KZPAV,F,,,16.6
2013,PT,KZSEV,F,,,29.4
2013,PT,KZVOS,F,,,13.4
2013,PT,KZNS,F,,,0.3
2013,PT,KZALA,F,,,0.9
2013,PT,,,U,,5.1
2013,PT,KZAKM,,U,,2.4
2013,PT,KZAKT,,U,,7.1
2013,PT,KZALM,,U,,12.1
2013,PT,KZATY,,U,,0.2
2013,PT,KZZAP,,U,,2.1
2013,PT,KZZHA,,U,,25.5
2013,PT,KZKAR,,U,,6.0
2013,PT,KZKUS,,U,,6.4
2013,PT,KZKZY,,U,,8.4
2013,PT,KZMAN,,U,,4.0
2013,PT,KZONT,,U,,7.1
2013,PT,KZPAV,,U,,3.1
2013,PT,KZSEV,,U,,7.7
2013,PT,KZVOS,,U,,1.7
2013,PT,KZNS,,U,,0.2
2013,PT,KZALA,,U,,1.2
2013,PT,,,R,,19.8
2013,PT,KZAKM,,R,,15.9
2013,PT,KZAKT,,R,,25.4
2013,PT,KZALM,,R,,15.4
2013,PT,KZATY,,R,,3.1
2013,PT,KZZAP,,R,,18.1
2013,PT,KZZHA,,R,,17.2
2013,PT,KZKAR,,R,,15.0
2013,PT,KZKUS,,R,,32.3
2013,PT,KZKZY,,R,,16.2
2013,PT,KZMAN,,R,,2.9
2013,PT,KZONT,,R,,18.6
2013,PT,KZPAV,,R,,36.3
2013,PT,KZSEV,,R,,36.0
2013,PT,KZVOS,,R,,27.8
2013,PT,,,,Y15,97.8
2013,PT,,,,Y16T24,16.1
2013,PT,,,,M25T28,10.0
2013,PT,,,,M29T34,11.1
2013,PT,,,,Y35T44,9.9
2013,PT,,,,Y45T54,10.6
2013,PT,,,,Y55T64,15.2
2013,PT,,,,Y_GE65,47.5
2013,PT,KZAKM,,,Y16T24,12.9
2013,PT,KZAKM,,,M25T28,5.9
