Year,UNIT_MEASURE,REF_AREA,SEX,URBANISATION,AGE,Value
2012,PT,,,,,26.0
2012,PT,KZAKM,,,,20.5
2012,PT,KZAKT,,,,24.7
2012,PT,KZALM,,,,28.2
2012,PT,KZATY,,,,8.2
2012,PT,KZZAP,,,,28.4
2012,PT,KZZHA,,,,31.3
2012,PT,KZKAR,,,,25.8
2012,PT,KZKUS,,,,38.3
2012,PT,KZKZY,,,,17.1
2012,PT,KZMAN,,,,2.4
2012,PT,KZONT,,,,37.2
2012,PT,KZPAV,,,,29.4
2012,PT,KZSEV,,,,40.0
2012,PT,KZVOS,,,,29.8
2012,PT,KZNS,,,,13.3
2012,PT,KZALA,,,,9.8
2012,PT,,M,,,24.7
2012,PT,KZAKM,M,,,21.6
2012,PT,KZAKT,M,,,21.8
2012,PT,KZALM,M,,,28.7
2012,PT,KZATY,M,,,7.5
2012,PT,KZZAP,M,,,30.9
2012,PT,KZZHA,M,,,28.0
2012,PT,KZKAR,M,,,23.0
2012,PT,KZKUS,M,,,35.9
2012,PT,KZKZY,M,,,15.8
2012,PT,KZMAN,M,,,2.3
2012,PT,KZONT,M,,,35.4
2012,PT,KZPAV,M,,,27.1
2012,PT,KZSEV,M,,,35.2
2012,PT,KZVOS,M,,,27.3
2012,PT,KZNS,M,,,12.4
2012,PT,KZALA,M,,,10.5
2012,PT,,F,,,27.5
2012,PT,KZAKM,F,,,19.3
2012,PT,KZAKT,F,,,27.7
2012,PT,KZALM,F,,,27.6
2012,PT,KZATY,F,,,8.9
2012,PT,KZZAP,F,,,25.7
2012,PT,KZZHA,F,,,34.7
2012,PT,KZKAR,F,,,28.9
2012,PT,KZKUS,F,,,40.7
2012,PT,KZKZY,F,,,18.6
2012,PT,KZMAN,F,,,2.6
2012,PT,KZONT,F,,,39.2
2012,PT,KZPAV,F,,,31.8
2012,PT,KZSEV,F,,,44.6
2012,PT,KZVOS,F,,,32.5
2012,PT,KZNS,F,,,14.3
2012,PT,KZALA,F,,,9.1
2012,PT,,,U,,16.0
2012,PT,KZAKM,,U,,14.9
2012,PT,KZAKT,,U,,16.8
2012,PT,KZALM,,U,,21.4
2012,PT,KZATY,,U,,3.1
2012,PT,KZZAP,,U,,5.6
2012,PT,KZZHA,,U,,14.6
2012,PT,KZKAR,,U,,23.5
2012,PT,KZKUS,,U,,18.2
2012,PT,KZKZY,,U,,11.5
2012,PT,KZMAN,,U,,2.1
2012,PT,KZONT,,U,,23.9
2012,PT,KZPAV,,U,,17.9
2012,PT,KZSEV,,U,,24.9
2012,PT,KZVOS,,U,,18.0
2012,PT,KZNS,,U,,13.3
2012,PT,KZALA,,U,,9.8
2012,PT,,,R,,37.9
2012,PT,KZAKM,,R,,25.2
2012,PT,KZAKT,,R,,37.9
2012,PT,KZALM,,R,,30.2
2012,PT,KZATY,,R,,13.2
2012,PT,KZZAP,,R,,47.0
2012,PT,KZZHA,,R,,40.7
2012,PT,KZKAR,,R,,33.6
2012,PT,KZKUS,,R,,56.8
2012,PT,KZKZY,,R,,21.5
2012,PT,KZMAN,,R,,2.8
2012,PT,KZONT,,R,,45.3
2012,PT,KZPAV,,R,,50.9
2012,PT,KZSEV,,R,,49.3
2012,PT,KZVOS,,R,,46.2
2012,PT,,,,Y15,99.3
2012,PT,,,,Y16T24,33.1
2012,PT,,,,M25T28,22.9
2012,PT,,,,M29T34,24.4
2012,PT,,,,Y35T44,24.2
2012,PT,,,,Y45T54,23.5
2012,PT,,,,Y55T64,30.4
2012,PT,,,,Y_GE65,62.6
2012,PT,KZAKM,,,Y15,73.9
2012,PT,KZAKM,,,Y16T24,18.5
2012,PT,KZAKM,,,M25T28,14.8
2012,PT,KZAKM,,,M29T34,17.7
2012,PT,KZAKM,,,Y35T44,22.5
2012,PT,KZAKM,,,Y45T54,22.6
2012,PT,KZAKM,,,Y55T64,18.2
2012,PT,KZAKM,,,Y_GE65,77.0
2012,PT,KZAKT,,,Y16T24,38.8
2012,PT,KZAKT,,,M25T28,25.8
2012,PT,KZAKT,,,M29T34,22.4
2012,PT,KZAKT,,,Y35T44,19.4
2012,PT,KZAKT,,,Y45T54,22.3
2012,PT,KZAKT,,,Y55T64,37.6
2012,PT,KZAKT,,,Y_GE65,100.0
2012,PT,KZALM,,,Y16T24,27.0
2012,PT,KZALM,,,M25T28,25.7
2012,PT,KZALM,,,M29T34,28.4
2012,PT,KZALM,,,Y35T44,29.2
2012,PT,KZALM,,,Y45T54,29.2
2012,PT,KZALM,,,Y55T64,28.3
2012,PT,KZALM,,,Y_GE65,36.0
2012,PT,KZATY,,,Y16T24,11.3
2012,PT,KZATY,,,M25T28,5.8
2012,PT,KZATY,,,M29T34,8.2
2012,PT,KZATY,,,Y35T44,9.7
2012,PT,KZATY,,,Y45T54,5.9
2012,PT,KZATY,,,Y55T64,7.3
2012,PT,KZZAP,,,Y16T24,28.2
2012,PT,KZZAP,,,M25T28,31.4
2012,PT,KZZAP,,,M29T34,24.2
2012,PT,KZZAP,,,Y35T44,27.5
2012,PT,KZZAP,,,Y45T54,25.6
2012,PT,KZZAP,,,Y55T64,42.1
2012,PT,KZZAP,,,Y_GE65,81.5
2012,PT,KZZHA,,,Y15,100.0
2012,PT,KZZHA,,,Y16T24,39.4
2012,PT,KZZHA,,,M25T28,33.1
2012,PT,KZZHA,,,M29T34,30.0
2012,PT,KZZHA,,,Y35T44,29.5
2012,PT,KZZHA,,,Y45T54,25.1
2012,PT,KZZHA,,,Y55T64,32.6
2012,PT,KZZHA,,,Y_GE65,36.3
2012,PT,KZKAR,,,Y16T24,40.0
2012,PT,KZKAR,,,M25T28,22.3
2012,PT,KZKAR,,,M29T34,23.3
2012,PT,KZKAR,,,Y35T44,20.6
2012,PT,KZKAR,,,Y45T54,19.7
2012,PT,KZKAR,,,Y55T64,33.0
2012,PT,KZKAR,,,Y_GE65,76.2
2012,PT,KZKUS,,,Y15,100.0
2012,PT,KZKUS,,,Y16T24,57.5
2012,PT,KZKUS,,,M25T28,32.8
2012,PT,KZKUS,,,M29T34,31.7
2012,PT,KZKUS,,,Y35T44,33.0
2012,PT,KZKUS,,,Y45T54,34.1
2012,PT,KZKUS,,,Y55T64,40.1
2012,PT,KZKUS,,,Y_GE65,90.3
2012,PT,KZKZY,,,Y16T24,20.8
2012,PT,KZKZY,,,M25T28,14.6
2012,PT,KZKZY,,,M29T34,19.4
2012,PT,KZKZY,,,Y35T44,16.0
2012,PT,KZKZY,,,Y45T54,15.5
2012,PT,KZKZY,,,Y55T64,17.6
2012,PT,KZMAN,,,Y16T24,1.8
2012,PT,KZMAN,,,M25T28,2.1
2012,PT,KZMAN,,,M29T34,1.4
2012,PT,KZMAN,,,Y35T44,3.2
2012,PT,KZMAN,,,Y45T54,3.6
2012,PT,KZMAN,,,Y55T64,2.2
2012,PT,KZONT,,,Y16T24,44.8
2012,PT,KZONT,,,M25T28,33.2
2012,PT,KZONT,,,M29T34,38.7
2012,PT,KZONT,,,Y35T44,37.2
2012,PT,KZONT,,,Y45T54,32.9
2012,PT,KZONT,,,Y55T64,34.7
2012,PT,KZONT,,,Y_GE65,38.4
2012,PT,KZPAV,,,Y15,100.0
2012,PT,KZPAV,,,Y16T24,41.0
2012,PT,KZPAV,,,M25T28,24.3
2012,PT,KZPAV,,,M29T34,30.2
2012,PT,KZPAV,,,Y35T44,22.9
2012,PT,KZPAV,,,Y45T54,22.5
2012,PT,KZPAV,,,Y55T64,41.6
2012,PT,KZPAV,,,Y_GE65,98.7
2012,PT,KZSEV,,,Y16T24,49.1
2012,PT,KZSEV,,,M25T28,30.7
2012,PT,KZSEV,,,M29T34,37.2
2012,PT,KZSEV,,,Y35T44,32.0
2012,PT,KZSEV,,,Y45T54,32.1
2012,PT,KZSEV,,,Y55T64,59.2
2012,PT,KZSEV,,,Y_GE65,96.5
2012,PT,KZVOS,,,Y16T24,35.7
2012,PT,KZVOS,,,M25T28,24.2
2012,PT,KZVOS,,,M29T34,29.2
2012,PT,KZVOS,,,Y35T44,29.9
2012,PT,KZVOS,,,Y45T54,29.5
2012,PT,KZVOS,,,Y55T64,29.6
2012,PT,KZVOS,,,Y_GE65,38.0
2012,PT,KZNS,,,Y16T24,24.9
2012,PT,KZNS,,,M25T28,13.7
2012,PT,KZNS,,,M29T34,11.2
2012,PT,KZNS,,,Y35T44,12.6
2012,PT,KZNS,,,Y45T54,9.7
2012,PT,KZNS,,,Y55T64,5.0
2012,PT,KZALA,,,Y16T24,13.8
2012,PT,KZALA,,,M25T28,9.9
2012,PT,KZALA,,,M29T34,10.4
2012,PT,KZALA,,,Y35T44,9.0
2012,PT,KZALA,,,Y45T54,7.7
2012,PT,KZALA,,,Y55T64,9.4
2012,PT,KZALA,,,Y_GE65,28.6
2013,PT,,,,,24.3
2013,PT,KZAKM,,,,21.3
2013,PT,KZAKT,,,,21.5
2013,PT,KZALM,,,,21.5
2013,PT,KZATY,,,,7.5
2013,PT,KZZAP,,,,28.9
2013,PT,KZZHA,,,,43.9
2013,PT,KZKAR,,,,19.7
2013,PT,KZKUS,,,,37.3
2013,PT,KZKZY,,,,14.9
2013,PT,KZMAN,,,,5.9
2013,PT,KZONT,,,,32.4
2013,PT,KZPAV,,,,29.3
2013,PT,KZSEV,,,,39.0
2013,PT,KZVOS,,,,29.5
2013,PT,KZNS,,,,4.9
