Year,UNIT_MEASURE,ACTIVITY,REF_AREA,SEX,AGE,Value
2014,PT,,,,,837.0
2015,PT,,,,,880.0
2016,PT,,,,,950.0
2017,PT,,,,,927.0
2018,PT,,,,,959.0
2018,PT,,KZAKM,,,706.0
2018,PT,,KZAKT,,,750.0
2018,PT,,KZALM,,,713.0
2018,PT,,KZATY,,,1718.0
2018,PT,,KZZAP,,,1202.0
2018,PT,,KZZHA,,,613.0
2018,PT,,KZKAR,,,808.0
2018,PT,,KZKUS,,,685.0
2018,PT,,KZKZY,,,720.0
2018,PT,,KZMAN,,,1411.0
2018,PT,,KZONT,,,630.0
2018,PT,,KZPAV,,,774.0
2018,PT,,KZSEV,,,636.0
2018,PT,,KZVOS,,,741.0
2018,PT,,KZNS,,,1422.0
2018,PT,,KZALA,,,1335.0
2018,PT,,,M,,1122.0
2018,PT,,KZAKM,M,,792.0
2018,PT,,KZAKT,M,,850.0
2018,PT,,KZALM,M,,813.0
2018,PT,,KZATY,M,,2105.0
2018,PT,,KZZAP,M,,1588.0
2018,PT,,KZZHA,M,,690.0
2018,PT,,KZKAR,M,,913.0
2018,PT,,KZKUS,M,,752.0
2018,PT,,KZKZY,M,,811.0
2018,PT,,KZMAN,M,,1827.0
2018,PT,,KZONT,M,,686.0
2018,PT,,KZPAV,M,,873.0
2018,PT,,KZSEV,M,,682.0
2018,PT,,KZVOS,M,,828.0
2018,PT,,KZNS,M,,1637.0
2018,PT,,KZALA,M,,1438.0
2018,PT,,,F,,785.0
2018,PT,,KZAKM,F,,602.0
2018,PT,,KZAKT,F,,639.0
2018,PT,,KZALM,F,,630.0
2018,PT,,KZATY,F,,1146.0
2018,PT,,KZZAP,F,,743.0
2018,PT,,KZZHA,F,,543.0
2018,PT,,KZKAR,F,,682.0
2018,PT,,KZKUS,F,,604.0
2018,PT,,KZKZY,F,,609.0
2018,PT,,KZMAN,F,,899.0
2018,PT,,KZONT,F,,588.0
2018,PT,,KZPAV,F,,667.0
2018,PT,,KZSEV,F,,590.0
2018,PT,,KZVOS,F,,644.0
2018,PT,,KZNS,F,,1179.0
2018,PT,,KZALA,F,,1217.0
2018,PT,,,,Y16T24,577.0
2018,PT,,,,M25T28,764.0
2018,PT,,,,M29T34,961.0
2018,PT,,,,Y35T44,1102.0
2018,PT,,,,Y45T54,977.0
2018,PT,,,,Y55T64,951.0
2018,PT,,,,Y_GE65,1159.0
2018,PT,,KZAKM,,Y16T24,485.0
2018,PT,,KZAKM,,M25T28,598.0
2018,PT,,KZAKM,,M29T34,739.0
2018,PT,,KZAKM,,Y35T44,792.0
2018,PT,,KZAKM,,Y45T54,716.0
2018,PT,,KZAKM,,Y55T64,670.0
2018,PT,,KZAKM,,Y_GE65,674.0
2018,PT,,KZAKT,,Y16T24,478.0
2018,PT,,KZAKT,,M25T28,622.0
2018,PT,,KZAKT,,M29T34,747.0
2018,PT,,KZAKT,,Y35T44,819.0
2018,PT,,KZAKT,,Y45T54,773.0
2018,PT,,KZAKT,,Y55T64,796.0
2018,PT,,KZAKT,,Y_GE65,798.0
2018,PT,,KZALM,,Y16T24,497.0
2018,PT,,KZALM,,M25T28,608.0
2018,PT,,KZALM,,M29T34,711.0
2018,PT,,KZALM,,Y35T44,791.0
2018,PT,,KZALM,,Y45T54,708.0
2018,PT,,KZALM,,Y55T64,732.0
2018,PT,,KZALM,,Y_GE65,810.0
2018,PT,,KZATY,,Y16T24,768.0
2018,PT,,KZATY,,M25T28,1231.0
2018,PT,,KZATY,,M29T34,1571.0
2018,PT,,KZATY,,Y35T44,1917.0
2018,PT,,KZATY,,Y45T54,1855.0
2018,PT,,KZATY,,Y55T64,2077.0
2018,PT,,KZATY,,Y_GE65,6563.0
2018,PT,,KZZAP,,Y16T24,490.0
2018,PT,,KZZAP,,M25T28,621.0
2018,PT,,KZZAP,,M29T34,894.0
2018,PT,,KZZAP,,Y35T44,1586.0
2018,PT,,KZZAP,,Y45T54,1341.0
2018,PT,,KZZAP,,Y55T64,1276.0
2018,PT,,KZZAP,,Y_GE65,1028.0
2018,PT,,KZZHA,,Y16T24,443.0
2018,PT,,KZZHA,,M25T28,532.0
2018,PT,,KZZHA,,M29T34,619.0
2018,PT,,KZZHA,,Y35T44,649.0
2018,PT,,KZZHA,,Y45T54,630.0
2018,PT,,KZZHA,,Y55T64,636.0
2018,PT,,KZZHA,,Y_GE65,661.0
2018,PT,,KZKAR,,Y16T24,521.0
2018,PT,,KZKAR,,M25T28,708.0
2018,PT,,KZKAR,,M29T34,830.0
2018,PT,,KZKAR,,Y35T44,890.0
2018,PT,,KZKAR,,Y45T54,807.0
2018,PT,,KZKAR,,Y55T64,817.0
2018,PT,,KZKAR,,Y_GE65,837.0
2018,PT,,KZKUS,,Y16T24,472.0
2018,PT,,KZKUS,,M25T28,622.0
2018,PT,,KZKUS,,M29T34,728.0
2018,PT,,KZKUS,,Y35T44,761.0
2018,PT,,KZKUS,,Y45T54,679.0
2018,PT,,KZKUS,,Y55T64,653.0
2018,PT,,KZKUS,,Y_GE65,789.0
2018,PT,,KZKZY,,Y16T24,460.0
2018,PT,,KZKZY,,M25T28,594.0
2018,PT,,KZKZY,,M29T34,696.0
2018,PT,,KZKZY,,Y35T44,784.0
2018,PT,,KZKZY,,Y45T54,726.0
2018,PT,,KZKZY,,Y55T64,810.0
2018,PT,,KZKZY,,Y_GE65,941.0
2018,PT,,KZMAN,,Y16T24,538.0
2018,PT,,KZMAN,,M25T28,867.0
2018,PT,,KZMAN,,M29T34,1351.0
2018,PT,,KZMAN,,Y35T44,1585.0
2018,PT,,KZMAN,,Y45T54,1641.0
2018,PT,,KZMAN,,Y55T64,1662.0
2018,PT,,KZMAN,,Y_GE65,1421.0
2018,PT,,KZONT,,Y16T24,436.0
2018,PT,,KZONT,,M25T28,514.0
2018,PT,,KZONT,,M29T34,608.0
2018,PT,,KZONT,,Y35T44,651.0
2018,PT,,KZONT,,Y45T54,666.0
2018,PT,,KZONT,,Y55T64,672.0
2018,PT,,KZONT,,Y_GE65,864.0
2018,PT,,KZPAV,,Y16T24,515.0
2018,PT,,KZPAV,,M25T28,638.0
2018,PT,,KZPAV,,M29T34,765.0
2018,PT,,KZPAV,,Y35T44,828.0
2018,PT,,KZPAV,,Y45T54,787.0
2018,PT,,KZPAV,,Y55T64,815.0
2018,PT,,KZPAV,,Y_GE65,788.0
2018,PT,,KZSEV,,Y16T24,465.0
2018,PT,,KZSEV,,M25T28,566.0
2018,PT,,KZSEV,,M29T34,662.0
2018,PT,,KZSEV,,Y35T44,697.0
2018,PT,,KZSEV,,Y45T54,629.0
2018,PT,,KZSEV,,Y55T64,607.0
2018,PT,,KZSEV,,Y_GE65,639.0
2018,PT,,KZVOS,,Y16T24,531.0
2018,PT,,KZVOS,,M25T28,628.0
2018,PT,,KZVOS,,M29T34,738.0
2018,PT,,KZVOS,,Y35T44,827.0
2018,PT,,KZVOS,,Y45T54,757.0
2018,PT,,KZVOS,,Y55T64,714.0
2018,PT,,KZVOS,,Y_GE65,890.0
2018,PT,,KZNS,,Y16T24,724.0
2018,PT,,KZNS,,M25T28,1019.0
2018,PT,,KZNS,,M29T34,1403.0
2018,PT,,KZNS,,Y35T44,1654.0
2018,PT,,KZNS,,Y45T54,1561.0
2018,PT,,KZNS,,Y55T64,1461.0
2018,PT,,KZNS,,Y_GE65,1444.0
2018,PT,,KZALA,,Y16T24,729.0
2018,PT,,KZALA,,M25T28,1021.0
2018,PT,,KZALA,,M29T34,1380.0
2018,PT,,KZALA,,Y35T44,1726.0
2018,PT,,KZALA,,Y45T54,1357.0
2018,PT,,KZALA,,Y55T64,1246.0
2018,PT,,KZALA,,Y_GE65,1359.0
2018,PT,,,M,Y16T24,612.0
2018,PT,,,M,M25T28,827.0
2018,PT,,,M,M29T34,1100.0
2018,PT,,,M,Y35T44,1347.0
2018,PT,,,M,Y45T54,1205.0
2018,PT,,,M,Y55T64,1107.0
2018,PT,,,M,Y_GE65,1276.0
2018,PT,,,F,Y16T24,532.0
2018,PT,,,F,M25T28,680.0
2018,PT,,,F,M29T34,788.0
2018,PT,,,F,Y35T44,868.0
2018,PT,,,F,Y45T54,793.0
2018,PT,,,F,Y55T64,758.0
2018,PT,,,F,Y_GE65,968.0
2018,PT,_T,,,,959.0
2018,PT,ISIC4_A,,,,537.0
2018,PT,_L_ACT_IND,,,,1382.0
2018,PT,ISIC4_F,,,,1337.0
2018,PT,ISIC4_G,,,,935.0
2018,PT,ISIC4_H,,,,1178.0
2018,PT,ISIC4_I,,,,1295.0
2018,PT,ISIC4_J,,,,1371.0
