Year,UNIT_MEASURE,REF_AREA,URBANISATION,SEX,AGE,Value
2010,PT,,,,,5.8
2010,PT,KZAKM,,,,5.8
2010,PT,KZAKT,,,,5.3
2010,PT,KZALM,,,,5.6
2010,PT,KZATY,,,,5.4
2010,PT,KZZAP,,,,5.6
2010,PT,KZZHA,,,,5.7
2010,PT,KZKAR,,,,5.5
2010,PT,KZKUS,,,,5.7
2010,PT,KZKZY,,,,5.9
2010,PT,KZMAN,,,,6.4
2010,PT,KZONT,,,,5.9
2010,PT,KZPAV,,,,5.6
2010,PT,KZSEV,,,,5.8
2010,PT,KZVOS,,,,5.7
2010,PT,KZNS,,,,6.2
2010,PT,KZALA,,,,6.3
2010,PT,,,M,,4.9
2010,PT,KZAKM,,M,,6.1
2010,PT,KZAKT,,M,,2.9
2010,PT,KZALM,,M,,5.3
2010,PT,KZATY,,M,,3.9
2010,PT,KZZAP,,M,,4.7
2010,PT,KZZHA,,M,,5.5
2010,PT,KZKAR,,M,,4.5
2010,PT,KZKUS,,M,,5.2
2010,PT,KZKZY,,M,,5.7
2010,PT,KZMAN,,M,,5.9
2010,PT,KZONT,,M,,4.8
2010,PT,KZPAV,,M,,4.6
2010,PT,KZSEV,,M,,6.1
2010,PT,KZVOS,,M,,4.9
2010,PT,KZNS,,M,,2.9
2010,PT,KZALA,,M,,5.5
2010,PT,,,F,,6.6
2010,PT,KZAKM,,F,,5.5
2010,PT,KZAKT,,F,,7.7
2010,PT,KZALM,,F,,6.0
2010,PT,KZATY,,F,,7.0
2010,PT,KZZAP,,F,,6.6
2010,PT,KZZHA,,F,,5.9
2010,PT,KZKAR,,F,,6.4
2010,PT,KZKUS,,F,,6.1
2010,PT,KZKZY,,F,,6.1
2010,PT,KZMAN,,F,,7.1
2010,PT,KZONT,,F,,7.2
2010,PT,KZPAV,,F,,6.7
2010,PT,KZSEV,,F,,5.5
2010,PT,KZVOS,,F,,6.5
2010,PT,KZNS,,F,,9.7
2010,PT,KZALA,,F,,7.0
2010,PT,,U,,,6.2
2010,PT,KZAKM,U,,,5.7
2010,PT,KZAKT,U,,,5.4
2010,PT,KZALM,U,,,5.6
2010,PT,KZATY,U,,,6.1
2010,PT,KZZAP,U,,,4.8
2010,PT,KZZHA,U,,,7.0
2010,PT,KZKAR,U,,,5.5
2010,PT,KZKUS,U,,,7.6
2010,PT,KZKZY,U,,,5.4
2010,PT,KZMAN,U,,,5.8
2010,PT,KZONT,U,,,7.2
2010,PT,KZPAV,U,,,6.3
2010,PT,KZSEV,U,,,6.5
2010,PT,KZVOS,U,,,6.6
2010,PT,KZNS,U,,,6.2
2010,PT,KZALA,U,,,6.3
2010,PT,,R,,,5.2
2010,PT,KZAKM,R,,,5.9
2010,PT,KZAKT,R,,,5.3
2010,PT,KZALM,R,,,5.6
2010,PT,KZATY,R,,,4.9
2010,PT,KZZAP,R,,,6.1
2010,PT,KZZHA,R,,,4.9
2010,PT,KZKAR,R,,,5.3
2010,PT,KZKUS,R,,,3.9
2010,PT,KZKZY,R,,,6.2
2010,PT,KZMAN,R,,,7.3
2010,PT,KZONT,R,,,5.1
2010,PT,KZPAV,R,,,4.5
2010,PT,KZSEV,R,,,5.4
2010,PT,KZVOS,R,,,4.7
2010,PT,,,,Y15,6.8
2010,PT,,,,Y16T24,5.2
2010,PT,,,,M25T28,8.4
2010,PT,,,,M29T34,5.8
2010,PT,,,,Y35T44,5.3
2010,PT,,,,Y45T54,5.2
2010,PT,,,,Y55T64,6.0
2010,PT,KZAKM,,,Y16T24,6.0
2010,PT,KZAKM,,,M25T28,5.2
2010,PT,KZAKM,,,M29T34,4.9
2010,PT,KZAKM,,,Y35T44,6.4
2010,PT,KZAKM,,,Y45T54,6.1
2010,PT,KZAKM,,,Y55T64,6.3
2010,PT,KZAKT,,,Y16T24,2.2
2010,PT,KZAKT,,,M25T28,7.6
2010,PT,KZAKT,,,M29T34,7.5
2010,PT,KZAKT,,,Y35T44,6.8
2010,PT,KZAKT,,,Y45T54,4.2
2010,PT,KZAKT,,,Y55T64,1.2
2010,PT,KZALM,,,Y15,53.1
2010,PT,KZALM,,,Y16T24,3.3
2010,PT,KZALM,,,M25T28,5.0
2010,PT,KZALM,,,M29T34,5.1
2010,PT,KZALM,,,Y35T44,4.4
2010,PT,KZALM,,,Y45T54,5.6
2010,PT,KZALM,,,Y55T64,13.3
2010,PT,KZATY,,,Y16T24,1.5
2010,PT,KZATY,,,M25T28,15.4
2010,PT,KZATY,,,M29T34,6.2
2010,PT,KZATY,,,Y35T44,3.7
2010,PT,KZATY,,,Y45T54,3.5
2010,PT,KZATY,,,Y55T64,5.4
2010,PT,KZZAP,,,Y16T24,6.5
2010,PT,KZZAP,,,M25T28,6.4
2010,PT,KZZAP,,,M29T34,6.9
2010,PT,KZZAP,,,Y35T44,5.9
2010,PT,KZZAP,,,Y45T54,5.1
2010,PT,KZZAP,,,Y55T64,1.9
2010,PT,KZZHA,,,Y16T24,6.0
2010,PT,KZZHA,,,M25T28,1.9
2010,PT,KZZHA,,,M29T34,9.7
2010,PT,KZZHA,,,Y35T44,7.7
2010,PT,KZZHA,,,Y45T54,4.3
2010,PT,KZZHA,,,Y55T64,1.2
2010,PT,KZKAR,,,Y16T24,5.9
2010,PT,KZKAR,,,M25T28,9.9
2010,PT,KZKAR,,,M29T34,5.5
2010,PT,KZKAR,,,Y35T44,4.8
2010,PT,KZKAR,,,Y45T54,4.6
2010,PT,KZKAR,,,Y55T64,4.2
2010,PT,KZKUS,,,Y16T24,5.3
2010,PT,KZKUS,,,M25T28,13.3
2010,PT,KZKUS,,,M29T34,5.1
2010,PT,KZKUS,,,Y35T44,3.6
2010,PT,KZKUS,,,Y45T54,4.4
2010,PT,KZKUS,,,Y55T64,8.4
2010,PT,KZKZY,,,Y16T24,6.5
2010,PT,KZKZY,,,M25T28,8.6
2010,PT,KZKZY,,,M29T34,4.1
2010,PT,KZKZY,,,Y35T44,4.0
2010,PT,KZKZY,,,Y45T54,6.1
2010,PT,KZKZY,,,Y55T64,10.8
2010,PT,KZMAN,,,Y16T24,7.0
2010,PT,KZMAN,,,M25T28,11.7
2010,PT,KZMAN,,,M29T34,2.7
2010,PT,KZMAN,,,Y35T44,3.9
2010,PT,KZMAN,,,Y45T54,10.4
2010,PT,KZMAN,,,Y55T64,8.4
2010,PT,KZONT,,,Y16T24,2.1
2010,PT,KZONT,,,M25T28,11.3
2010,PT,KZONT,,,M29T34,6.1
2010,PT,KZONT,,,Y35T44,6.0
2010,PT,KZONT,,,Y45T54,5.3
2010,PT,KZONT,,,Y55T64,2.9
2010,PT,KZPAV,,,Y15,3.1
2010,PT,KZPAV,,,Y16T24,5.5
2010,PT,KZPAV,,,M25T28,8.8
2010,PT,KZPAV,,,M29T34,4.3
2010,PT,KZPAV,,,Y35T44,4.6
2010,PT,KZPAV,,,Y45T54,6.4
2010,PT,KZPAV,,,Y55T64,4.9
2010,PT,KZSEV,,,Y16T24,5.9
2010,PT,KZSEV,,,M25T28,9.8
2010,PT,KZSEV,,,M29T34,7.6
2010,PT,KZSEV,,,Y35T44,4.7
2010,PT,KZSEV,,,Y45T54,4.2
2010,PT,KZSEV,,,Y55T64,5.8
2010,PT,KZVOS,,,Y16T24,7.0
2010,PT,KZVOS,,,M25T28,6.7
2010,PT,KZVOS,,,M29T34,4.4
2010,PT,KZVOS,,,Y35T44,5.0
2010,PT,KZVOS,,,Y45T54,4.9
2010,PT,KZVOS,,,Y55T64,8.8
2010,PT,KZNS,,,Y16T24,11.2
2010,PT,KZNS,,,M25T28,4.7
2010,PT,KZNS,,,M29T34,6.6
2010,PT,KZNS,,,Y35T44,6.4
2010,PT,KZNS,,,Y45T54,5.6
2010,PT,KZNS,,,Y55T64,2.9
2010,PT,KZALA,,,Y16T24,9.0
2010,PT,KZALA,,,M25T28,8.5
2010,PT,KZALA,,,M29T34,5.7
2010,PT,KZALA,,,Y35T44,5.6
2010,PT,KZALA,,,Y45T54,5.5
2010,PT,KZALA,,,Y55T64,4.2
2011,PT,,,,,5.4
2011,PT,KZAKM,,,,5.5
2011,PT,KZAKT,,,,4.9
2011,PT,KZALM,,,,5.1
2011,PT,KZATY,,,,5.0
2011,PT,KZZAP,,,,5.3
2011,PT,KZZHA,,,,5.5
2011,PT,KZKAR,,,,5.3
2011,PT,KZKUS,,,,5.4
2011,PT,KZKZY,,,,5.5
2011,PT,KZMAN,,,,5.8
2011,PT,KZONT,,,,5.7
2011,PT,KZPAV,,,,5.2
2011,PT,KZSEV,,,,5.4
2011,PT,KZVOS,,,,5.2
2011,PT,KZNS,,,,5.8
2011,PT,KZALA,,,,5.6
2011,PT,,,M,,4.6
2011,PT,KZAKM,,M,,5.3
2011,PT,KZAKT,,M,,3.5
2011,PT,KZALM,,M,,5.1
2011,PT,KZATY,,M,,4.2
2011,PT,KZZAP,,M,,4.9
2011,PT,KZZHA,,M,,4.9
2011,PT,KZKAR,,M,,3.7
2011,PT,KZKUS,,M,,4.8
2011,PT,KZKZY,,M,,5.2
2011,PT,KZMAN,,M,,5.4
2011,PT,KZONT,,M,,5.1
2011,PT,KZPAV,,M,,4.4
2011,PT,KZSEV,,M,,5.3
2011,PT,KZVOS,,M,,3.7
2011,PT,KZNS,,M,,4.0
2011,PT,KZALA,,M,,4.4
2011,PT,,,F,,6.2
2011,PT,KZAKM,,F,,5.6
2011,PT,KZAKT,,F,,6.2
2011,PT,KZALM,,F,,5.0
2011,PT,KZATY,,F,,5.9
2011,PT,KZZAP,,F,,5.8
2011,PT,KZZHA,,F,,6.1
2011,PT,KZKAR,,F,,6.8
2011,PT,KZKUS,,F,,5.9
2011,PT,KZKZY,,F,,5.8
2011,PT,KZMAN,,F,,6.3
2011,PT,KZONT,,F,,6.4
2011,PT,KZPAV,,F,,6.0
2011,PT,KZSEV,,F,,5.6
2011,PT,KZVOS,,F,,6.8
2011,PT,KZNS,,F,,7.8
2011,PT,KZALA,,F,,6.7
2011,PT,,U,,,5.8
2011,PT,KZAKM,U,,,5.2
2011,PT,KZAKT,U,,,4.7
2011,PT,KZALM,U,,,6.0
2011,PT,KZATY,U,,,5.2
2011,PT,KZZAP,U,,,4.9
2011,PT,KZZHA,U,,,6.8
2011,PT,KZKAR,U,,,5.3
2011,PT,KZKUS,U,,,7.4
2011,PT,KZKZY,U,,,5.1
2011,PT,KZMAN,U,,,4.9
2011,PT,KZONT,U,,,6.7
2011,PT,KZPAV,U,,,5.8
2011,PT,KZSEV,U,,,5.8
2011,PT,KZVOS,U,,,5.7
2011,PT,KZNS,U,,,5.8
2011,PT,KZALA,U,,,5.6
2011,PT,,R,,,4.9
2011,PT,KZAKM,R,,,5.7
2011,PT,KZAKT,R,,,5.0
2011,PT,KZALM,R,,,4.8
2011,PT,KZATY,R,,,4.9
2011,PT,KZZAP,R,,,5.6
2011,PT,KZZHA,R,,,4.6
2011,PT,KZKAR,R,,,5.1
2011,PT,KZKUS,R,,,3.5
2011,PT,KZKZY,R,,,5.8
2011,PT,KZMAN,R,,,7.2
2011,PT,KZONT,R,,,5.1
2011,PT,KZPAV,R,,,4.1
2011,PT,KZSEV,R,,,5.2
2011,PT,KZVOS,R,,,4.6
2011,PT,,,,Y16T24,4.6
2011,PT,,,,M25T28,7.8
2011,PT,,,,M29T34,6.6
2011,PT,,,,Y35T44,4.7
2011,PT,,,,Y45T54,4.5
2011,PT,,,,Y55T64,5.3
2011,PT,KZAKM,,,Y16T24,4.8
2011,PT,KZAKM,,,M25T28,6.0
2011,PT,KZAKM,,,M29T34,5.2
2011,PT,KZAKM,,,Y35T44,5.8
2011,PT,KZAKM,,,Y45T54,5.5
2011,PT,KZAKM,,,Y55T64,6.0
2011,PT,KZAKT,,,Y16T24,2.1
2011,PT,KZAKT,,,M25T28,7.5
2011,PT,KZAKT,,,M29T34,6.7
2011,PT,KZAKT,,,Y35T44,5.4
2011,PT,KZAKT,,,Y45T54,3.2
2011,PT,KZAKT,,,Y55T64,3.4
2011,PT,KZALM,,,Y16T24,2.1
2011,PT,KZALM,,,M25T28,6.2
2011,PT,KZALM,,,M29T34,8.0
2011,PT,KZALM,,,Y35T44,3.4
2011,PT,KZALM,,,Y45T54,4.0
2011,PT,KZALM,,,Y55T64,10.2
2011,PT,KZATY,,,Y16T24,0.8
2011,PT,KZATY,,,M25T28,9.2
2011,PT,KZATY,,,M29T34,8.1
2011,PT,KZATY,,,Y35T44,3.1
2011,PT,KZATY,,,Y45T54,4.2
2011,PT,KZATY,,,Y55T64,7.8
2011,PT,KZZAP,,,Y16T24,5.5
2011,PT,KZZAP,,,M25T28,4.4
2011,PT,KZZAP,,,M29T34,6.4
2011,PT,KZZAP,,,Y35T44,5.9
2011,PT,KZZAP,,,Y45T54,5.2
2011,PT,KZZAP,,,Y55T64,2.7
2011,PT,KZZHA,,,Y16T24,5.6
2011,PT,KZZHA,,,M25T28,7.8
2011,PT,KZZHA,,,M29T34,6.6
2011,PT,KZZHA,,,Y35T44,5.1
2011,PT,KZZHA,,,Y45T54,3.7
2011,PT,KZZHA,,,Y55T64,5.4
2011,PT,KZKAR,,,Y16T24,5.0
2011,PT,KZKAR,,,M25T28,7.7
2011,PT,KZKAR,,,M29T34,5.2
2011,PT,KZKAR,,,Y35T44,4.4
2011,PT,KZKAR,,,Y45T54,6.0
2011,PT,KZKAR,,,Y55T64,3.6
2011,PT,KZKUS,,,Y16T24,5.0
2011,PT,KZKUS,,,M25T28,11.0
2011,PT,KZKUS,,,M29T34,6.7
2011,PT,KZKUS,,,Y35T44,4.7
2011,PT,KZKUS,,,Y45T54,4.1
2011,PT,KZKUS,,,Y55T64,3.5
2011,PT,KZKZY,,,Y16T24,6.8
2011,PT,KZKZY,,,M25T28,6.4
2011,PT,KZKZY,,,M29T34,4.9
2011,PT,KZKZY,,,Y35T44,5.2
2011,PT,KZKZY,,,Y45T54,4.3
2011,PT,KZKZY,,,Y55T64,7.3
2011,PT,KZMAN,,,Y16T24,6.2
2011,PT,KZMAN,,,M25T28,9.2
2011,PT,KZMAN,,,M29T34,6.1
2011,PT,KZMAN,,,Y35T44,4.0
2011,PT,KZMAN,,,Y45T54,5.3
2011,PT,KZMAN,,,Y55T64,7.4
2011,PT,KZONT,,,Y16T24,1.8
2011,PT,KZONT,,,M25T28,9.3
2011,PT,KZONT,,,M29T34,9.8
2011,PT,KZONT,,,Y35T44,4.7
2011,PT,KZONT,,,Y45T54,4.0
