Year,UNIT_MEASURE,SERIES,REF_AREA,GeoCode,Value
2010,PER_1000000_POP,_L_KZ_090102_1N,,,13186.5
2011,PER_1000000_POP,_L_KZ_090102_1N,,,16647.2
2012,PER_1000000_POP,_L_KZ_090102_1N,,,18484.6
2013,PER_1000000_POP,_L_KZ_090102_1N,,,20004.3
2014,PER_1000000_POP,_L_KZ_090102_1N,,,21281.2
2015,PER_1000000_POP,_L_KZ_090102_1N,,,21839.1
2016,PER_1000000_POP,_L_KZ_090102_1N,,,22332.8
2017,PER_1000000_POP,_L_KZ_090102_1N,,,22744.7
2018,PER_1000000_POP,_L_KZ_090102_1N,,,23021.6
2010,PER_1000000_POP,_L_KZ_090102_1H,,,19.6
2011,PER_1000000_POP,_L_KZ_090102_1H,,,20.5
2012,PER_1000000_POP,_L_KZ_090102_1H,,,24.4
2013,PER_1000000_POP,_L_KZ_090102_1H,,,28.6
2014,PER_1000000_POP,_L_KZ_090102_1H,,,23.2
2015,PER_1000000_POP,_L_KZ_090102_1H,,,22.5
2016,PER_1000000_POP,_L_KZ_090102_1H,,,23.1
2017,PER_1000000_POP,_L_KZ_090102_1H,,,22.9
2018,PER_1000000_POP,_L_KZ_090102_1H,,,23.1
2010,PER_1000000_POP,_L_KZ_090102_1A,,,13083.9
2011,PER_1000000_POP,_L_KZ_090102_1A,,,16544.7
2012,PER_1000000_POP,_L_KZ_090102_1A,,,18380.2
2013,PER_1000000_POP,_L_KZ_090102_1A,,,19905.3
2014,PER_1000000_POP,_L_KZ_090102_1A,,,21189.9
2015,PER_1000000_POP,_L_KZ_090102_1A,,,21744.7
2016,PER_1000000_POP,_L_KZ_090102_1A,,,22239.4
2017,PER_1000000_POP,_L_KZ_090102_1A,,,22643.6
2018,PER_1000000_POP,_L_KZ_090102_1A,,,22911.5
2010,PER_1000000_POP,_L_KZ_090102_1B,,,0.1
2011,PER_1000000_POP,_L_KZ_090102_1B,,,0.1
2012,PER_1000000_POP,_L_KZ_090102_1B,,,0.1
2013,PER_1000000_POP,_L_KZ_090102_1B,,,0.09
2014,PER_1000000_POP,_L_KZ_090102_1B,,,0.0672
2015,PER_1000000_POP,_L_KZ_090102_1B,,,0.04
2016,PER_1000000_POP,_L_KZ_090102_1B,,,0.0904
2017,PER_1000000_POP,_L_KZ_090102_1B,,,0.0587
2018,PER_1000000_POP,_L_KZ_090102_1B,,,0.0814
2018,PER_1000000_POP,_L_KZ_090102_1I,,,0.05752
2010,PER_1000000_POP,_L_KZ_090102_1D,,,3.4
2011,PER_1000000_POP,_L_KZ_090102_1D,,,4.1
2012,PER_1000000_POP,_L_KZ_090102_1D,,,4.5
2013,PER_1000000_POP,_L_KZ_090102_1D,,,5.0
2014,PER_1000000_POP,_L_KZ_090102_1D,,,5.4
2015,PER_1000000_POP,_L_KZ_090102_1D,,,5.9
2016,PER_1000000_POP,_L_KZ_090102_1D,,,6.0
2017,PER_1000000_POP,_L_KZ_090102_1D,,,7.4
2018,PER_1000000_POP,_L_KZ_090102_1D,,,7.6
2010,PER_1000000_POP,_L_KZ_090102_1F,,,79.5
2011,PER_1000000_POP,_L_KZ_090102_1F,,,77.0
2012,PER_1000000_POP,_L_KZ_090102_1F,,,69.6
2013,PER_1000000_POP,_L_KZ_090102_1F,,,58.7
2014,PER_1000000_POP,_L_KZ_090102_1F,,,55.6
