Year,Value,SERIES,UNIT_MEASURE
2010,12.9,,PT
2010,15.0,SD_XPD_ESED,PT
2010,10.7,SG_XPD_HLTH,PT
2010,17.4,SG_XPD_PROT,PT
2010,4.7,_L_KZ_010a02_1A,PT
2011,11.0,,PT
2011,16.2,SD_XPD_ESED,PT
2011,10.0,SG_XPD_HLTH,PT
2011,18.1,SG_XPD_PROT,PT
2011,3.8,_L_KZ_010a02_1A,PT
2012,11.3,,PT
2012,17.1,SD_XPD_ESED,PT
2012,10.3,SG_XPD_HLTH,PT
2012,17.5,SG_XPD_PROT,PT
2012,3.4,_L_KZ_010a02_1A,PT
2013,10.4,,PT
2013,16.6,SD_XPD_ESED,PT
2013,10.6,SG_XPD_HLTH,PT
2013,18.5,SG_XPD_PROT,PT
2013,3.5,_L_KZ_010a02_1A,PT
2014,10.2,,PT
2014,15.4,SD_XPD_ESED,PT
2014,9.7,SG_XPD_HLTH,PT
2014,17.8,SG_XPD_PROT,PT
2014,3.4,_L_KZ_010a02_1A,PT
2015,10.4,,PT
2015,15.3,SD_XPD_ESED,PT
2015,9.7,SG_XPD_HLTH,PT
2015,19.3,SG_XPD_PROT,PT
2015,3.3,_L_KZ_010a02_1A,PT
2016,10.7,,PT
2016,15.9,SD_XPD_ESED,PT
2016,9.9,SG_XPD_HLTH,PT
2016,19.1,SG_XPD_PROT,PT
2016,3.1,_L_KZ_010a02_1A,PT
2017,10.7,,PT
2017,13.6,SD_XPD_ESED,PT
2017,8.3,SG_XPD_HLTH,PT
2017,17.1,SG_XPD_PROT,PT
2017,2.9,_L_KZ_010a02_1A,PT
2018,10.8,,PT
2018,15.9,SD_XPD_ESED,PT
2018,9.5,SG_XPD_HLTH,PT
2018,22.4,SG_XPD_PROT,PT
2018,3.7,_L_KZ_010a02_1A,PT
2019,11.2,,PT
2019,15.6,SD_XPD_ESED,PT
2019,8.6,SG_XPD_HLTH,PT
2019,23.2,SG_XPD_PROT,PT
2019,3.1,_L_KZ_010a02_1A,PT
