Year,Value,SERIES,UNIT_MEASURE
2010,10.9,_L_KZ_171201_1B,PT
2010,9.2,_L_KZ_171201_1A,PT
2011,11.1,_L_KZ_171201_1B,PT
2011,9.2,_L_KZ_171201_1A,PT
2012,11.3,_L_KZ_171201_1B,PT
2012,9.4,_L_KZ_171201_1A,PT
2013,10.2,_L_KZ_171201_1B,PT
2013,8.4,_L_KZ_171201_1A,PT
2014,8.7,_L_KZ_171201_1B,PT
2014,7.3,_L_KZ_171201_1A,PT
2015,8.7,_L_KZ_171201_1B,PT
2015,7.2,_L_KZ_171201_1A,PT
2016,8.4,_L_KZ_171201_1B,PT
2016,6.9,_L_KZ_171201_1A,PT
2017,6.7,_L_KZ_171201_1B,PT
2017,5.4,_L_KZ_171201_1A,PT
2018,53.0,_L_KZ_171201_1B,PT
2018,39.0,_L_KZ_171201_1A,PT
2019,64.0,_L_KZ_171201_1B,PT
2019,40.0,_L_KZ_171201_1A,PT
