Year,Value,SERIES,UNIT_MEASURE
2010,98.1,,PT
2010,98.9,_L_KZ_030b01_1A,PT
2010,99.6,_L_KZ_030b01_1B,PT
2011,97.1,,PT
2011,98.6,_L_KZ_030b01_1A,PT
2011,100.0,_L_KZ_030b01_1B,PT
2012,97.2,,PT
2012,98.1,_L_KZ_030b01_1A,PT
2012,97.0,_L_KZ_030b01_1B,PT
2012,38.5,_L_KZ_030b01_1C,PT
2013,97.9,,PT
2013,98.1,_L_KZ_030b01_1A,PT
2013,99.3,_L_KZ_030b01_1B,PT
2013,51.8,_L_KZ_030b01_1C,PT
2014,98.4,,PT
2014,98.5,_L_KZ_030b01_1A,PT
2014,99.2,_L_KZ_030b01_1B,PT
2014,58.5,_L_KZ_030b01_1C,PT
2015,98.2,,PT
2015,97.9,_L_KZ_030b01_1A,PT
2015,98.4,_L_KZ_030b01_1B,PT
2015,73.7,_L_KZ_030b01_1C,PT
2016,95.0,,PT
2016,82.5,_L_KZ_030b01_1A,PT
2016,99.3,_L_KZ_030b01_1B,PT
2016,97.3,_L_KZ_030b01_1C,PT
2017,96.9,,PT
2017,100.0,_L_KZ_030b01_1A,PT
2017,98.7,_L_KZ_030b01_1B,PT
2017,98.3,_L_KZ_030b01_1C,PT
2018,97.8,,PT
2018,98.3,_L_KZ_030b01_1A,PT
2018,98.4,_L_KZ_030b01_1B,PT
2018,95.5,_L_KZ_030b01_1C,PT
2019,96.7,,PT
2019,97.4,_L_KZ_030b01_1A,PT
2019,97.8,_L_KZ_030b01_1B,PT
2019,89.4,_L_KZ_030b01_1C,PT
