Year,Value,UNIT_MEASURE
2010,3.251092147469366,NUM_CBBR_PER_100000_ADL
2010,66.1084379184613,NUM_ATM_PER_100000_ADL
2011,3.129183139172521,NUM_CBBR_PER_100000_ADL
2011,69.52787742106614,NUM_ATM_PER_100000_ADL
2012,3.2006036778831173,NUM_CBBR_PER_100000_ADL
2012,73.2582619604358,NUM_ATM_PER_100000_ADL
2013,3.156029890198204,NUM_CBBR_PER_100000_ADL
2013,75.04988850298912,NUM_ATM_PER_100000_ADL
2014,3.348735721714094,NUM_CBBR_PER_100000_ADL
2014,76.30807191608898,NUM_ATM_PER_100000_ADL
2015,3.3705674161164425,NUM_CBBR_PER_100000_ADL
2015,75.18831606780726,NUM_ATM_PER_100000_ADL
2016,2.9465215721088307,NUM_CBBR_PER_100000_ADL
2016,78.03793005798485,NUM_ATM_PER_100000_ADL
2017,2.8297588303577013,NUM_CBBR_PER_100000_ADL
2017,78.63324107968191,NUM_ATM_PER_100000_ADL
2018,2.699051416365501,NUM_CBBR_PER_100000_ADL
2018,88.76253568387678,NUM_ATM_PER_100000_ADL
2019,2.3329917037729904,NUM_CBBR_PER_100000_ADL
2019,87.1,NUM_ATM_PER_100000_ADL
