Year,Value,GeoCode,SERIES,UNIT_MEASURE
2010,13186.5,,_L_KZ_090102_1N,PER_1000000_POP
2011,16647.2,,_L_KZ_090102_1N,PER_1000000_POP
2012,18484.6,,_L_KZ_090102_1N,PER_1000000_POP
2013,20004.3,,_L_KZ_090102_1N,PER_1000000_POP
2014,21281.2,,_L_KZ_090102_1N,PER_1000000_POP
2015,21839.1,,_L_KZ_090102_1N,PER_1000000_POP
2016,22332.8,,_L_KZ_090102_1N,PER_1000000_POP
2017,22744.7,,_L_KZ_090102_1N,PER_1000000_POP
2018,23021.6,,_L_KZ_090102_1N,PER_1000000_POP
2010,19.6,,_L_KZ_090102_1H,PER_1000000_POP
2011,20.5,,_L_KZ_090102_1H,PER_1000000_POP
2012,24.4,,_L_KZ_090102_1H,PER_1000000_POP
2013,28.6,,_L_KZ_090102_1H,PER_1000000_POP
2014,23.2,,_L_KZ_090102_1H,PER_1000000_POP
2015,22.5,,_L_KZ_090102_1H,PER_1000000_POP
2016,23.1,,_L_KZ_090102_1H,PER_1000000_POP
2017,22.9,,_L_KZ_090102_1H,PER_1000000_POP
2018,23.1,,_L_KZ_090102_1H,PER_1000000_POP
2010,13083.9,,_L_KZ_090102_1A,PER_1000000_POP
2011,16544.7,,_L_KZ_090102_1A,PER_1000000_POP
2012,18380.2,,_L_KZ_090102_1A,PER_1000000_POP
2013,19905.3,,_L_KZ_090102_1A,PER_1000000_POP
2014,21189.9,,_L_KZ_090102_1A,PER_1000000_POP
2015,21744.7,,_L_KZ_090102_1A,PER_1000000_POP
2016,22239.4,,_L_KZ_090102_1A,PER_1000000_POP
2017,22643.6,,_L_KZ_090102_1A,PER_1000000_POP
2018,22911.5,,_L_KZ_090102_1A,PER_1000000_POP
2010,0.1,,_L_KZ_090102_1B,PER_1000000_POP
2011,0.1,,_L_KZ_090102_1B,PER_1000000_POP
2012,0.1,,_L_KZ_090102_1B,PER_1000000_POP
2013,0.09,,_L_KZ_090102_1B,PER_1000000_POP
2014,0.0672,,_L_KZ_090102_1B,PER_1000000_POP
2015,0.04,,_L_KZ_090102_1B,PER_1000000_POP
2016,0.0904,,_L_KZ_090102_1B,PER_1000000_POP
2017,0.0587,,_L_KZ_090102_1B,PER_1000000_POP
2018,0.0814,,_L_KZ_090102_1B,PER_1000000_POP
2018,0.05752,,_L_KZ_090102_1I,PER_1000000_POP
2010,3.4,,_L_KZ_090102_1D,PER_1000000_POP
2011,4.1,,_L_KZ_090102_1D,PER_1000000_POP
2012,4.5,,_L_KZ_090102_1D,PER_1000000_POP
2013,5.0,,_L_KZ_090102_1D,PER_1000000_POP
2014,5.4,,_L_KZ_090102_1D,PER_1000000_POP
2015,5.9,,_L_KZ_090102_1D,PER_1000000_POP
2016,6.0,,_L_KZ_090102_1D,PER_1000000_POP
2017,7.4,,_L_KZ_090102_1D,PER_1000000_POP
2018,7.6,,_L_KZ_090102_1D,PER_1000000_POP
2010,79.5,,_L_KZ_090102_1F,PER_1000000_POP
2011,77.0,,_L_KZ_090102_1F,PER_1000000_POP
2012,69.6,,_L_KZ_090102_1F,PER_1000000_POP
2013,58.7,,_L_KZ_090102_1F,PER_1000000_POP
2014,55.6,,_L_KZ_090102_1F,PER_1000000_POP
2015,55.9,,_L_KZ_090102_1F,PER_1000000_POP
2016,51.5,,_L_KZ_090102_1F,PER_1000000_POP
2017,56.8,,_L_KZ_090102_1F,PER_1000000_POP
2018,54.9,,_L_KZ_090102_1F,PER_1000000_POP
2010,1971.8,,_L_KZ_090102_1J,M_T
2011,2475.5,,_L_KZ_090102_1J,M_T
2012,2718.4,,_L_KZ_090102_1J,M_T
2013,2983.4,,_L_KZ_090102_1J,M_T
2014,3129.1,,_L_KZ_090102_1J,M_T
2015,3174.0,,_L_KZ_090102_1J,M_T
2016,3180.7,,_L_KZ_090102_1J,M_T
2017,3322.3,,_L_KZ_090102_1J,M_T
2018,3422.3,,_L_KZ_090102_1J,M_T
2010,28869.7,,_L_KZ_090102_1K,T
2011,31554.9,,_L_KZ_090102_1K,T
2012,21954.2,,_L_KZ_090102_1K,T
2013,23873.5,,_L_KZ_090102_1K,T
2014,19082.4,,_L_KZ_090102_1K,T
2015,17178.2,,_L_KZ_090102_1K,T
2016,18015.9,,_L_KZ_090102_1K,T
2017,22449.9,,_L_KZ_090102_1K,T
2018,29135.5,,_L_KZ_090102_1K,T
2010,3379.2,,_L_KZ_090102_1M,PER_1000000_POP
2011,4131.3,,_L_KZ_090102_1M,PER_1000000_POP
2012,4512.0,,_L_KZ_090102_1M,PER_1000000_POP
2013,4985.6,,_L_KZ_090102_1M,PER_1000000_POP
2014,5434.6,,_L_KZ_090102_1M,PER_1000000_POP
2015,5922.8,,_L_KZ_090102_1M,PER_1000000_POP
2016,6021.7,,_L_KZ_090102_1M,PER_1000000_POP
2017,7363.7,,_L_KZ_090102_1M,PER_1000000_POP
2018,7858.5,,_L_KZ_090102_1M,PER_1000000_POP
2010,194.0,,_L_KZ_090102_1P,M_T
2011,214.1,,_L_KZ_090102_1P,M_T
2012,213.2,,_L_KZ_090102_1P,M_T
2013,225.9,,_L_KZ_090102_1P,M_T
2014,225.0,,_L_KZ_090102_1P,M_T
2015,214.6,,_L_KZ_090102_1P,M_T
2016,205.8,,_L_KZ_090102_1P,M_T
2017,232.8,,_L_KZ_090102_1P,M_T
2018,280.8,,_L_KZ_090102_1P,M_T
2010,4.7,,_L_KZ_090102_1O,M_T
2011,4.6,,_L_KZ_090102_1O,M_T
2012,4.0,,_L_KZ_090102_1O,M_T
2013,4.0,,_L_KZ_090102_1O,M_T
2014,3.6,,_L_KZ_090102_1O,M_T
2015,2.5,,_L_KZ_090102_1O,M_T
2016,2.6,,_L_KZ_090102_1O,M_T
2017,2.1,,_L_KZ_090102_1O,M_T
2018,1.8,,_L_KZ_090102_1O,M_T
