Value,ru,kk,en,Disaggregation combinations using this value,Number of indicators
_L_ACT_ELWPP,без учета больших ГЭС,үлкен ГЭС-ларды қоспағанда,excluding large water-power-plant,1,1
_L_ACT_ILWPP,с учетом больших ГЭС,ірі гидроэлектрстанцияларын есепке ала отырып,including large water-power-plant,16,1
_L_ACT_IND,промышленность,өнеркәсіп,Industry,4,2
_T,всего,_T,No breakdown,3,1
ISIC4_A,"сельское, лесное и рыбное хозяйство","ауыл, орман және балық шаруашылығы","agriculture, forestry and fishery",4,2
ISIC4_F,строительство,құрылыс,Construction,3,1
ISIC4_G,оптовая и розничная торговля; ремонт автомобилей и мотоциклов,көтерме және бөлшек саудада сату; автомобильдерді және мотоциклдерді жөндеу,wholesale and retail trade; car and motorcycle repair,3,1
ISIC4_H,транспорт и складирование,көлік және жинақтау,transport and storage,3,1
ISIC4_I,услуги по проживанию и питанию,тұру және тамақтану бойынша қызмет көрсету,services (food and dwelling),3,1
ISIC4_J,информация и связь,ақпарат және байланыс,information and communication,3,1
ISIC4_K,финансовая и страховая деятельность,қаржы және сақтандыру қызметі,finance and insurance,3,1
ISIC4_L,операции с недвижимым имуществом,жылжымайтын мүлікпен операциялар,real estate transactions,3,1
ISIC4_M,"Профессиональная, научная и техническая деятельность",ISIC4_M,"Professional, scientific and technical activities",3,1
ISIC4_N,деятельность в области администрированного и вспомогательного обслуживания,әкімшілік және қосымша қызмет көрсету саласындағы қызмет,management and support activities,3,1
ISIC4_O,государственное управление и оборона; обязательное социальное обеспечение,мемлекеттік басқару және қорғаныс; міндетті әлеуметтік қамсыздандыру,government administration and defence,3,1
ISIC4_P,Образование,білім беру,education,3,1
ISIC4_Q,здравоохранение и социальные услуги,денсаулық сақтау және әлеуметтік қызметтер,health care and social care,3,1
ISIC4_R,"искусство, развлечение и отдых","өнер, ойын-сауық және демалыс","culture, entertainment and leisure",3,1
ISIC4_S,прочими видами деятельности,қызметтердің басқа түрлерін ұсыну,provision of other types of services,4,2
