Value,ru,kk,en,Disaggregation combinations using this value,Number of indicators
M_METER3,млн.м3,млн.м3,M_METER3,30,2
M_T,млн.тонн,млн.тонна,millions tonnes,51,1
M_TNG,млн.тенге,млн.теңге,million tenge,1,1
M_USD,млн.долл.США,млн АҚШ доллары,M_USD,38,10
METER3_TH_TNG,м³/тыс.тенге,м3 / мың теңге,METER3_TH_TNG,3,1
MG_CUB_METER,мг/метр куб,мг/текше метр,mg per cube meters,84,1
million USD,млн.долларов США,млн.АҚШ доллар,millions of US dollars,1,1
NUM_ATM_PER_100000_ADL,число банкоматов на 100 000 взрослых,100 000 ересекке шаққандағы банкоматтар саны,number of ATMs per 100 000 adults,1,1
NUM_CBBR_PER_100000_ADL,число филиалов коммерческих банков на 100 000 взрослых,100 000 ересекке шаққандағы коммерциялық банктер саны,the number of branches of commercial banks per 100 000 adults,1,1
PER_1000000_POP,млн.человек,млн.адам,mln.people,43,1
PER_100000_POP,на 100 000 населения,100 000 халыққа,per 100000 population,663,8
PER_1000_employees,на 1000 работников,1000 қызметкерлерге,per 1000 workers,2,1
PER_1000_LIVE_BIRTHS,на 1000 родившихся,1000 туылғанға,per 1000 births,324,2
PER_1000_POP,на 1000 населения,1000 халыққа,per 1000 population,4,1
PER_1000_UNINFECTED_POP,на 1000 неинфицированных,1000 жұқтырмағандарға,per 1000 non immunized,1,1
PERSONS,человек,адам,Number of individuals,26,5
PT,процент,пайыз,Percent,3782,131
PT_BY_2005,в процентах к 2005 году,2005 жылға пайызбен,PT_BY_2005,17,1
PT_IN_2010_PRICE,"процент, в ценах 2010 года",2010 жылғы бағаларда пайызбен,"percent, base year 2010",18,1
PT_PREV_Y,в процентах к предыдущему году,өткен жылға пайызбен,PT_PREV_Y,43,5
SQ_METER,кв.м.,шаршы метр,square meters,54,1
T,тонн,тонна,tons,6,1
TH_HA,тыс.гектар,мың.гектар,thousands hectares,72,4
TH_PEOPLE,тыс.человек,мың.адам,thousand people,37,3
TH_TNG,тыс.тенге,мың теңге,thousand of tenge,36,1
TH_UNITS,тыс.единиц,мың бірлік,thousands,57,1
UNITS,единиц,бірлік,units,5,4
USD_IN_2010_PRICE,"в долларах США, в ценах 2010 года","2010 жылғы бағаларда, АҚШ доллар",tenge per US dollars in 2010 prices,17,1
тыс.тенге,тыс.тенге,тыс.тенге,тыс.тенге,19,1
