Value,ru,kk,en,Disaggregation combinations using this value,Number of indicators
Акмолинская,Акмолинская,Акмолинская,Акмолинская,1,1
Актюбинская,Актюбинская,Актюбинская,Актюбинская,1,1
Алматинская,Алматинская,Алматинская,Алматинская,1,1
Атырауская,Атырауская,Атырауская,Атырауская,1,1
Восточно-Казахстанская,Восточно-Казахстанская,Восточно-Казахстанская,Восточно-Казахстанская,1,1
г_Алматы,г_Алматы,г_Алматы,г_Алматы,1,1
г_Нур-Султан,г_Нур-Султан,г_Нур-Султан,г_Нур-Султан,1,1
г_Шымкент,г_Шымкент,г_Шымкент,г_Шымкент,1,1
Жымбылская,Жымбылская,Жымбылская,Жымбылская,1,1
Западно-Казахстанская,Западно-Казахстанская,Западно-Казахстанская,Западно-Казахстанская,1,1
Карагандинская,Карагандинская,Карагандинская,Карагандинская,1,1
Костанайская,Костанайская,Костанайская,Костанайская,1,1
Кызылординская,Кызылординская,Кызылординская,Кызылординская,1,1
Мангистауская,Мангистауская,Мангистауская,Мангистауская,1,1
Павлодарская,Павлодарская,Павлодарская,Павлодарская,1,1
Северо-Казахстанская,Северо-Казахстанская,Северо-Казахстанская,Северо-Казахстанская,1,1
Туркестанская,Туркестанская,Туркестанская,Туркестанская,1,1
Южно-Казахстанская,Южно-Казахстанская,Южно-Казахстанская,Южно-Казахстанская,1,1
